actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-02-21T03:15:50.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-02-21T03:15:50Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2026-02-21T03:16:07.3Z,1,REGULAR,jumpball,recovered,[],2544,,,1610612747,0,0,2026-02-21T03:16:07Z,40000,False,,,0,,Jump Ball D. Ayton vs. B. Lopez: Tip to L. James,"[2544, 1629028, 201572]",1610612747.0,LAL,startperiod,L. James,2544.0,James,L. James,Ayton,1629028.0,Lopez,201572.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2026-02-21T03:16:19.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629029,7.145203679369246,49.26470588235294,1610612747,0,0,2026-02-21T03:16:22Z,70000,False,4.0,15.0,1,left,MISS L. Dončić driving Layup,[1629029],1610612747.0,LAL,driving,,,Dončić,L. Dončić,,,,,Restricted Area,0-8 Center,1.52,Missed,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2026-02-21T03:16:21.3Z,1,REGULAR,rebound,defensive,[],1627739,,,1610612746,0,0,2026-02-21T03:16:21Z,80000,False,,,0,,K. Dunn REBOUND (Off:0 Def:1),[1627739],1610612746.0,LAC,,,,Dunn,K. Dunn,,,,,Restricted Area,0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M27.00S,2026-02-21T03:16:36.3Z,1,REGULAR,turnover,bad pass,[],202695,,,1610612746,0,0,2026-02-21T03:16:39Z,90000,False,,,0,,K. Leonard bad pass TURNOVER (1 TO),"[202695, 2544]",1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,Above the Break 3,24+ Right Center,,,,,,,1.0,James,2544.0,,,,,,,,,,,
10,PT11M27.00S,2026-02-21T03:16:36.3Z,1,REGULAR,steal,,[],2544,,,1610612747,0,0,2026-02-21T03:16:38Z,100000,False,,,0,,L. James STEAL (1 STL),[2544],1610612747.0,LAL,,,,James,L. James,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
11,PT11M23.00S,2026-02-21T03:16:40.9Z,1,REGULAR,turnover,out-of-bounds,[],1629028,,,1610612747,0,0,2026-02-21T03:16:47Z,110000,False,,,0,,D. Ayton lost ball out-of-bounds TURNOVER (1 TO),[1629028],1610612747.0,LAL,lost ball,,,Ayton,D. Ayton,,,,,Mid-Range,8-16 Left,,,,,,,1.0,,,1628159.0,,,,,,,,,,
12,PT11M06.00S,2026-02-21T03:17:05.8Z,1,REGULAR,2pt,Hook,['fromturnover'],201572,80.20696452036793,67.40196078431373,1610612746,0,2,2026-02-21T03:17:12Z,120000,False,87.0,134.0,1,right,B. Lopez 15' Hook (2 PTS) (K. Leonard 1 AST),"[201572, 202695]",1610612746.0,LAC,,,,Lopez,B. Lopez,,,,,Mid-Range,8-16 Right,15.94,Made,,,,,,,,,2.0,K. Leonard,202695.0,1.0,,,,,,
14,PT10M49.00S,2026-02-21T03:17:22.4Z,1,REGULAR,3pt,Jump Shot,[],1629029,29.61563731931669,79.65686274509804,1610612747,0,2,2026-02-21T03:17:26Z,140000,False,-148.0,226.0,1,left,MISS L. Dončić 27' step back 3PT,[1629029],1610612747.0,LAL,step back,,,Dončić,L. Dončić,,,,,Above the Break 3,24+ Left Center,27.02,Missed,,,,,,,,,,,,,,,,,,
15,PT10M47.00S,2026-02-21T03:17:24.4Z,1,REGULAR,rebound,defensive,[],1627739,,,1610612746,0,2,2026-02-21T03:17:26Z,150000,False,,,0,,K. Dunn REBOUND (Off:0 Def:2),[1627739],1610612746.0,LAC,,,,Dunn,K. Dunn,,,,,Above the Break 3,24+ Left Center,,,14.0,2.0,2.0,0.0,,,,,,,,,,,,,,
16,PT10M42.00S,2026-02-21T03:17:32.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201572,89.14257555847568,60.53921568627451,1610612746,0,4,2026-02-21T03:17:38Z,160000,False,53.0,50.0,1,right,B. Lopez 7' turnaround bank Jump Shot (4 PTS) (D. Jones Jr. 1 AST),"[201572, 1627884]",1610612746.0,LAC,turnaround bank,,,Lopez,B. Lopez,,,,,In The Paint (Non-RA),0-8 Center,7.24,Made,,,,,,,,,4.0,D. Jones Jr.,1627884.0,1.0,,,,,,
18,PT10M42.00S,2026-02-21T03:17:36.3Z,1,REGULAR,foul,personal,['1freethrow'],1629029,,,1610612746,0,4,2026-02-21T03:17:45Z,180000,False,,,0,,L. Dončić shooting personal FOUL (1 PF) (Lopez 1 FT),"[1629029, 201572]",1610612747.0,LAL,shooting,,,Dončić,L. Dončić,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,202056.0,,,,,1.0,0.0,Lopez,201572.0,,
20,PT10M42.00S,2026-02-21T03:17:57.5Z,1,REGULAR,freethrow,1 of 1,[],201572,,,1610612746,0,5,2026-02-21T03:17:57Z,200000,False,,,0,,B. Lopez Free Throw 1 of 1 (5 PTS),[201572],1610612746.0,LAC,,,,Lopez,B. Lopez,,,,,,,,Made,,,,,,,,,5.0,,,,,,,,,
