actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2026-02-10T03:13:17.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-02-10T03:13:17Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2026-02-10T03:13:20.4Z,1,REGULAR,jumpball,recovered,[],203935,,,1610612747,0,0,2026-02-10T03:13:20Z,40000,False,,,0,,Jump Ball D. Ayton vs. C. Holmgren: Tip to M. Smart,"[203935, 1629028, 1631096]",1610612747.0,LAL,startperiod,M. Smart,203935.0,Smart,M. Smart,Ayton,1629028.0,Holmgren,1631096.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M50.00S,2026-02-10T03:13:26.1Z,1,REGULAR,turnover,lost ball,[],203935,,,1610612747,0,0,2026-02-10T03:13:34Z,70000,False,,,0,,M. Smart lost ball TURNOVER (1 TO),"[203935, 1641717]",1610612747.0,LAL,,,,Smart,M. Smart,,,,,Above the Break 3,24+ Left Center,1.0,Wallace,1641717.0,,,,,,,,,,,,,,,,,
8,PT11M50.00S,2026-02-10T03:13:26.1Z,1,REGULAR,steal,,[],1641717,,,1610612760,0,0,2026-02-10T03:13:27Z,80000,False,,,0,,C. Wallace STEAL (1 STL),[1641717],1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
9,PT11M47.00S,2026-02-10T03:13:29.5Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1631114,93.61038107752957,50.0,1610612760,0,0,2026-02-10T03:13:45Z,90000,False,0.0,8.0,1,right,MISS J. Williams running finger roll Layup,[1631114],1610612760.0,OKC,running finger roll,,,Williams,J. Williams,,,,,Restricted Area,0-8 Center,,,,0.76,Missed,,,,,,,,,,,,,,,
10,PT11M44.00S,2026-02-10T03:13:32.5Z,1,REGULAR,rebound,defensive,[],203935,,,1610612747,0,0,2026-02-10T03:13:45Z,100000,False,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612747.0,LAL,,,,Smart,M. Smart,,,,,Restricted Area,0-8 Center,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M32.00S,2026-02-10T03:13:44.4Z,1,REGULAR,3pt,Jump Shot,[],1629060,31.84954007884363,38.48039215686274,1610612747,0,0,2026-02-10T03:13:48Z,110000,False,58.0,247.0,1,left,MISS R. Hachimura 25' 3PT,[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,Above the Break 3,24+ Center,,,,25.35,Missed,,,,,,,,,,,,,,,
12,PT11M29.00S,2026-02-10T03:13:47.4Z,1,REGULAR,rebound,defensive,[],1629652,,,1610612760,0,0,2026-02-10T03:13:48Z,120000,False,,,0,,L. Dort REBOUND (Off:0 Def:1),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Center,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,
13,PT11M08.00S,2026-02-10T03:14:07.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641717,92.69053876478318,62.254901960784316,1610612760,0,2,2026-02-10T03:14:12Z,130000,False,61.0,16.0,1,right,C. Wallace 6' driving finger roll Layup (2 PTS),[1641717],1610612760.0,OKC,driving finger roll,,,Wallace,C. Wallace,,,,,In The Paint (Non-RA),0-8 Center,,,,6.34,Made,,,,,2.0,,,,,,,,,,
14,PT10M51.00S,2026-02-10T03:14:24.8Z,1,REGULAR,3pt,Jump Shot,[],1631222,31.45532194480947,82.1078431372549,1610612747,3,2,2026-02-10T03:14:29Z,140000,False,-161.0,243.0,1,left,J. LaRavia 29' 3PT  (3 PTS) (L. James 1 AST),"[1631222, 2544]",1610612747.0,LAL,,,,LaRavia,J. LaRavia,,,,,Above the Break 3,24+ Left Center,,,,29.14,Made,,,,,3.0,L. James,2544.0,1.0,,,,,,,
