actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-10-25T02:17:55.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-10-25T02:17:55Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-10-25T02:17:58.9Z,1,REGULAR,jumpball,recovered,[],1630162,,,1610612750,0,0,2025-10-25T02:17:58Z,40000,False,,,0,,Jump Ball R. Gobert vs. D. Ayton: Tip to A. Edwards,"[1630162, 203497, 1629028]",1610612750.0,MIN,startperiod,A. Edwards,1630162.0,Edwards,A. Edwards,Gobert,203497.0,Ayton,1629028.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2025-10-25T02:18:11.0Z,1,REGULAR,3pt,Jump Shot,[],1630162,66.93495400788436,41.17647058823529,1610612750,0,0,2025-10-25T02:18:36Z,70000,False,-44.0,258.0,1,right,MISS A. Edwards 26' pullup 3PT,[1630162],1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Center,26.2,Missed,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2025-10-25T02:18:12.0Z,1,REGULAR,rebound,defensive,[],1630559,,,1610612747,0,0,2025-10-25T02:19:49Z,80000,False,,,0,,A. Reaves REBOUND (Off:0 Def:1),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Above the Break 3,24+ Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M43.00S,2025-10-25T02:18:14.9Z,1,REGULAR,turnover,out-of-bounds,[],1630559,,,1610612747,0,0,2025-10-25T02:19:40Z,85000,False,,,0,,A. Reaves bad pass out-of-bounds TURNOVER (1 TO),[1630559],1610612747.0,LAL,bad pass,,,Reaves,A. Reaves,,,,,Mid-Range,8-16 Right,,,,,,,202058.0,1.0,,,,,,,,,,,,
10,PT11M34.00S,2025-10-25T02:18:50.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628978,84.80617608409987,56.127450980392155,1610612750,0,2,2025-10-25T02:22:09Z,100000,False,31.0,90.0,1,right,D. DiVincenzo 9' driving floating Jump Shot (2 PTS) (R. Gobert 1 AST),"[1628978, 203497]",1610612750.0,MIN,driving floating,,,DiVincenzo,D. DiVincenzo,,,,,In The Paint (Non-RA),8-16 Center,9.53,Made,,,,,,,2.0,R. Gobert,203497.0,1.0,,,,,,,,
13,PT11M07.00S,2025-10-25T02:19:16.3Z,1,REGULAR,3pt,Jump Shot,[],1629029,32.769382391590014,64.2156862745098,1610612747,0,2,2025-10-25T02:22:35Z,120000,False,-71.0,256.0,1,left,MISS L. Dončić 26' pullup 3PT,[1629029],1610612747.0,LAL,pullup,,,Dončić,L. Dončić,,,,,Above the Break 3,24+ Center,26.52,Missed,,,,,,,,,,,,,,,,,,
14,PT11M03.00S,2025-10-25T02:19:19.8Z,1,REGULAR,rebound,defensive,[],1630162,,,1610612750,0,2,2025-10-25T02:19:19Z,130000,False,,,0,,A. Edwards REBOUND (Off:0 Def:1),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Center,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT11M01.00S,2025-10-25T02:19:23.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630183,93.47897503285151,50.73529411764706,1610612750,0,4,2025-10-25T02:19:29Z,140000,False,4.0,9.0,1,right,J. McDaniels running finger roll Layup (2 PTS) (A. Edwards 1 AST),"[1630183, 1630162]",1610612750.0,MIN,running finger roll,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,0.95,Made,,,,,,,2.0,A. Edwards,1630162.0,1.0,,,,,,,,
17,PT10M47.00S,2025-10-25T02:19:36.4Z,1,REGULAR,3pt,Jump Shot,[],1630559,27.11892247043363,18.872549019607845,1610612747,0,4,2025-10-25T02:19:44Z,160000,False,156.0,202.0,1,left,MISS A. Reaves 25' pullup 3PT,[1630559],1610612747.0,LAL,pullup,,,Reaves,A. Reaves,,,,,Above the Break 3,24+ Right Center,25.53,Missed,,,,,,,,,,,,,,,,,,
18,PT10M43.00S,2025-10-25T02:19:40.4Z,1,REGULAR,rebound,defensive,[],203944,,,1610612750,0,4,2025-10-25T02:19:44Z,170000,False,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612750.0,MIN,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Right Center,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,,
19,PT10M37.00S,2025-10-25T02:19:46.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630183,84.4119579500657,58.57843137254902,1610612750,0,6,2025-10-25T02:19:56Z,180000,False,43.0,94.0,1,right,J. McDaniels 10' fadeaway Jump Shot (4 PTS) (J. Randle 1 AST),"[1630183, 203944]",1610612750.0,MIN,fadeaway,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),8-16 Center,10.33,Made,,,,,,,4.0,J. Randle,203944.0,1.0,,,,,,,,
21,PT10M21.00S,2025-10-25T02:20:05.1Z,1,REGULAR,foul,personal,['2freethrow'],1628978,,,1610612747,0,6,2025-10-25T02:20:13Z,200000,False,,,0,,D. DiVincenzo shooting personal FOUL (1 PF) (Dončić 2 FT),"[1628978, 1629029]",1610612750.0,MIN,shooting,,,DiVincenzo,D. DiVincenzo,,,,,Mid-Range,16-24 Center,,,,,,,1151.0,,,,,,1.0,0.0,Dončić,1629029.0,,,,
23,PT10M21.00S,2025-10-25T02:20:33.6Z,1,REGULAR,freethrow,1 of 2,[],1629029,,,1610612747,1,6,2025-10-25T02:20:33Z,220000,False,,,0,,L. Dončić Free Throw 1 of 2 (1 PTS),[1629029],1610612747.0,LAL,,,,Dončić,L. Dončić,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
24,PT10M21.00S,2025-10-25T02:20:54.0Z,1,REGULAR,freethrow,2 of 2,[],1629029,,,1610612747,2,6,2025-10-25T02:20:54Z,230000,False,,,0,,L. Dončić Free Throw 2 of 2 (2 PTS),[1629029],1610612747.0,LAL,,,,Dončić,L. Dončić,,,,,,,,Made,,,,,,,2.0,,,,,,,,,,,
25,PT09M56.00S,2025-10-25T02:21:22.2Z,1,REGULAR,3pt,Jump Shot,[],1630183,91.50788436268068,4.411764705882348,1610612750,2,6,2025-10-25T02:24:31Z,240000,False,-228.0,27.0,1,right,MISS J. McDaniels pullup 3PT,[1630183],1610612750.0,MIN,pullup,,,McDaniels,J. McDaniels,,,,,Left Corner 3,24+ Left,22.95,Missed,,,,,,,,,,,,,,,,,,
26,PT09M55.00S,2025-10-25T02:21:25.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612750,2,6,2025-10-25T02:21:25Z,250000,False,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,Left Corner 3,24+ Left,,,25.0,,,,,,,,,,,,,,,,,
28,PT09M48.00S,2025-10-25T02:21:50.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203944,93.34756898817345,1.9607843137254974,1610612750,2,9,2025-10-25T02:21:55Z,270000,False,-240.0,10.0,1,right,J. Randle 24' 3PT  (3 PTS) (A. Edwards 2 AST),"[203944, 1630162]",1610612750.0,MIN,,,,Randle,J. Randle,,,,,Left Corner 3,24+ Left,24.04,Made,,,,,,,3.0,A. Edwards,1630162.0,2.0,,,,,,,,
30,PT09M35.00S,2025-10-25T02:22:03.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,19.103153745072277,35.78431372549019,1610612747,4,9,2025-10-25T02:22:10Z,290000,False,71.0,127.0,1,left,L. Dončić 14' fadeaway Jump Shot (4 PTS),[1629029],1610612747.0,LAL,fadeaway,,,Dončić,L. Dončić,,,,,In The Paint (Non-RA),8-16 Center,14.56,Made,,,,,,,4.0,,,,,,,,,,,
31,PT09M28.00S,2025-10-25T02:22:14.3Z,1,REGULAR,foul,personal,['2freethrow'],1629029,,,1610612750,4,9,2025-10-25T03:30:44Z,300000,False,,,0,,L. Dončić shooting personal FOUL (1 PF) (Randle 2 FT),"[1629029, 203944]",1610612747.0,LAL,shooting,,,Dončić,L. Dončić,,,,,Mid-Range,8-16 Left,,,,,,,202058.0,,,,,,1.0,0.0,Randle,203944.0,,,,
33,PT09M28.00S,2025-10-25T02:22:42.9Z,1,REGULAR,freethrow,1 of 2,[],203944,,,1610612750,4,9,2025-10-25T02:22:42Z,320000,False,,,0,,MISS J. Randle Free Throw 1 of 2,[203944],1610612750.0,MIN,,,,Randle,J. Randle,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
34,PT09M28.00S,2025-10-25T02:22:42.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612750,4,9,2025-10-25T02:22:42Z,330000,False,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,,,,,33.0,,,,,,,,,,,,,,,,,
35,PT09M28.00S,2025-10-25T02:23:09.8Z,1,REGULAR,freethrow,2 of 2,[],203944,,,1610612750,4,10,2025-10-25T02:23:09Z,340000,False,,,0,,J. Randle Free Throw 2 of 2 (4 PTS),[203944],1610612750.0,MIN,,,,Randle,J. Randle,,,,,,,,Made,,,,,,,4.0,,,,,,,,,,,
36,PT09M18.00S,2025-10-25T02:23:20.1Z,1,REGULAR,3pt,Jump Shot,[],1629029,30.14126149802891,21.07843137254902,1610612747,7,10,2025-10-25T02:23:31Z,350000,False,145.0,231.0,1,left,L. Dončić 27' 3PT pullup (7 PTS) (A. Reaves 1 AST),"[1629029, 1630559]",1610612747.0,LAL,pullup,,,Dončić,L. Dončić,,,,,Above the Break 3,24+ Right Center,27.24,Made,,,,,,,7.0,A. Reaves,1630559.0,1.0,,,,,,,,
38,PT09M02.00S,2025-10-25T02:23:35.9Z,1,REGULAR,2pt,Jump Shot,[],1630162,87.9599211563732,73.0392156862745,1610612750,7,10,2025-10-25T02:23:39Z,370000,False,115.0,61.0,1,right,MISS A. Edwards 13' step back Shot,[1630162],1610612750.0,MIN,step back,,,Edwards,A. Edwards,,,,,Mid-Range,8-16 Right,13.02,Missed,,,,,,,,,,,,,,,,,,
39,PT09M00.00S,2025-10-25T02:23:37.9Z,1,REGULAR,rebound,defensive,[],1630559,,,1610612747,7,10,2025-10-25T02:23:39Z,380000,False,,,0,,A. Reaves REBOUND (Off:0 Def:2),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Mid-Range,8-16 Right,,,38.0,2.0,2.0,0.0,,,,,,,,,,,,,,
40,PT08M57.00S,2025-10-25T02:23:41.5Z,1,REGULAR,3pt,Jump Shot,[],1629029,29.61563731931669,84.55882352941177,1610612747,7,10,2025-10-25T02:23:50Z,390000,False,-173.0,226.0,1,left,MISS L. Dončić 28' 3PT,[1629029],1610612747.0,LAL,,,,Dončić,L. Dončić,,,,,Above the Break 3,24+ Left Center,28.44,Missed,,,,,,,,,,,,,,,,,,
41,PT08M52.00S,2025-10-25T02:23:46.5Z,1,REGULAR,rebound,defensive,[],203944,,,1610612750,7,10,2025-10-25T02:23:50Z,400000,False,,,0,,J. Randle REBOUND (Off:0 Def:2),[203944],1610612750.0,MIN,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Left Center,,,40.0,2.0,2.0,0.0,,,,,,,,,,,,,,
42,PT08M41.00S,2025-10-25T02:23:57.1Z,1,REGULAR,3pt,Jump Shot,[],203944,66.80354796320631,32.84313725490196,1610612750,7,13,2025-10-25T02:31:34Z,410000,False,-86.0,260.0,1,right,J. Randle 27' 3PT pullup (7 PTS) (R. Gobert 2 AST),"[203944, 203497]",1610612750.0,MIN,pullup,,,Randle,J. Randle,,,,,Above the Break 3,24+ Left Center,27.33,Made,,,,,,,7.0,R. Gobert,203497.0,2.0,,,,,,,,
44,PT08M23.00S,2025-10-25T02:24:14.9Z,1,REGULAR,3pt,Jump Shot,[],1629060,19.23455978975032,5.882352941176478,1610612747,10,13,2025-10-25T02:24:21Z,430000,False,221.0,128.0,1,left,R. Hachimura 25' 3PT  (3 PTS) (A. Reaves 2 AST),"[1629060, 1630559]",1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,Above the Break 3,24+ Right Center,25.52,Made,,,,,,,3.0,A. Reaves,1630559.0,2.0,,,,,,,,
46,PT08M09.00S,2025-10-25T02:24:28.9Z,1,REGULAR,3pt,Jump Shot,[],1628978,65.09526938239159,47.05882352941176,1610612750,10,16,2025-10-25T02:24:33Z,450000,False,-15.0,276.0,1,right,D. DiVincenzo 27' 3PT  (5 PTS) (J. Randle 2 AST),"[1628978, 203944]",1610612750.0,MIN,,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Center,27.6,Made,,,,,,,5.0,J. Randle,203944.0,2.0,,,,,,,,
48,PT07M58.00S,2025-10-25T02:24:40.8Z,1,REGULAR,3pt,Jump Shot,[],1629216,8.984888304862025,96.56862745098039,1610612747,13,16,2025-10-25T02:24:46Z,470000,False,-233.0,32.0,1,left,G. Vincent 3PT  (3 PTS) (L. Dončić 1 AST),"[1629216, 1629029]",1610612747.0,LAL,,,,Vincent,G. Vincent,,,,,Left Corner 3,24+ Left,23.5,Made,,,,,,,3.0,L. Dončić,1629029.0,1.0,,,,,,,,
50,PT07M47.00S,2025-10-25T02:24:51.0Z,1,REGULAR,3pt,Jump Shot,[],1628978,87.0400788436268,95.58823529411765,1610612750,13,19,2025-10-25T02:24:54Z,490000,False,228.0,69.0,1,right,D. DiVincenzo 3PT  (8 PTS) (J. Randle 3 AST),"[1628978, 203944]",1610612750.0,MIN,,,,DiVincenzo,D. DiVincenzo,,,,,Right Corner 3,24+ Right,23.82,Made,,,,,,,8.0,J. Randle,203944.0,3.0,,,,,,,,
52,PT07M29.00S,2025-10-25T02:25:09.2Z,1,REGULAR,turnover,bad pass,[],1629029,,,1610612747,13,19,2025-10-25T02:25:16Z,510000,False,,,0,,L. Dončić bad pass TURNOVER (1 TO),"[1629029, 1628978]",1610612747.0,LAL,,,,Dončić,L. Dončić,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1.0,,,,,,,,,DiVincenzo,1628978.0,,
53,PT07M29.00S,2025-10-25T02:25:09.2Z,1,REGULAR,steal,,[],1628978,,,1610612750,13,19,2025-10-25T02:25:11Z,520000,False,,,0,,D. DiVincenzo STEAL (1 STL),[1628978],1610612750.0,MIN,,,,DiVincenzo,D. DiVincenzo,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
54,PT07M25.00S,2025-10-25T02:25:13.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630162,92.82194480946123,48.529411764705884,1610612750,13,21,2025-10-25T02:25:21Z,530000,False,-7.0,15.0,1,right,A. Edwards running Layup (2 PTS) (D. DiVincenzo 1 AST),"[1630162, 1628978]",1610612750.0,MIN,running,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,1.67,Made,,,,,,,2.0,D. DiVincenzo,1628978.0,1.0,,,,,,,,
56,PT07M25.00S,2025-10-25T02:25:19.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612747,13,21,2025-10-25T02:25:19Z,550000,False,,,0,,LAL Timeout,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M10.00S,2025-10-25T02:29:02.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,13.84691195795007,56.372549019607845,1610612747,15,21,2025-10-25T02:34:54Z,560000,False,-32.0,78.0,1,left,L. Dončić 8' driving floating bank Jump Shot (9 PTS) (A. Reaves 3 AST),"[1629029, 1630559]",1610612747.0,LAL,driving floating bank,,,Dončić,L. Dončić,,,,,In The Paint (Non-RA),8-16 Center,8.4,Made,,,,,,,9.0,A. Reaves,1630559.0,3.0,,,,,,,,
59,PT06M49.00S,2025-10-25T02:29:24.1Z,1,REGULAR,2pt,Jump Shot,[],1630162,77.57884362680683,50.49019607843137,1610612750,15,23,2025-10-25T02:29:29Z,580000,False,2.0,158.0,1,right,A. Edwards 15' turnaround Jump Shot (4 PTS),[1630162],1610612750.0,MIN,turnaround,,,Edwards,A. Edwards,,,,,Mid-Range,8-16 Center,15.83,Made,,,,,,,4.0,,,,,,,,,,,
60,PT06M40.00S,2025-10-25T02:29:33.8Z,1,REGULAR,3pt,Jump Shot,[],1629216,7.276609724047319,4.656862745098039,1610612747,15,23,2025-10-25T02:29:37Z,590000,False,227.0,16.0,1,left,MISS G. Vincent 3PT,[1629216],1610612747.0,LAL,,,,Vincent,G. Vincent,,,,,Right Corner 3,24+ Right,22.73,Missed,,,,,,,,,,,,,,,,,,
61,PT06M38.00S,2025-10-25T02:29:35.8Z,1,REGULAR,rebound,defensive,[],203944,,,1610612750,15,23,2025-10-25T02:29:37Z,600000,False,,,0,,J. Randle REBOUND (Off:0 Def:3),[203944],1610612750.0,MIN,,,,Randle,J. Randle,,,,,Right Corner 3,24+ Right,,,60.0,3.0,3.0,0.0,,,,,,,,,,,,,,
62,PT06M32.00S,2025-10-25T02:29:41.7Z,1,REGULAR,3pt,Jump Shot,[],1630162,65.09526938239159,59.068627450980394,1610612750,15,26,2025-10-25T02:29:48Z,610000,False,45.0,276.0,1,right,A. Edwards 27' 3PT step back (7 PTS),[1630162],1610612750.0,MIN,step back,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Center,27.93,Made,,,,,,,7.0,,,,,,,,,,,
63,PT06M14.00S,2025-10-25T02:29:58.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630559,9.116294349540084,46.81372549019608,1610612747,17,26,2025-10-25T02:36:30Z,620000,False,16.0,33.0,1,left,A. Reaves driving finger roll Layup (2 PTS),[1630559],1610612747.0,LAL,driving finger roll,,,Reaves,A. Reaves,,,,,Restricted Area,0-8 Center,3.68,Made,,,,,,,2.0,,,,,,,,,,,
71,PT06M10.00S,2025-10-25T02:30:03.4Z,1,REGULAR,foul,personal,[],1629029,,,1610612750,17,26,2025-10-25T02:34:05Z,625000,False,,,0,,L. Dončić personal FOUL (2 PF),"[1629029, 1630183]",1610612747.0,LAL,,,,Dončić,L. Dončić,,,,,Mid-Range,8-16 Right,,,,,,,202058.0,,,,,,2.0,0.0,McDaniels,1630183.0,,,,
69,PT06M10.00S,2025-10-25T02:30:31.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612750,17,26,2025-10-25T02:33:59Z,680000,False,,,0,,MIN Timeout,[],1610612750.0,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M10.00S,2025-10-25T02:33:19.1Z,1,REGULAR,substitution,out,[],1629060,,,1610612750,17,26,2025-10-25T02:33:43Z,700000,False,,,0,,SUB out: R. Hachimura,[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,,,,,,,,,,,,,,,,,,,,,,
