actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-01-03T03:40:51.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-03T03:40:51Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2026-01-03T03:40:54.8Z,1,REGULAR,jumpball,recovered,[],203935,,,1610612747,0,0,2026-01-03T03:40:54Z,40000,False,,,0,,Jump Ball D. Ayton vs. C. Koloko: Tip to M. Smart,"[203935, 1629028, 1631132]",1610612747.0,LAL,startperiod,M. Smart,203935.0,Smart,M. Smart,Ayton,1629028.0,Koloko,1631132.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2026-01-03T03:41:12.5Z,1,REGULAR,3pt,Jump Shot,[],203935,92.69053876478318,3.9215686274509807,1610612747,3,0,2026-01-03T03:41:17Z,70000,False,-230.0,16.0,1,right,M. Smart 3PT  (3 PTS) (L. Dončić 1 AST),"[203935, 1629029]",1610612747.0,LAL,,,,Smart,M. Smart,,,,,Left Corner 3,24+ Left,23.1,Made,3.0,L. Dončić,1629029.0,1.0,,,,,,,,,,,,,,
9,PT11M21.00S,2026-01-03T03:41:29.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631132,5.174113009198422,51.22549019607843,1610612763,3,2,2026-01-03T03:41:33Z,90000,False,-6.0,-4.0,1,left,C. Koloko alley-oop DUNK (2 PTS) (J. Morant 1 AST),"[1631132, 1629630]",1610612763.0,MEM,alley-oop,,,Koloko,C. Koloko,,,,,Restricted Area,0-8 Center,0.72,Made,2.0,J. Morant,1629630.0,1.0,,,,,,,,,,,,,,
11,PT11M03.00S,2026-01-03T03:41:48.0Z,1,REGULAR,turnover,bad pass,[],1629029,,,1610612747,3,2,2026-01-03T03:41:51Z,110000,False,,,0,,L. Dončić bad pass TURNOVER (1 TO),"[1629029, 1642907]",1610612747.0,LAL,,,,Dončić,L. Dončić,,,,,Above the Break 3,24+ Right Center,,,,,,,1.0,Coward,1642907.0,,,,,,,,,,,
12,PT11M03.00S,2026-01-03T03:41:48.0Z,1,REGULAR,steal,,[],1642907,,,1610612763,3,2,2026-01-03T03:41:50Z,120000,False,,,0,,C. Coward STEAL (1 STL),[1642907],1610612763.0,MEM,,,,Coward,C. Coward,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
13,PT10M59.00S,2026-01-03T03:41:52.0Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1642377,19.760183968462556,93.13725490196079,1610612763,3,2,2026-01-03T03:42:01Z,130000,False,-216.0,133.0,1,left,MISS J. Wells 25' running 3PT,[1642377],1610612763.0,MEM,running,,,Wells,J. Wells,,,,,Above the Break 3,24+ Left Center,25.35,Missed,,,,,,,,,,,,,,,,,,
14,PT10M51.00S,2026-01-03T03:42:00.0Z,1,REGULAR,rebound,defensive,[],203935,,,1610612747,3,2,2026-01-03T03:42:01Z,140000,False,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612747.0,LAL,,,,Smart,M. Smart,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,
15,PT10M47.00S,2026-01-03T03:42:04.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",2544,93.47897503285151,49.26470588235294,1610612747,5,2,2026-01-03T03:42:17Z,150000,False,-4.0,9.0,1,right,L. James running Layup (2 PTS),[2544],1610612747.0,LAL,running,,,James,L. James,,,,,Restricted Area,0-8 Center,0.95,Made,2.0,,,,,,,,,,,,,,,,,
16,PT10M28.00S,2026-01-03T03:42:22.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642907,17.263469119579497,60.53921568627451,1610612763,5,2,2026-01-03T03:42:27Z,160000,False,-53.0,110.0,1,left,MISS C. Coward 12' pullup Shot,[1642907],1610612763.0,MEM,pullup,,,Coward,C. Coward,,,,,In The Paint (Non-RA),8-16 Center,12.18,Missed,,,,,,,,,,,,,,,,,,
17,PT10M25.00S,2026-01-03T03:42:25.1Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612747,5,2,2026-01-03T03:42:27Z,170000,False,,,0,,L. Dončić REBOUND (Off:0 Def:1),[1629029],1610612747.0,LAL,,,,Dončić,L. Dončić,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,
18,PT10M12.00S,2026-01-03T03:42:39.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,87.30289093298292,55.3921568627451,1610612747,7,2,2026-01-03T03:43:27Z,180000,False,27.0,67.0,1,right,L. Dončić 7' driving floating Jump Shot (2 PTS),[1629029],1610612747.0,LAL,driving floating,,,Dončić,L. Dončić,,,,,In The Paint (Non-RA),0-8 Center,7.21,Made,2.0,,,,,,,,,,,,,,,,,
19,PT09M57.00S,2026-01-03T03:42:53.4Z,1,REGULAR,2pt,Hook,[],1628991,6.619579500657039,66.17647058823529,1610612763,7,4,2026-01-03T03:43:40Z,190000,False,-81.0,10.0,1,left,J. Jackson Jr. 8' turnaround Hook (2 PTS) (J. Wells 1 AST),"[1628991, 1642377]",1610612763.0,MEM,turnaround,,,Jackson Jr.,J. Jackson Jr.,,,,,Mid-Range,8-16 Left,8.15,Made,2.0,J. Wells,1642377.0,1.0,,,,,,,,,,,,,,
21,PT09M44.00S,2026-01-03T03:43:06.3Z,1,REGULAR,3pt,Jump Shot,[],1629029,64.83245729303547,26.225490196078425,1610612747,7,4,2026-01-03T03:43:10Z,210000,False,-119.0,278.0,1,right,MISS L. Dončić 30' 3PT,[1629029],1610612747.0,LAL,,,,Dončić,L. Dončić,,,,,Above the Break 3,24+ Left Center,30.25,Missed,,,,,,,,,,,,,,,,,,
22,PT09M41.00S,2026-01-03T03:43:09.3Z,1,REGULAR,rebound,defensive,[],1642907,,,1610612763,7,4,2026-01-03T03:43:10Z,220000,False,,,0,,C. Coward REBOUND (Off:0 Def:1),[1642907],1610612763.0,MEM,,,,Coward,C. Coward,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,21.0,1.0,1.0,0.0,,,,,,,
23,PT09M33.00S,2026-01-03T03:43:17.6Z,1,REGULAR,3pt,Jump Shot,[],1642907,19.365965834428394,95.83333333333333,1610612763,7,4,2026-01-03T03:44:46Z,230000,False,-229.0,130.0,1,left,MISS C. Coward 26' pullup 3PT,[1642907],1610612763.0,MEM,pullup,,,Coward,C. Coward,,,,,Above the Break 3,24+ Left Center,26.33,Missed,,,,,,,,,,,,,,,,,,
24,PT09M31.00S,2026-01-03T03:43:19.6Z,1,REGULAR,rebound,defensive,[],203935,,,1610612747,7,4,2026-01-03T03:43:23Z,240000,False,,,0,,M. Smart REBOUND (Off:0 Def:2),[203935],1610612747.0,LAL,,,,Smart,M. Smart,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,23.0,2.0,2.0,0.0,,,,,,,
