actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal
2,PT12M00.00S,2025-02-07T03:06:11.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-02-07T03:06:11Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-02-07T03:06:14.1Z,1,REGULAR,jumpball,recovered,[],2544,,,1610612747,0,0,2025-02-07T03:06:14Z,40000,False,,,0,,Jump Ball J. Hayes vs. Q. Post: Tip to L. James,"[2544, 1629637, 1642366]",1610612747.0,LAL,startperiod,L. James,2544.0,James,L. James,Hayes,1629637.0,Post,1642366.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2025-02-07T03:06:28.9Z,1,REGULAR,turnover,bad pass,[],2544,,,1610612747,0,0,2025-02-07T03:06:32Z,70000,False,,,0,,L. James bad pass TURNOVER (1 TO),"[2544, 201939]",1610612747.0,LAL,,,,James,L. James,,,,,Mid-Range,8-16 Left,1.0,Curry,201939.0,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2025-02-07T03:06:28.9Z,1,REGULAR,steal,,[],201939,,,1610612744,0,0,2025-02-07T03:06:30Z,80000,False,,,0,,S. Curry STEAL (1 STL),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
9,PT11M37.00S,2025-02-07T03:06:34.1Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",201939,92.0335085413929,57.35294117647059,1610612744,0,0,2025-02-07T03:07:33Z,90000,False,37.0,22.0,1,right,MISS S. Curry running Layup - blocked,"[201939, 1629637]",1610612744.0,GSW,running,,,Curry,S. Curry,,,,,Restricted Area,0-8 Center,,,,4.31,Missed,Hayes,1629637.0,,,,,,,,,,,,,
10,PT11M37.00S,2025-02-07T03:06:34.1Z,1,REGULAR,block,,[],1629637,,,1610612744,0,0,2025-02-07T03:06:36Z,100000,False,,,0,,J. Hayes BLOCK (1 BLK),[1629637],1610612747.0,LAL,,,,Hayes,J. Hayes,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M37.00S,2025-02-07T03:06:34.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612744,0,0,2025-02-07T03:07:33Z,110000,False,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,9.0,,,,,,,,,,,,
13,PT11M27.00S,2025-02-07T03:07:06.9Z,1,REGULAR,turnover,bad pass,[],1627741,,,1610612744,0,0,2025-02-07T03:07:10Z,130000,False,,,0,,B. Hield bad pass TURNOVER (1 TO),"[1627741, 1630559]",1610612744.0,GSW,,,,Hield,B. Hield,,,,,Above the Break 3,24+ Left Center,1.0,Reaves,1630559.0,,,,,,,,,,,,,,,,,
14,PT11M27.00S,2025-02-07T03:07:06.9Z,1,REGULAR,steal,,[],1630559,,,1610612747,0,0,2025-02-07T03:07:09Z,140000,False,,,0,,A. Reaves STEAL (1 STL),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
15,PT11M25.00S,2025-02-07T03:07:10.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630559,6.225361366622863,49.50980392156863,1610612747,2,0,2025-02-07T03:07:15Z,150000,False,2.0,6.0,1,left,A. Reaves running Layup (2 PTS),[1630559],1610612747.0,LAL,running,,,Reaves,A. Reaves,,,,,Restricted Area,0-8 Center,,,,0.65,Made,,,,2.0,,,,,,,,,,,
16,PT11M25.00S,2025-02-07T03:07:13.2Z,1,REGULAR,foul,personal,['1freethrow'],1642366,,,1610612747,2,0,2025-02-07T03:07:24Z,160000,False,,,0,,Q. Post shooting personal FOUL (1 PF) (Reaves 1 FT),"[1642366, 1630559]",1610612744.0,GSW,shooting,,,Post,Q. Post,,,,,Restricted Area,0-8 Center,,,,,,,,,,1628480.0,1.0,0.0,Reaves,1630559.0,,,,,,
18,PT11M25.00S,2025-02-07T03:07:38.3Z,1,REGULAR,freethrow,1 of 1,"['fromturnover', 'fastbreak']",1630559,,,1610612747,3,0,2025-02-07T03:07:38Z,180000,False,,,0,,A. Reaves Free Throw 1 of 1 (3 PTS),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,,,,,Made,,,,3.0,,,,,,,,,,,
19,PT11M09.00S,2025-02-07T03:07:54.9Z,1,REGULAR,3pt,Jump Shot,[],1642366,67.46057818659658,43.627450980392155,1610612744,3,3,2025-02-07T03:07:58Z,190000,False,-32.0,253.0,1,right,Q. Post 25' 3PT  (3 PTS) (B. Podziemski 1 AST),"[1642366, 1641764]",1610612744.0,GSW,,,,Post,Q. Post,,,,,Above the Break 3,24+ Center,,,,25.54,Made,,,,3.0,,,,,,B. Podziemski,1641764.0,1.0,,,
21,PT10M50.00S,2025-02-07T03:08:13.6Z,1,REGULAR,3pt,Jump Shot,[],2544,19.84231274638634,94.58486519607843,1610612747,6,3,2025-02-07T03:08:19Z,210000,False,-223.0,134.0,1,left,L. James 26' 3PT  (3 PTS) (J. Hayes 1 AST),"[2544, 1629637]",1610612747.0,LAL,,,,James,L. James,,,,,Above the Break 3,24+ Left Center,,,,26.01,Made,,,,3.0,,,,,,J. Hayes,1629637.0,1.0,,,
23,PT10M38.00S,2025-02-07T03:08:26.2Z,1,REGULAR,3pt,Jump Shot,[],201939,70.87713534822602,76.9607843137255,1610612744,6,3,2025-02-07T03:08:30Z,230000,False,135.0,221.0,1,right,MISS S. Curry 25' 3PT,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,Above the Break 3,24+ Right Center,,,,25.91,Missed,,,,,,,,,,,,,,,
24,PT10M35.00S,2025-02-07T03:08:29.2Z,1,REGULAR,rebound,defensive,[],1629060,,,1610612747,6,3,2025-02-07T03:08:30Z,240000,False,,,0,,R. Hachimura REBOUND (Off:0 Def:1),[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,Above the Break 3,24+ Right Center,,,,,,,,23.0,,,,,,,,,,1.0,1.0,0.0
25,PT10M30.00S,2025-02-07T03:08:33.6Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1630559,19.23455978975032,24.75490196078431,1610612747,6,3,2025-02-07T03:09:51Z,250000,False,126.0,128.0,1,left,MISS A. Reaves 18' step back Shot,[1630559],1610612747.0,LAL,step back,,,Reaves,A. Reaves,,,,,Mid-Range,16-24 Right Center,,,,18.0,Missed,,,,,,,,,,,,,,,
26,PT10M27.00S,2025-02-07T03:08:36.6Z,1,REGULAR,rebound,defensive,[],1627741,,,1610612744,6,3,2025-02-07T03:08:42Z,260000,False,,,0,,B. Hield REBOUND (Off:0 Def:1),[1627741],1610612744.0,GSW,,,,Hield,B. Hield,,,,,Mid-Range,16-24 Right Center,,,,,,,,25.0,,,,,,,,,,1.0,1.0,0.0
27,PT10M18.00S,2025-02-07T03:08:45.9Z,1,REGULAR,turnover,bad pass,[],201939,,,1610612744,6,3,2025-02-07T03:08:49Z,270000,False,,,0,,S. Curry bad pass TURNOVER (1 TO),"[201939, 1627827]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,In The Paint (Non-RA),0-8 Center,1.0,Finney-Smith,1627827.0,,,,,,,,,,,,,,,,,
