actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-02-04T03:12:19.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-02-04T03:12:19Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2025-02-04T03:12:29.6Z,1,REGULAR,jumpball,recovered,[],1630532,,,1610612753,0,0,2025-02-04T03:12:29Z,40000,False,,,0,,Jump Ball G. Bitadze vs. Q. Post: Tip to F. Wagner,"[1630532, 1629048, 1642366]",1610612753.0,ORL,startperiod,F. Wagner,1630532.0,Wagner,F. Wagner,Bitadze,1629048.0,Post,1642366.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2025-02-04T03:12:41.9Z,1,REGULAR,3pt,Jump Shot,[],203484,23.73521681997372,12.009803921568627,1610612753,0,3,2025-02-04T03:13:09Z,70000,False,190.0,171.0,1,left,K. Caldwell-Pope 25' 3PT  (3 PTS) (A. Black 1 AST),"[203484, 1641710]",1610612753.0,ORL,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Above the Break 3,24+ Right Center,25.54,Made,3.0,A. Black,1641710.0,1.0,,,,,,,,,,,,,,
9,PT11M19.00S,2025-02-04T03:13:01.1Z,1,REGULAR,turnover,bad pass,[],203110,,,1610612744,0,3,2025-02-04T03:13:23Z,90000,False,,,0,,D. Green bad pass TURNOVER (1 TO),"[203110, 1629048]",1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Left Center,,,,,,,1.0,Bitadze,1629048.0,,,,,,,,,,,
10,PT11M19.00S,2025-02-04T03:13:01.1Z,1,REGULAR,steal,,[],1629048,,,1610612753,0,3,2025-02-04T03:13:02Z,100000,False,,,0,,G. Bitadze STEAL (1 STL),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
11,PT11M13.00S,2025-02-04T03:13:07.0Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1629048,9.149145860709593,54.41176470588235,1610612753,0,3,2025-02-04T03:13:51Z,110000,False,-22.0,34.0,1,left,MISS G. Bitadze running pullup Shot,[1629048],1610612753.0,ORL,running pullup,,,Bitadze,G. Bitadze,,,,,Restricted Area,0-8 Center,4.01,Missed,,,,,,,,,,,,,,,,,,
12,PT11M12.00S,2025-02-04T03:13:08.0Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,0,3,2025-02-04T03:13:51Z,120000,False,,,0,,D. Green REBOUND (Off:0 Def:1),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Restricted Area,0-8 Center,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,
13,PT11M06.00S,2025-02-04T03:13:14.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201939,75.03285151116951,9.045649509803923,1610612744,0,3,2025-02-04T03:14:15Z,130000,False,-205.0,182.0,1,right,MISS S. Curry 27' running pullup 3PT,[201939],1610612744.0,GSW,running pullup,,,Curry,S. Curry,,,,,Above the Break 3,24+ Left Center,27.41,Missed,,,,,,,,,,,,,,,,,,
14,PT11M03.00S,2025-02-04T03:13:17.1Z,1,REGULAR,rebound,defensive,[],203484,,,1610612753,0,3,2025-02-04T03:14:23Z,140000,False,,,0,,K. Caldwell-Pope REBOUND (Off:0 Def:1),[203484],1610612753.0,ORL,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,
15,PT10M51.00S,2025-02-04T03:13:29.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630532,12.746386333771355,49.83532475490197,1610612753,0,3,2025-02-04T03:15:05Z,150000,False,1.0,67.0,1,left,MISS F. Wagner 6' driving floating Shot,[1630532],1610612753.0,ORL,driving floating,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),0-8 Center,6.73,Missed,,,,,,,,,,,,,,,,,,
