actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-03-18T02:13:30.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-18T02:13:30Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2025-03-18T02:13:31.6Z,1,REGULAR,jumpball,recovered,[],203110,,,1610612744,0,0,2025-03-18T02:13:31Z,40000,False,,,0,,Jump Ball Q. Post vs. A. Gordon: Tip to D. Green,"[203110, 1642366, 203932]",1610612744.0,GSW,startperiod,D. Green,203110.0,Green,D. Green,Post,1642366.0,Gordon,203932.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2025-03-18T02:13:51.3Z,1,REGULAR,3pt,Jump Shot,[],202710,94.30026281208936,95.58823529411765,1610612744,0,0,2025-03-18T02:13:57Z,70000,False,228.0,1.0,1,right,MISS J. Butler III 3PT,[202710],1610612744.0,GSW,,,,Butler III,J. Butler III,,,,,Right Corner 3,24+ Right,22.79,Missed,,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2025-03-18T02:13:55.3Z,1,REGULAR,rebound,defensive,[],1641816,,,1610612743,0,0,2025-03-18T02:13:57Z,80000,False,,,0,,H. Tyson REBOUND (Off:0 Def:1),[1641816],1610612743.0,DEN,,,,Tyson,H. Tyson,,,,,Right Corner 3,24+ Right,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M31.00S,2025-03-18T02:14:00.1Z,1,REGULAR,foul,personal,['2freethrow'],203110,,,1610612743,0,0,2025-03-18T02:14:14Z,90000,False,,,0,,D. Green shooting personal FOUL (1 PF) (Gordon 2 FT),"[203110, 203932]",1610612744.0,GSW,shooting,,,Green,D. Green,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1830.0,1.0,0.0,Gordon,203932.0,,,,,,,,,
11,PT11M31.00S,2025-03-18T02:14:29.5Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],203932,,,1610612743,0,1,2025-03-18T02:14:29Z,110000,False,,,0,,A. Gordon Free Throw 1 of 2 (1 PTS),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,Made,,,,,,,,,,1.0,,,,,,,,
12,PT11M31.00S,2025-03-18T02:14:43.6Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],203932,,,1610612743,0,2,2025-03-18T02:14:43Z,120000,False,,,0,,A. Gordon Free Throw 2 of 2 (2 PTS),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,Made,,,,,,,,,,2.0,,,,,,,,
13,PT11M09.00S,2025-03-18T02:15:07.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630541,90.09526938239159,41.911764705882355,1610612744,0,2,2025-03-18T02:15:11Z,130000,False,-40.0,41.0,1,right,MISS M. Moody driving Layup - blocked,"[1630541, 201566]",1610612744.0,GSW,driving,,,Moody,M. Moody,,,,,In The Paint (Non-RA),0-8 Center,5.73,Missed,,,,,,,,,,,Westbrook,201566.0,,,,,,
14,PT11M09.00S,2025-03-18T02:15:07.0Z,1,REGULAR,block,,[],201566,,,1610612744,0,2,2025-03-18T02:15:09Z,140000,False,,,0,,R. Westbrook BLOCK (1 BLK),[201566],1610612743.0,DEN,,,,Westbrook,R. Westbrook,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
15,PT11M07.00S,2025-03-18T02:15:09.0Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,0,2,2025-03-18T02:15:11Z,150000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:1),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT11M05.00S,2025-03-18T02:15:12.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203932,26.888961892247043,16.176470588235293,1610612743,0,5,2025-03-18T02:15:50Z,160000,False,169.0,200.0,1,left,A. Gordon 26' 3PT running (5 PTS) (H. Tyson 1 AST),"[203932, 1641816]",1610612743.0,DEN,running,,,Gordon,A. Gordon,,,,,Above the Break 3,24+ Right Center,26.21,Made,,,,,,,,,,5.0,,,H. Tyson,1641816.0,1.0,,,
18,PT10M43.00S,2025-03-18T02:15:34.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642366,87.33574244415243,48.03921568627451,1610612744,2,5,2025-03-18T02:15:40Z,180000,False,-10.0,67.0,1,right,Q. Post 6' floating Jump Shot (2 PTS) (J. Butler III 1 AST),"[1642366, 202710]",1610612744.0,GSW,floating,,,Post,Q. Post,,,,,In The Paint (Non-RA),0-8 Center,6.72,Made,,,,,,,,,,2.0,,,J. Butler III,202710.0,1.0,,,
20,PT10M27.00S,2025-03-18T02:15:48.4Z,1,REGULAR,3pt,Jump Shot,[],1629008,26.62614980289093,80.14705882352942,1610612743,2,5,2025-03-18T02:15:53Z,200000,False,-151.0,198.0,1,left,MISS M. Porter Jr. 24' 3PT,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Left Center,24.87,Missed,,,,,,,,,,,,,,,,,,
21,PT10M25.00S,2025-03-18T02:15:50.4Z,1,REGULAR,rebound,defensive,[],1642366,,,1610612744,2,5,2025-03-18T02:15:53Z,210000,False,,,0,,Q. Post REBOUND (Off:0 Def:1),[1642366],1610612744.0,GSW,,,,Post,Q. Post,,,,,Above the Break 3,24+ Left Center,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,,,
22,PT10M12.00S,2025-03-18T02:16:03.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642366,91.01511169513797,47.30392156862745,1610612744,4,5,2025-03-18T02:16:08Z,220000,False,-13.0,32.0,1,right,Q. Post cutting Layup (4 PTS) (D. Green 1 AST),"[1642366, 203110]",1610612744.0,GSW,cutting,,,Post,Q. Post,,,,,Restricted Area,0-8 Center,3.47,Made,,,,,,,,,,4.0,,,D. Green,203110.0,1.0,,,
24,PT09M58.00S,2025-03-18T02:16:17.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203932,6.915243101182654,49.01960784313725,1610612743,4,7,2025-03-18T02:16:21Z,240000,False,5.0,13.0,1,left,A. Gordon cutting DUNK (7 PTS) (R. Westbrook 1 AST),"[203932, 201566]",1610612743.0,DEN,cutting,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,1.34,Made,,,,,,,,,,7.0,,,R. Westbrook,201566.0,1.0,,,
26,PT09M50.00S,2025-03-18T02:16:25.9Z,1,REGULAR,3pt,Jump Shot,[],201939,65.78515111695138,69.11764705882352,1610612744,4,7,2025-03-18T02:16:31Z,260000,False,96.0,269.0,1,right,MISS S. Curry 28' step back 3PT,[201939],1610612744.0,GSW,step back,,,Curry,S. Curry,,,,,Above the Break 3,24+ Right Center,28.56,Missed,,,,,,,,,,,,,,,,,,
27,PT09M47.00S,2025-03-18T02:16:29.5Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,4,7,2025-03-18T02:16:29Z,270000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:2),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Right Center,,,26.0,2.0,2.0,0.0,,,,,,,,,,,,,,
