actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,jumpBallRecoverdPersonId
2,PT12M00.00S,2025-03-16T00:41:02.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-16T00:41:02Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2025-03-16T00:41:07.1Z,1,REGULAR,jumpball,recovered,[],0,,,1610612752,0,0,2025-03-16T00:41:07Z,40000,False,,,0,,Jump Ball K. Towns vs. D. Green: Tip to Team (NYK),"[1626157, 203110]",1610612752.0,NYK,startperiod,Team (NYK),Towns,1626157.0,Green,203110.0,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M44.00S,2025-03-16T00:41:36.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626157,10.906701708278575,41.888786764705884,1610612752,0,2,2025-03-16T00:41:56Z,90000,False,41.0,50.0,1,left,K. Towns 6' driving DUNK (2 PTS),[1626157],1610612752.0,NYK,driving,,,,,,In The Paint (Non-RA),0-8 Center,6.44,Made,2.0,Towns,K. Towns,,,,,,,,,,,,,,,,,,
10,PT11M30.00S,2025-03-16T00:41:50.4Z,1,REGULAR,3pt,Jump Shot,[],1630541,65.67222404730617,52.79564950980392,1610612744,0,2,2025-03-16T00:42:13Z,100000,False,14.0,270.0,1,right,MISS M. Moody 27' 3PT,[1630541],1610612744.0,GSW,,,,,,,Above the Break 3,24+ Center,27.06,Missed,,Moody,M. Moody,,,,,,,,,,,,,,,,,,
11,PT11M28.00S,2025-03-16T00:41:52.4Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612752,0,2,2025-03-16T00:42:13Z,110000,False,,,0,,K. Towns REBOUND (Off:0 Def:1),[1626157],1610612752.0,NYK,,,,,,,Above the Break 3,24+ Center,,,,Towns,K. Towns,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M17.00S,2025-03-16T00:42:04.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628384,9.59264126149803,49.70894607843137,1610612752,0,2,2025-03-16T00:42:26Z,120000,False,1.0,38.0,1,left,MISS O. Anunoby driving Layup,[1628384],1610612752.0,NYK,driving,,,,,,Restricted Area,0-8 Center,3.77,Missed,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,
13,PT11M16.00S,2025-03-16T00:42:05.0Z,1,REGULAR,rebound,defensive,[],201939,,,1610612744,0,2,2025-03-16T00:42:26Z,130000,False,,,0,,S. Curry REBOUND (Off:0 Def:1),[201939],1610612744.0,GSW,,,,,,,Restricted Area,0-8 Center,,,,Curry,S. Curry,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT11M03.00S,2025-03-16T00:42:15.5Z,1,REGULAR,3pt,Jump Shot,[],1630541,95.3515111695138,3.6764705882352944,1610612744,3,2,2025-03-16T00:42:37Z,140000,False,-232.0,-9.0,1,right,M. Moody 3PT  (3 PTS) (J. Butler III 1 AST),"[1630541, 202710]",1610612744.0,GSW,,,,,,,Left Corner 3,24+ Left,23.18,Made,3.0,Moody,M. Moody,,,,,J. Butler III,202710.0,1.0,,,,,,,,,,,
16,PT10M42.00S,2025-03-16T00:42:39.2Z,1,REGULAR,2pt,Jump Shot,[],1626157,26.54402102496715,56.40701593137255,1610612752,3,2,2025-03-16T00:43:07Z,160000,False,-32.0,197.0,1,left,MISS K. Towns 19' fadeaway Shot,[1626157],1610612752.0,NYK,fadeaway,,,,,,Mid-Range,16-24 Center,19.96,Missed,,Towns,K. Towns,,,,,,,,,,,,,,,,,,
17,PT10M40.00S,2025-03-16T00:42:41.2Z,1,REGULAR,rebound,defensive,[],1630611,,,1610612744,3,2,2025-03-16T00:43:07Z,170000,False,,,0,,G. Santos REBOUND (Off:0 Def:1),[1630611],1610612744.0,GSW,,,,,,,Mid-Range,16-24 Center,,,,Santos,G. Santos,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,
