actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-04-12T02:13:51.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-04-12T02:13:51Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-04-12T02:13:53.8Z,1,REGULAR,jumpball,recovered,[],201939,,,1610612744,0,0,2025-04-12T02:13:53Z,40000,False,,,0,,Jump Ball D. Green vs. D. Clingan: Tip to S. Curry,"[201939, 203110, 1642270]",1610612744.0,GSW,startperiod,S. Curry,201939.0,Curry,S. Curry,Green,203110.0,Clingan,1642270.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2025-04-12T02:14:08.8Z,1,REGULAR,3pt,Jump Shot,[],203110,67.7562417871222,61.029411764705884,1610612744,0,0,2025-04-12T02:14:13Z,70000,False,55.0,251.0,1,right,MISS D. Green 25' 3PT,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Center,25.66,Missed,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2025-04-12T02:14:11.8Z,1,REGULAR,rebound,offensive,[],1630541,,,1610612744,0,0,2025-04-12T02:14:13Z,80000,False,,,0,,M. Moody REBOUND (Off:1 Def:0),[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,Above the Break 3,24+ Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M36.00S,2025-04-12T02:14:14.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201939,68.15045992115637,31.372549019607842,1610612744,0,0,2025-04-12T02:14:18Z,90000,False,-93.0,247.0,1,right,MISS S. Curry 26' 3PT,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,Above the Break 3,24+ Left Center,26.39,Missed,,,,,,,,,,,,,,,,,,
10,PT11M34.00S,2025-04-12T02:14:16.0Z,1,REGULAR,rebound,offensive,[],1641764,,,1610612744,0,0,2025-04-12T02:14:18Z,100000,False,,,0,,B. Podziemski REBOUND (Off:1 Def:0),[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,Above the Break 3,24+ Left Center,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,
11,PT11M33.00S,2025-04-12T02:14:16.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1641764,93.51182654402102,47.794117647058826,1610612744,0,2,2025-04-12T02:14:21Z,110000,False,-11.0,8.0,1,right,B. Podziemski putback Layup (2 PTS),[1641764],1610612744.0,GSW,putback,,,Podziemski,B. Podziemski,,,,,Restricted Area,0-8 Center,1.39,Made,,,,,2.0,,,,,,,,,,,,,
12,PT11M19.00S,2025-04-12T02:14:34.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631200,10.200394218134035,58.57843137254902,1610612757,0,2,2025-04-12T02:15:14Z,120000,False,-43.0,43.0,1,left,MISS K. Murray 6' turnaround Shot - blocked,"[1631200, 201939]",1610612757.0,POR,turnaround,,,Murray,K. Murray,,,,,In The Paint (Non-RA),0-8 Center,6.1,Missed,,,,,,Curry,201939.0,,,,,,,,,,,
13,PT11M19.00S,2025-04-12T02:14:34.0Z,1,REGULAR,block,,[],201939,,,1610612757,0,2,2025-04-12T02:14:37Z,130000,False,,,0,,S. Curry BLOCK (1 BLK),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
17,PT11M17.00S,2025-04-12T02:14:36.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612757,0,2,2025-04-12T02:14:56Z,140000,False,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,12.0,,,,,,,,,,,,,,,,,
14,PT11M17.00S,2025-04-12T02:14:54.7Z,1,REGULAR,jumpball,recovered,[],1641739,,,1610612757,0,2,2025-04-12T02:14:54Z,150000,False,,,0,,Jump Ball K. Murray vs. S. Curry: Tip to T. Camara,"[1641739, 1631200, 201939]",1610612757.0,POR,heldball,T. Camara,1641739.0,Camara,T. Camara,Murray,1631200.0,Curry,201939.0,,,,,,,,,,,,,,,,,,,,,,
18,PT11M13.00S,2025-04-12T02:14:59.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1641739,8.360709592641262,44.36274509803921,1610612757,0,2,2025-04-12T02:15:05Z,180000,False,28.0,26.0,1,left,MISS T. Camara driving floating Shot,[1641739],1610612757.0,POR,driving floating,,,Camara,T. Camara,,,,,Restricted Area,0-8 Center,3.84,Missed,,,,,,,,,,,,,,,,,,
19,PT11M10.00S,2025-04-12T02:15:02.3Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,0,2,2025-04-12T02:15:05Z,190000,False,,,0,,D. Green REBOUND (Off:0 Def:1),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Restricted Area,0-8 Center,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,,
