actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-03-04T00:10:28.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-04T00:10:28Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M53.00S,2025-03-04T00:10:34.5Z,1,REGULAR,jumpball,recovered,[],1630541,,,1610612744,0,0,2025-03-04T00:10:34Z,40000,False,,,0,,Jump Ball D. Green vs. M. Williams: Tip to M. Moody,"[1630541, 203110, 1631109]",1610612744.0,GSW,startperiod,M. Moody,1630541.0,Moody,M. Moody,Green,203110.0,Williams,1631109.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2025-03-04T00:10:51.1Z,1,REGULAR,2pt,Jump Shot,[],202710,87.20433639947439,77.94117647058823,1610612744,0,2,2025-03-04T00:10:56Z,70000,False,140.0,68.0,1,right,J. Butler III 15' Jump Shot (2 PTS) (S. Curry 1 AST),"[202710, 201939]",1610612744.0,GSW,,,,Butler III,J. Butler III,,,,,Mid-Range,8-16 Right,15.53,Made,2.0,S. Curry,201939.0,1.0,,,,,,,,,,,,,,
9,PT11M17.00S,2025-03-04T00:11:10.2Z,1,REGULAR,3pt,Jump Shot,[],1630182,26.757555847568987,85.04901960784314,1610612766,0,2,2025-03-04T00:11:14Z,90000,False,-175.0,199.0,1,left,MISS J. Green 26' 3PT,[1630182],1610612766.0,CHA,,,,Green,J. Green,,,,,Above the Break 3,24+ Left Center,26.51,Missed,,,,,,,,,,,,,,,,,,
10,PT11M15.00S,2025-03-04T00:11:12.2Z,1,REGULAR,rebound,defensive,[],1641764,,,1610612744,0,2,2025-03-04T00:11:14Z,100000,False,,,0,,B. Podziemski REBOUND (Off:0 Def:1),[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,Above the Break 3,24+ Left Center,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M07.00S,2025-03-04T00:11:21.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203110,92.06636005256242,55.63725490196079,1610612744,0,2,2025-03-04T00:11:25Z,110000,False,28.0,22.0,1,right,MISS D. Green cutting Layup - blocked,"[203110, 1628970]",1610612744.0,GSW,cutting,,,Green,D. Green,,,,,Restricted Area,0-8 Center,3.58,Missed,,,,,,,,,Bridges,1628970.0,,,,,,,,
12,PT11M07.00S,2025-03-04T00:11:21.1Z,1,REGULAR,block,,[],1628970,,,1610612744,0,2,2025-03-04T00:11:23Z,120000,False,,,0,,M. Bridges BLOCK (1 BLK),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
13,PT11M03.00S,2025-03-04T00:11:25.1Z,1,REGULAR,rebound,defensive,[],1631109,,,1610612766,0,2,2025-03-04T00:11:25Z,130000,False,,,0,,M. Williams REBOUND (Off:0 Def:1),[1631109],1610612766.0,CHA,,,,Williams,M. Williams,,,,,Restricted Area,0-8 Center,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
14,PT10M57.00S,2025-03-04T00:11:31.4Z,1,REGULAR,2pt,Jump Shot,[],1630163,16.507884362680684,67.64705882352942,1610612766,0,2,2025-03-04T00:11:36Z,140000,False,-88.0,103.0,1,left,MISS L. Ball 13' driving floating Shot,[1630163],1610612766.0,CHA,driving floating,,,Ball,L. Ball,,,,,Mid-Range,8-16 Left,13.54,Missed,,,,,,,,,,,,,,,,,,
15,PT10M54.00S,2025-03-04T00:11:33.5Z,1,REGULAR,rebound,offensive,[],1630163,,,1610612766,0,2,2025-03-04T00:11:33Z,150000,False,,,0,,L. Ball REBOUND (Off:1 Def:0),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,Mid-Range,8-16 Left,,,,,,,14.0,1.0,0.0,1.0,,,,,,,,,,
