actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-01-19T01:40:41.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-19T01:40:41Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-01-19T01:40:43.8Z,1,REGULAR,jumpball,recovered,[],203110,,,1610612744,0,0,2025-01-19T01:40:43Z,40000,False,,,0,,Jump Ball T. Jackson-Davis vs. A. Sarr: Tip to D. Green,"[203110, 1631218, 1642259]",1610612744.0,GSW,startperiod,D. Green,203110.0,Green,D. Green,Jackson-Davis,1631218.0,Sarr,1642259.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2025-01-19T01:41:22.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203952,91.5407358738502,57.84313725490197,1610612744,2,0,2025-01-19T01:41:26Z,80000,False,39.0,27.0,1,right,A. Wiggins driving Layup (2 PTS),[203952],1610612744.0,GSW,driving,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),0-8 Center,4.76,Made,2.0,,,,,,,,,,,,,,,,,
9,PT11M20.00S,2025-01-19T01:41:38.2Z,1,REGULAR,2pt,Jump Shot,[],1628398,24.78646517739816,67.64705882352942,1610612764,2,0,2025-01-19T01:41:42Z,90000,False,-88.0,180.0,1,left,MISS K. Kuzma 20' step back Shot,[1628398],1610612764.0,WAS,step back,,,Kuzma,K. Kuzma,,,,,Mid-Range,16-24 Left Center,20.09,Missed,,,,,,,,,,,,,,,,,,
10,PT11M18.00S,2025-01-19T01:41:40.2Z,1,REGULAR,rebound,offensive,[],1641731,,,1610612764,2,0,2025-01-19T01:41:42Z,100000,False,,,0,,B. Coulibaly REBOUND (Off:1 Def:0),[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,Mid-Range,16-24 Left Center,,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,
11,PT11M15.00S,2025-01-19T01:41:43.6Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1629673,13.87976346911958,19.11764705882353,1610612764,2,2,2025-01-19T01:41:54Z,110000,False,154.0,78.0,1,left,J. Poole 17' pullup bank Jump Shot (2 PTS) (B. Coulibaly 1 AST),"[1629673, 1641731]",1610612764.0,WAS,pullup bank,,,Poole,J. Poole,,,,,Mid-Range,16-24 Right,17.3,Made,2.0,,,,,B. Coulibaly,1641731.0,1.0,,,,,,,,,,
13,PT11M03.00S,2025-01-19T01:41:56.0Z,1,REGULAR,3pt,Jump Shot,[],203471,90.75229960578186,4.6568627450980395,1610612744,5,2,2025-01-19T01:42:00Z,130000,False,-227.0,34.0,1,right,D. Schröder 3PT  (3 PTS) (A. Wiggins 1 AST),"[203471, 203952]",1610612744.0,GSW,,,,Schröder,D. Schröder,,,,,Left Corner 3,24+ Left,22.93,Made,3.0,,,,,A. Wiggins,203952.0,1.0,,,,,,,,,,
15,PT10M49.00S,2025-01-19T01:42:13.3Z,1,REGULAR,turnover,out-of-bounds,[],1641731,,,1610612764,5,2,2025-01-19T01:42:20Z,150000,False,,,0,,B. Coulibaly bad pass out-of-bounds TURNOVER (1 TO),[1641731],1610612764.0,WAS,bad pass,,,Coulibaly,B. Coulibaly,,,,,Mid-Range,8-16 Left,,,,,,,,,,,1627524.0,1.0,,,,,,,,
16,PT10M34.00S,2025-01-19T01:42:35.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203471,68.67608409986859,73.2843137254902,1610612744,5,2,2025-01-19T01:42:39Z,160000,False,116.0,242.0,1,right,MISS D. Schröder 26' 3PT,[203471],1610612744.0,GSW,,,,Schröder,D. Schröder,,,,,Above the Break 3,24+ Right Center,26.84,Missed,,,,,,,,,,,,,,,,,,
17,PT10M30.00S,2025-01-19T01:42:39.4Z,1,REGULAR,rebound,defensive,[],1641731,,,1610612764,5,2,2025-01-19T01:42:45Z,170000,False,,,0,,B. Coulibaly REBOUND (Off:1 Def:1),[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,Above the Break 3,24+ Right Center,,,,16.0,2.0,1.0,1.0,,,,,,,,,,,,,
