actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-03-19T02:10:41.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-19T02:10:41Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2025-03-19T02:10:47.4Z,1,REGULAR,jumpball,recovered,[],202710,,,1610612744,0,0,2025-03-19T02:10:47Z,40000,False,,,0,,Jump Ball Q. Post vs. B. Lopez: Tip to J. Butler III,"[202710, 1642366, 201572]",1610612744.0,GSW,startperiod,J. Butler III,202710.0,Butler III,J. Butler III,Post,1642366.0,Lopez,201572.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2025-03-19T02:10:54.0Z,1,REGULAR,3pt,Jump Shot,[],1630541,74.32654402102497,85.5392156862745,1610612744,0,0,2025-03-19T02:10:59Z,70000,False,178.0,189.0,1,right,MISS M. Moody 25' 3PT,[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,Above the Break 3,24+ Right Center,25.93,Missed,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2025-03-19T02:10:56.0Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,0,0,2025-03-19T02:10:59Z,80000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M31.00S,2025-03-19T02:11:09.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203507,4.812746386333772,41.66666666666667,1610612749,0,0,2025-03-19T02:11:43Z,90000,False,42.0,-7.0,1,left,MISS G. Antetokounmpo driving Layup - blocked,"[203507, 203110]",1610612749.0,MIL,driving,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,4.23,Missed,,,,,Green,203110.0,,,,,,,,,,,,
10,PT11M31.00S,2025-03-19T02:11:09.7Z,1,REGULAR,block,,[],203110,,,1610612749,0,0,2025-03-19T02:11:11Z,100000,False,,,0,,D. Green BLOCK (1 BLK),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M31.00S,2025-03-19T02:11:09.7Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,0,0,2025-03-19T02:11:43Z,110000,False,,,0,,D. Green REBOUND (Off:0 Def:1),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Restricted Area,0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M23.00S,2025-03-19T02:11:17.5Z,1,REGULAR,3pt,Jump Shot,[],1642366,78.13731931668858,6.127450980392156,1610612744,3,0,2025-03-19T02:11:23Z,120000,False,-219.0,153.0,1,right,Q. Post 26' 3PT  (3 PTS) (M. Moody 1 AST),"[1642366, 1630541]",1610612744.0,GSW,,,,Post,Q. Post,,,,,Above the Break 3,24+ Left Center,26.75,Made,,,,,,,3.0,M. Moody,1630541.0,1.0,,,,,,,,
14,PT11M03.00S,2025-03-19T02:11:37.7Z,1,REGULAR,3pt,Jump Shot,[],203507,28.597240473061763,23.52941176470588,1610612749,3,0,2025-03-19T02:12:07Z,140000,False,132.0,216.0,1,left,MISS G. Antetokounmpo 25' pullup 3PT,[203507],1610612749.0,MIL,pullup,,,Antetokounmpo,G. Antetokounmpo,,,,,Above the Break 3,24+ Right Center,25.36,Missed,,,,,,,,,,,,,,,,,,
15,PT11M01.00S,2025-03-19T02:11:39.7Z,1,REGULAR,rebound,defensive,[],1642366,,,1610612744,3,0,2025-03-19T02:11:42Z,150000,False,,,0,,Q. Post REBOUND (Off:0 Def:1),[1642366],1610612744.0,GSW,,,,Post,Q. Post,,,,,Above the Break 3,24+ Right Center,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT10M48.00S,2025-03-19T02:11:52.8Z,1,REGULAR,3pt,Jump Shot,[],1642366,66.5735873850197,59.80392156862745,1610612744,3,0,2025-03-19T02:11:57Z,160000,False,49.0,262.0,1,right,MISS Q. Post 26' 3PT,[1642366],1610612744.0,GSW,,,,Post,Q. Post,,,,,Above the Break 3,24+ Center,26.62,Missed,,,,,,,,,,,,,,,,,,
17,PT10M46.00S,2025-03-19T02:11:54.8Z,1,REGULAR,rebound,offensive,[],1630541,,,1610612744,3,0,2025-03-19T02:11:57Z,170000,False,,,0,,M. Moody REBOUND (Off:1 Def:0),[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,Above the Break 3,24+ Center,,,16.0,1.0,0.0,1.0,,,,,,,,,,,,,,
