actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-10-31T02:10:47.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-10-31T02:10:47Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-10-31T02:10:49.7Z,1,REGULAR,jumpball,recovered,[],203110,,,1610612744,0,0,2024-10-31T02:10:49Z,40000,False,,,0,,Jump Ball T. Jackson-Davis vs. D. Theis: Tip to D. Green,"[203110, 1631218, 1628464]",1610612744.0,GSW,startperiod,D. Green,203110.0,Green,D. Green,Jackson-Davis,1631218.0,Theis,1628464.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2024-10-31T02:11:01.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631218,5.732588699080158,46.32352941176471,1610612744,2,0,2024-10-31T02:11:08Z,70000,False,18.0,1.0,1,left,T. Jackson-Davis alley-oop Layup (2 PTS) (B. Podziemski 1 AST),"[1631218, 1641764]",1610612744.0,GSW,alley-oop,,,Jackson-Davis,T. Jackson-Davis,,,,,Restricted Area,0-8 Center,1.85,Made,2.0,B. Podziemski,1641764.0,1.0,,,,,,,,,,,,,,
9,PT11M24.00S,2024-10-31T02:11:21.8Z,1,REGULAR,2pt,Jump Shot,[],1628464,75.68988173455979,53.84497549019608,1610612740,2,0,2024-10-31T02:11:29Z,90000,False,19.0,176.0,1,right,MISS D. Theis 17' Jump Shot,[1628464],1610612740.0,NOP,,,,Theis,D. Theis,,,,,Mid-Range,16-24 Center,17.7,Missed,,,,,,,,,,,,,,,,,,
10,PT11M22.00S,2024-10-31T02:11:23.8Z,1,REGULAR,rebound,defensive,[],1631218,,,1610612744,2,0,2024-10-31T02:11:29Z,100000,False,,,0,,T. Jackson-Davis REBOUND (Off:0 Def:1),[1631218],1610612744.0,GSW,,,,Jackson-Davis,T. Jackson-Davis,,,,,Mid-Range,16-24 Center,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M11.00S,2024-10-31T02:11:35.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631218,6.1268068331143235,53.431372549019606,1610612744,4,0,2024-10-31T02:11:39Z,110000,False,-17.0,5.0,1,left,T. Jackson-Davis driving DUNK (4 PTS) (L. Waters III 1 AST),"[1631218, 1630322]",1610612744.0,GSW,driving,,,Jackson-Davis,T. Jackson-Davis,,,,,Restricted Area,0-8 Center,1.79,Made,4.0,L. Waters III,1630322.0,1.0,,,,,,,,,,,,,,
13,PT11M00.00S,2024-10-31T02:11:50.0Z,1,REGULAR,turnover,out-of-bounds,[],1641722,,,1610612740,4,0,2024-10-31T02:12:01Z,130000,False,,,0,,J. Hawkins step out-of-bounds TURNOVER (1 TO),[1641722],1610612740.0,NOP,step,,,Hawkins,J. Hawkins,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,1627526.0,1.0,,,,,,,,
14,PT10M46.00S,2024-10-31T02:12:11.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1641764,7.30946123521682,42.64705882352941,1610612744,6,0,2024-10-31T02:12:25Z,140000,False,37.0,16.0,1,left,B. Podziemski driving Layup (2 PTS),[1641764],1610612744.0,GSW,driving,,,Podziemski,B. Podziemski,,,,,Restricted Area,0-8 Center,4.02,Made,2.0,,,,,,,,,,,,,,,,,
15,PT10M29.00S,2024-10-31T02:12:28.2Z,1,REGULAR,3pt,Jump Shot,[],1641722,84.70762155059133,3.9215686274509802,1610612740,6,0,2024-10-31T02:12:33Z,150000,False,-230.0,91.0,1,right,MISS J. Hawkins 24' 3PT,[1641722],1610612740.0,NOP,,,,Hawkins,J. Hawkins,,,,,Above the Break 3,24+ Left,24.78,Missed,,,,,,,,,,,,,,,,,,
16,PT10M26.00S,2024-10-31T02:12:31.2Z,1,REGULAR,rebound,offensive,[],1629627,,,1610612740,6,0,2024-10-31T02:12:31Z,160000,False,,,0,,Z. Williamson REBOUND (Off:1 Def:0),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Above the Break 3,24+ Left,,,,,,,15.0,1.0,0.0,1.0,,,,,,,,,,
17,PT10M23.00S,2024-10-31T02:12:33.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629627,93.11760840998686,45.34313725490196,1610612740,6,2,2024-10-31T02:12:37Z,170000,False,-23.0,12.0,1,right,Z. Williamson Layup (2 PTS),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,2.63,Made,2.0,,,,,,,,,,,,,,,,,
18,PT10M17.00S,2024-10-31T02:12:39.6Z,1,REGULAR,3pt,Jump Shot,[],1630322,11.12023653088042,5.147058823529411,1610612744,6,2,2024-10-31T02:14:07Z,180000,False,224.0,52.0,1,left,MISS L. Waters III 3PT,[1630322],1610612744.0,GSW,,,,Waters III,L. Waters III,,,,,Right Corner 3,24+ Right,23.02,Missed,,,,,,,,,,,,,,,,,,
19,PT10M12.00S,2024-10-31T02:12:44.6Z,1,REGULAR,rebound,defensive,[],1630631,,,1610612740,6,2,2024-10-31T02:12:47Z,190000,False,,,0,,J. Alvarado REBOUND (Off:0 Def:1),[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,Right Corner 3,24+ Right,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,
20,PT10M06.00S,2024-10-31T02:12:50.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629627,85.49605781865965,47.794117647058826,1610612740,6,2,2024-10-31T02:12:54Z,200000,False,-11.0,84.0,1,right,MISS Z. Williamson 8' Jump Shot,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,In The Paint (Non-RA),8-16 Center,8.45,Missed,,,,,,,,,,,,,,,,,,
21,PT10M04.00S,2024-10-31T02:12:52.1Z,1,REGULAR,rebound,defensive,[],1631218,,,1610612744,6,2,2024-10-31T02:12:54Z,210000,False,,,0,,T. Jackson-Davis REBOUND (Off:0 Def:2),[1631218],1610612744.0,GSW,,,,Jackson-Davis,T. Jackson-Davis,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,20.0,2.0,2.0,0.0,,,,,,,,,,
22,PT10M01.00S,2024-10-31T02:12:56.9Z,1,REGULAR,turnover,out-of-bounds,[],203110,,,1610612744,6,2,2024-10-31T02:13:07Z,220000,False,,,0,,D. Green bad pass out-of-bounds TURNOVER (1 TO),[203110],1610612744.0,GSW,bad pass,,,Green,D. Green,,,,,Above the Break 3,24+ Center,,,,,,,,,,,1627526.0,1.0,,,,,,,,
23,PT09M48.00S,2024-10-31T02:13:30.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630631,70.12155059132719,78.92156862745098,1610612740,6,5,2024-10-31T02:13:33Z,230000,False,145.0,228.0,1,right,J. Alvarado 27' 3PT  (3 PTS) (B. Ingram 1 AST),"[1630631, 1627742]",1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,Above the Break 3,24+ Right Center,27.03,Made,3.0,B. Ingram,1627742.0,1.0,,,,,,,,,,,,,,
25,PT09M32.00S,2024-10-31T02:13:45.1Z,1,REGULAR,2pt,Jump Shot,[],1641764,4.02431011826544,72.05882352941177,1610612744,6,5,2024-10-31T02:13:50Z,250000,False,-110.0,-15.0,1,left,MISS B. Podziemski 11' pullup Shot,[1641764],1610612744.0,GSW,pullup,,,Podziemski,B. Podziemski,,,,,Mid-Range,8-16 Left,11.13,Missed,,,,,,,,,,,,,,,,,,
26,PT09M29.00S,2024-10-31T02:13:48.1Z,1,REGULAR,rebound,defensive,[],1628464,,,1610612740,6,5,2024-10-31T02:13:50Z,260000,False,,,0,,D. Theis REBOUND (Off:0 Def:1),[1628464],1610612740.0,NOP,,,,Theis,D. Theis,,,,,Mid-Range,8-16 Left,,,,,,,25.0,1.0,1.0,0.0,,,,,,,,,,
27,PT09M20.00S,2024-10-31T02:13:57.1Z,1,REGULAR,turnover,out-of-bounds,[],1628464,,,1610612740,6,5,2024-10-31T02:14:02Z,270000,False,,,0,,D. Theis bad pass out-of-bounds TURNOVER (1 TO),[1628464],1610612740.0,NOP,bad pass,,,Theis,D. Theis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1627526.0,1.0,,,,,,,,
28,PT09M11.00S,2024-10-31T02:14:11.1Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203110,22.651116951379763,83.82352941176471,1610612744,6,5,2024-10-31T02:16:21Z,280000,False,-169.0,160.0,1,left,MISS D. Green 23' Jump Shot,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Mid-Range,16-24 Left Center,23.31,Missed,,,,,,,,,,,,,,,,,,
29,PT09M08.00S,2024-10-31T02:14:14.1Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612740,6,5,2024-10-31T02:14:15Z,290000,False,,,0,,B. Ingram REBOUND (Off:0 Def:1),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Left Center,,,,,,,28.0,1.0,1.0,0.0,,,,,,,,,,
30,PT08M56.00S,2024-10-31T02:14:26.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628464,92.9862023653088,40.931372549019606,1610612740,6,5,2024-10-31T02:14:30Z,300000,False,-45.0,13.0,1,right,MISS D. Theis Hook,[1628464],1610612740.0,NOP,,,,Theis,D. Theis,,,,,In The Paint (Non-RA),0-8 Center,4.72,Missed,,,,,,,,,,,,,,,,,,
31,PT08M53.00S,2024-10-31T02:14:29.2Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,6,5,2024-10-31T02:14:30Z,310000,False,,,0,,D. Green REBOUND (Off:0 Def:1),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,30.0,1.0,1.0,0.0,,,,,,,,,,
32,PT08M38.00S,2024-10-31T02:14:44.3Z,1,REGULAR,3pt,Jump Shot,[],203110,32.670827858081466,63.48039215686274,1610612744,6,5,2024-10-31T02:14:49Z,320000,False,-67.0,255.0,1,left,MISS D. Green 26' 3PT,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Center,26.34,Missed,,,,,,,,,,,,,,,,,,
