actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-11-09T00:40:55.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-09T00:40:55Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-11-09T00:40:57.4Z,1,REGULAR,jumpball,recovered,[],1630596,,,1610612739,0,0,2024-11-09T00:40:57Z,40000,False,,,0,,Jump Ball J. Allen vs. T. Jackson-Davis: Tip to E. Mobley,"[1630596, 1628386, 1631218]",1610612739.0,CLE,startperiod,E. Mobley,1630596.0,Mobley,E. Mobley,Allen,1628386.0,Jackson-Davis,1631218.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2024-11-09T00:41:10.5Z,1,REGULAR,foul,personal,['2freethrow'],203110,,,1610612739,0,0,2024-11-09T00:41:16Z,70000,False,,,0,,D. Green shooting personal FOUL (1 PF) (Mobley 2 FT),"[203110, 1630596]",1610612744.0,GSW,shooting,,,Green,D. Green,,,,,Restricted Area,0-8 Center,1179.0,1.0,0.0,Mobley,1630596.0,,,,,,,,,,,,,,,
9,PT11M47.00S,2024-11-09T00:41:39.5Z,1,REGULAR,freethrow,1 of 2,[],1630596,,,1610612739,1,0,2024-11-09T00:41:39Z,90000,False,,,0,,E. Mobley Free Throw 1 of 2 (1 PTS),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M47.00S,2024-11-09T00:41:57.8Z,1,REGULAR,freethrow,2 of 2,[],1630596,,,1610612739,2,0,2024-11-09T00:41:57Z,100000,False,,,0,,E. Mobley Free Throw 2 of 2 (2 PTS),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
11,PT11M20.00S,2024-11-09T00:42:24.7Z,1,REGULAR,2pt,Jump Shot,[],203952,90.62089356110381,92.15686274509804,1610612744,2,2,2024-11-09T00:42:33Z,110000,False,211.0,36.0,1,right,A. Wiggins 21' step back Jump Shot (2 PTS),[203952],1610612744.0,GSW,step back,,,Wiggins,A. Wiggins,,,,,Mid-Range,16-24 Right,,,,,,Made,2.0,21.38,,,,,,,,,,,,
12,PT11M09.00S,2024-11-09T00:42:36.4Z,1,REGULAR,3pt,Jump Shot,[],1630171,19.267411300919843,92.15686274509804,1610612739,5,2,2024-11-09T00:42:40Z,120000,False,-211.0,129.0,1,left,I. Okoro 24' 3PT  (3 PTS) (D. Mitchell 1 AST),"[1630171, 1628378]",1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,Above the Break 3,24+ Left Center,,,,,,Made,3.0,24.69,D. Mitchell,1628378.0,1.0,,,,,,,,,
14,PT11M04.00S,2024-11-09T00:42:43.3Z,1,REGULAR,turnover,out-of-bounds,[],201939,,,1610612744,5,2,2024-11-09T00:42:57Z,140000,False,,,0,,S. Curry bad pass out-of-bounds TURNOVER (1 TO),[201939],1610612744.0,GSW,bad pass,,,Curry,S. Curry,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,1.0,,,,,,,,
15,PT10M47.00S,2024-11-09T00:43:06.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630596,9.85545335085414,2.7190563725490198,1610612739,5,2,2024-11-09T00:43:14Z,150000,False,236.0,40.0,1,left,MISS E. Mobley 3PT,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Right Corner 3,24+ Right,,,,,,Missed,,23.98,,,,,,,,,,,,
16,PT10M44.00S,2024-11-09T00:43:09.0Z,1,REGULAR,rebound,defensive,[],1631218,,,1610612744,5,2,2024-11-09T00:43:09Z,160000,False,,,0,,T. Jackson-Davis REBOUND (Off:0 Def:1),[1631218],1610612744.0,GSW,,,,Jackson-Davis,T. Jackson-Davis,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,
17,PT10M38.00S,2024-11-09T00:43:14.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203952,93.38042049934296,51.9607843137255,1610612744,5,2,2024-11-09T00:43:20Z,170000,False,10.0,10.0,1,right,MISS A. Wiggins driving Layup - blocked,"[203952, 1630596]",1610612744.0,GSW,driving,,,Wiggins,A. Wiggins,,,,,Restricted Area,0-8 Center,,,,,,Missed,,1.38,,,,,,,,,Mobley,1630596.0,,
18,PT10M38.00S,2024-11-09T00:43:14.7Z,1,REGULAR,block,,[],1630596,,,1610612744,5,2,2024-11-09T00:43:18Z,180000,False,,,0,,E. Mobley BLOCK (1 BLK),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
19,PT10M34.00S,2024-11-09T00:43:18.7Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,5,2,2024-11-09T00:43:20Z,190000,False,,,0,,J. Allen REBOUND (Off:0 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,17.0,1.0,1.0,0.0,,,,
20,PT10M31.00S,2024-11-09T00:43:21.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1630596,4.812746386333772,51.9607843137255,1610612739,7,2,2024-11-09T00:43:29Z,200000,False,-10.0,-7.0,1,left,E. Mobley running alley-oop DUNK (4 PTS) (D. Garland 1 AST),"[1630596, 1629636]",1610612739.0,CLE,running alley-oop,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,,,,,,Made,4.0,1.22,D. Garland,1629636.0,1.0,,,,,,,,,
22,PT10M19.00S,2024-11-09T00:43:33.3Z,1,REGULAR,3pt,Jump Shot,[],203110,95.3515111695138,1.2254901960784315,1610612744,7,2,2024-11-09T00:43:39Z,220000,False,-244.0,-9.0,1,right,MISS D. Green 24' 3PT,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Left Corner 3,24+ Left,,,,,,Missed,,24.41,,,,,,,,,,,,
23,PT10M17.00S,2024-11-09T00:43:35.3Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,7,2,2024-11-09T00:44:10Z,230000,False,,,0,,J. Allen REBOUND (Off:0 Def:2),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,22.0,2.0,2.0,0.0,,,,
24,PT10M06.00S,2024-11-09T00:43:46.6Z,1,REGULAR,3pt,Jump Shot,[],1629636,31.225361366622867,23.774509803921568,1610612739,10,2,2024-11-09T00:43:51Z,240000,False,131.0,241.0,1,left,D. Garland 27' 3PT step back (3 PTS),[1629636],1610612739.0,CLE,step back,,,Garland,D. Garland,,,,,Above the Break 3,24+ Right Center,,,,,,Made,3.0,27.44,,,,,,,,,,,,
26,PT09M49.00S,2024-11-09T00:44:17.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631218,90.3580814717477,42.15686274509804,1610612744,10,2,2024-11-09T00:45:05Z,260000,False,-39.0,38.0,1,right,MISS T. Jackson-Davis driving floating bank Shot,[1631218],1610612744.0,GSW,driving floating bank,,,Jackson-Davis,T. Jackson-Davis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,5.47,,,,,,,,,,,,
27,PT09M47.00S,2024-11-09T00:44:19.9Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,10,2,2024-11-09T00:45:05Z,270000,False,,,0,,E. Mobley REBOUND (Off:0 Def:1),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,26.0,1.0,1.0,0.0,,,,
28,PT09M40.00S,2024-11-09T00:44:28.1Z,1,REGULAR,turnover,out-of-bounds,[],1630596,,,1610612739,10,2,2024-11-09T00:44:34Z,280000,False,,,0,,E. Mobley bad pass out-of-bounds TURNOVER (1 TO),[1630596],1610612739.0,CLE,bad pass,,,Mobley,E. Mobley,,,,,Mid-Range,8-16 Right,1627519.0,,,,,,,,,,,1.0,,,,,,,,
29,PT09M27.00S,2024-11-09T00:44:47.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203952,78.40013140604468,7.8431372549019605,1610612744,10,2,2024-11-09T00:44:53Z,290000,False,-211.0,151.0,1,right,MISS A. Wiggins 25' 3PT,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,25.9,,,,,,,,,,,,
30,PT09M24.00S,2024-11-09T00:44:50.4Z,1,REGULAR,rebound,defensive,[],1628378,,,1610612739,10,2,2024-11-09T00:45:03Z,300000,False,,,0,,D. Mitchell REBOUND (Off:0 Def:1),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,29.0,1.0,1.0,0.0,,,,
31,PT09M14.00S,2024-11-09T00:45:00.2Z,1,REGULAR,3pt,Jump Shot,[],1628378,31.61957950065703,41.911764705882355,1610612739,13,2,2024-11-09T00:45:07Z,310000,False,40.0,245.0,1,left,D. Mitchell 24' 3PT pullup (3 PTS),[1628378],1610612739.0,CLE,pullup,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Center,,,,,,Made,3.0,24.8,,,,,,,,,,,,
32,PT08M51.00S,2024-11-09T00:45:23.2Z,1,REGULAR,3pt,Jump Shot,[],203110,93.9060446780552,97.30392156862744,1610612744,13,2,2024-11-09T00:46:15Z,320000,False,237.0,5.0,1,right,MISS D. Green 3PT,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Right Corner 3,24+ Right,,,,,,Missed,,23.65,,,,,,,,,,,,
33,PT08M48.00S,2024-11-09T00:45:26.2Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,13,2,2024-11-09T00:46:15Z,330000,False,,,0,,J. Allen REBOUND (Off:0 Def:3),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,32.0,3.0,3.0,0.0,,,,
34,PT08M42.00S,2024-11-09T00:45:36.2Z,1,REGULAR,foul,personal,['2freethrow'],1631218,,,1610612739,13,2,2024-11-09T00:49:32Z,340000,False,,,0,,T. Jackson-Davis shooting personal FOUL (1 PF) (Mobley 2 FT),"[1631218, 1630596]",1610612744.0,GSW,shooting,,,Jackson-Davis,T. Jackson-Davis,,,,,Restricted Area,0-8 Center,202049.0,1.0,0.0,Mobley,1630596.0,,,,,,,,,,,,,,,
39,PT08M42.00S,2024-11-09T00:46:10.1Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1630596,,,1610612739,14,2,2024-11-09T00:50:49Z,355000,False,,,0,,E. Mobley Free Throw 1 of 2 (5 PTS),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,Made,5.0,,,,,,,,,,,,,
75,PT08M42.00S,2024-11-09T00:47:31.6Z,1,REGULAR,substitution,out,[],1627780,,,1610612739,14,2,2024-11-09T00:53:03Z,356250,False,,,0,,SUB out: G. Payton II,[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT08M42.00S,2024-11-09T00:47:31.6Z,1,REGULAR,substitution,in,[],1627741,,,1610612739,14,2,2024-11-09T00:53:03Z,356875,False,,,0,,SUB in: B. Hield,[1627741],1610612744.0,GSW,,,,Hield,B. Hield,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT08M42.00S,2024-11-09T00:46:10.1Z,1,REGULAR,freethrow,2 of 2,[],1630596,,,1610612739,15,2,2024-11-09T00:50:49Z,357500,False,,,0,,E. Mobley Free Throw 2 of 2 (6 PTS),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,Made,6.0,,,,,,,,,,,,,
64,PT08M42.00S,2024-11-09T00:48:53.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612744,15,2,2024-11-09T00:52:37Z,388750,False,,,0,,GSW Timeout,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,PT08M25.00S,2024-11-09T00:49:32.0Z,1,REGULAR,3pt,Jump Shot,[],201939,88.64980289093299,3.9215686274509802,1610612744,15,2,2024-11-09T00:50:04Z,420000,False,-230.0,54.0,1,right,MISS S. Curry step back 3PT,[201939],1610612744.0,GSW,step back,,,Curry,S. Curry,,,,,Left Corner 3,24+ Left,,,,,,Missed,,23.67,,,,,,,,,,,,
45,PT08M22.00S,2024-11-09T00:49:35.0Z,1,REGULAR,rebound,offensive,[],203952,,,1610612744,15,2,2024-11-09T00:49:37Z,430000,False,,,0,,A. Wiggins REBOUND (Off:1 Def:0),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,44.0,1.0,0.0,1.0,,,,
46,PT08M19.00S,2024-11-09T00:49:38.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627741,78.79434954007884,94.6078431372549,1610612744,15,2,2024-11-09T00:49:42Z,440000,False,223.0,147.0,1,right,MISS B. Hield 26' 3PT,[1627741],1610612744.0,GSW,,,,Hield,B. Hield,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,26.7,,,,,,,,,,,,
