actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2025-01-30T03:16:52.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-30T03:16:52Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-01-30T03:16:56.1Z,1,REGULAR,jumpball,recovered,[],1641717,,,1610612760,0,0,2025-01-30T03:16:56Z,40000,False,,,0,,Jump Ball I. Hartenstein vs. Q. Post: Tip to C. Wallace,"[1641717, 1628392, 1642366]",1610612760.0,OKC,startperiod,C. Wallace,1641717.0,Wallace,C. Wallace,Hartenstein,1628392.0,Post,1642366.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2025-01-30T03:17:08.6Z,1,REGULAR,foul,personal,[],1642366,,,1610612760,0,0,2025-01-30T03:17:19Z,70000,False,,,0,,Q. Post personal FOUL (1 PF),"[1642366, 1628392]",1610612744.0,GSW,,,,Post,Q. Post,,,,,Restricted Area,0-8 Center,203593.0,1.0,0.0,Hartenstein,1628392.0,,,,,,,,,,,,,,,
9,PT11M35.00S,2025-01-30T03:17:38.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631114,89.70105124835742,44.36274509803921,1610612760,0,0,2025-01-30T03:17:42Z,90000,False,-28.0,44.0,1,right,MISS J. Williams driving Layup - blocked,"[1631114, 203952]",1610612760.0,OKC,driving,,,Williams,J. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,5.25,Missed,Wiggins,203952.0,,,,,,,,,,,
10,PT11M35.00S,2025-01-30T03:17:38.4Z,1,REGULAR,block,,[],203952,,,1610612760,0,0,2025-01-30T03:17:40Z,100000,False,,,0,,A. Wiggins BLOCK (1 BLK),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M35.00S,2025-01-30T03:17:38.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612760,0,0,2025-01-30T03:17:42Z,110000,False,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,9.0,,,,,,,,,,
13,PT11M33.00S,2025-01-30T03:17:52.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628392,72.09264126149803,85.5392156862745,1610612760,0,0,2025-01-30T03:17:56Z,130000,False,178.0,210.0,1,right,MISS I. Hartenstein 27' 3PT,[1628392],1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,Above the Break 3,24+ Right Center,,,,,,27.49,Missed,,,,,,,,,,,,,
14,PT11M29.00S,2025-01-30T03:17:56.2Z,1,REGULAR,rebound,defensive,[],1627780,,,1610612744,0,0,2025-01-30T03:17:56Z,140000,False,,,0,,G. Payton II REBOUND (Off:0 Def:1),[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,
15,PT11M09.00S,2025-01-30T03:18:17.3Z,1,REGULAR,3pt,Jump Shot,[],1627741,27.283180026281208,17.401960784313726,1610612744,0,0,2025-01-30T03:18:22Z,150000,False,163.0,204.0,1,left,MISS B. Hield 26' pullup 3PT,[1627741],1610612744.0,GSW,pullup,,,Hield,B. Hield,,,,,Above the Break 3,24+ Right Center,,,,,,26.11,Missed,,,,,,,,,,,,,
16,PT11M05.00S,2025-01-30T03:18:21.3Z,1,REGULAR,rebound,defensive,[],1628392,,,1610612760,0,0,2025-01-30T03:18:22Z,160000,False,,,0,,I. Hartenstein REBOUND (Off:0 Def:1),[1628392],1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,
17,PT11M00.00S,2025-01-30T03:18:26.2Z,1,REGULAR,3pt,Jump Shot,[],1628983,74.45795006570303,14.215686274509803,1610612760,0,0,2025-01-30T03:18:32Z,170000,False,-179.0,188.0,1,right,MISS S. Gilgeous-Alexander 25' pullup 3PT,[1628983],1610612760.0,OKC,pullup,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Above the Break 3,24+ Left Center,,,,,,25.92,Missed,,,,,,,,,,,,,
18,PT10M55.00S,2025-01-30T03:18:31.2Z,1,REGULAR,rebound,defensive,[],1627741,,,1610612744,0,0,2025-01-30T03:18:32Z,180000,False,,,0,,B. Hield REBOUND (Off:0 Def:1),[1627741],1610612744.0,GSW,,,,Hield,B. Hield,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,17.0,1.0,1.0,0.0,,,,,,,
19,PT10M52.00S,2025-01-30T03:18:35.3Z,1,REGULAR,foul,personal,['2freethrow'],1628392,,,1610612744,0,0,2025-01-30T03:18:43Z,190000,False,,,0,,I. Hartenstein shooting personal FOUL (1 PF) (Curry 2 FT),"[1628392, 201939]",1610612760.0,OKC,shooting,,,Hartenstein,I. Hartenstein,,,,,Restricted Area,0-8 Center,203593.0,1.0,0.0,Curry,201939.0,,,,,,,,,,,,,,,
