actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-03-29T00:10:26.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-29T00:10:26Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2025-03-29T00:10:28.3Z,1,REGULAR,jumpball,recovered,[],201939,,,1610612744,0,0,2025-03-29T00:10:28Z,40000,False,,,0,,Jump Ball D. Green vs. Y. Missi: Tip to S. Curry,"[201939, 203110, 1642274]",1610612744.0,GSW,startperiod,S. Curry,201939.0,Curry,S. Curry,Green,203110.0,Missi,1642274.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2025-03-29T00:10:39.6Z,1,REGULAR,3pt,Jump Shot,[],202710,69.14627135348226,71.30055147058823,1610612744,0,0,2025-03-29T00:11:04Z,70000,False,107.0,238.0,1,right,MISS J. Butler III 26' 3PT,[202710],1610612744.0,GSW,,,,Butler III,J. Butler III,,,,,Above the Break 3,24+ Right Center,26.03,Missed,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2025-03-29T00:10:42.6Z,1,REGULAR,rebound,defensive,[],1642274,,,1610612740,0,0,2025-03-29T00:11:04Z,80000,False,,,0,,Y. Missi REBOUND (Off:0 Def:1),[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M25.00S,2025-03-29T00:11:01.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630631,12.220762155059134,53.36626838235294,1610612740,2,0,2025-03-29T00:11:26Z,90000,False,-17.0,62.0,1,left,J. Alvarado 6' driving Layup (2 PTS),[1630631],1610612740.0,NOP,driving,,,Alvarado,J. Alvarado,,,,,In The Paint (Non-RA),0-8 Center,6.46,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M13.00S,2025-03-29T00:11:13.8Z,1,REGULAR,3pt,Jump Shot,[],201939,87.77923784494087,4.143688725490193,1610612744,2,0,2025-03-29T00:11:41Z,100000,False,-229.0,62.0,1,right,MISS S. Curry 3PT,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,Left Corner 3,24+ Left,23.76,Missed,,,,,,,,,,,,,,,,,,
11,PT11M10.00S,2025-03-29T00:11:16.8Z,1,REGULAR,rebound,defensive,[],1628971,,,1610612740,2,0,2025-03-29T00:11:41Z,110000,False,,,0,,B. Brown REBOUND (Off:0 Def:1),[1628971],1610612740.0,NOP,,,,Brown,B. Brown,,,,,Left Corner 3,24+ Left,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT10M56.00S,2025-03-29T00:11:31.6Z,1,REGULAR,2pt,Jump Shot,[],203482,23.258869908015768,43.84957107843137,1610612740,2,0,2025-03-29T00:12:01Z,120000,False,31.0,166.0,1,left,MISS K. Olynyk 16' driving floating Shot,[203482],1610612740.0,NOP,driving floating,,,Olynyk,K. Olynyk,,,,,Mid-Range,16-24 Center,16.89,Missed,,,,,,,,,,,,,,,,,,
13,PT10M54.00S,2025-03-29T00:11:33.6Z,1,REGULAR,rebound,defensive,[],201939,,,1610612744,2,0,2025-03-29T00:12:01Z,130000,False,,,0,,S. Curry REBOUND (Off:0 Def:1),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,Mid-Range,16-24 Center,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT10M40.00S,2025-03-29T00:11:47.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630541,87.91064388961892,52.57352941176471,1610612744,2,0,2025-03-29T00:12:18Z,140000,False,13.0,61.0,1,right,MISS M. Moody 6' turnaround Shot,[1630541],1610612744.0,GSW,turnaround,,,Moody,M. Moody,,,,,In The Paint (Non-RA),0-8 Center,6.24,Missed,,,,,,,,,,,,,,,,,,
