actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-01-11T00:10:39.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-11T00:10:39Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2025-01-11T00:10:44.0Z,1,REGULAR,jumpball,recovered,[],203937,,,1610612744,0,0,2025-01-11T00:10:44Z,40000,False,,,0,,Jump Ball T. Jackson-Davis vs. M. Turner: Tip to K. Anderson,"[203937, 1631218, 1626167]",1610612744.0,GSW,startperiod,K. Anderson,203937.0,Anderson,K. Anderson,Jackson-Davis,1631218.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M50.00S,2025-01-11T00:10:51.0Z,1,REGULAR,3pt,Jump Shot,[],1630322,75.77201051248358,9.803921568627452,1610612744,0,0,2025-01-11T00:11:30Z,70000,False,-201.0,175.0,1,right,MISS L. Waters III 26' 3PT,[1630322],1610612744.0,GSW,,,,Waters III,L. Waters III,,,,,Above the Break 3,24+ Left Center,26.66,Missed,,,,,,,,,,,,,,,,,,
8,PT11M46.00S,2025-01-11T00:10:55.0Z,1,REGULAR,rebound,defensive,[],1631097,,,1610612754,0,0,2025-01-11T00:11:30Z,80000,False,,,0,,B. Mathurin REBOUND (Off:0 Def:1),[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M33.00S,2025-01-11T00:11:07.0Z,1,REGULAR,3pt,Jump Shot,[],1631097,8.886333771353483,3.6764705882352944,1610612754,0,0,2025-01-11T00:11:45Z,90000,False,232.0,31.0,1,left,MISS B. Mathurin 3PT,[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,Right Corner 3,24+ Right,23.37,Missed,,,,,,,,,,,,,,,,,,
10,PT11M31.00S,2025-01-11T00:11:09.0Z,1,REGULAR,rebound,defensive,[],203937,,,1610612744,0,0,2025-01-11T00:11:45Z,100000,False,,,0,,K. Anderson REBOUND (Off:0 Def:1),[203937],1610612744.0,GSW,,,,Anderson,K. Anderson,,,,,Right Corner 3,24+ Right,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M26.00S,2025-01-11T00:11:14.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203937,66.83639947437582,37.99019607843137,1610612744,0,0,2025-01-11T00:12:10Z,110000,False,-60.0,259.0,1,right,MISS K. Anderson 26' running 3PT,[203937],1610612744.0,GSW,running,,,Anderson,K. Anderson,,,,,Above the Break 3,24+ Center,26.61,Missed,,,,,,,,,,,,,,,,,,
12,PT11M24.00S,2025-01-11T00:11:16.1Z,1,REGULAR,rebound,offensive,[],1631218,,,1610612744,0,0,2025-01-11T00:12:10Z,120000,False,,,0,,T. Jackson-Davis REBOUND (Off:1 Def:0),[1631218],1610612744.0,GSW,,,,Jackson-Davis,T. Jackson-Davis,,,,,Above the Break 3,24+ Center,,,11.0,1.0,0.0,1.0,,,,,,,,,,,,,,
13,PT11M21.00S,2025-01-11T00:11:19.2Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1627741,88.25558475689881,21.07843137254902,1610612744,0,0,2025-01-11T00:12:34Z,130000,False,-145.0,58.0,1,right,MISS B. Hield 15' pullup bank Shot,[1627741],1610612744.0,GSW,pullup bank,,,Hield,B. Hield,,,,,Mid-Range,8-16 Left,15.58,Missed,,,,,,,,,,,,,,,,,,
14,PT11M19.00S,2025-01-11T00:11:21.2Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,0,0,2025-01-11T00:12:34Z,140000,False,,,0,,M. Turner REBOUND (Off:0 Def:1),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Mid-Range,8-16 Left,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
