actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-12-28T03:10:36.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-28T03:10:36Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-12-28T03:10:39.3Z,1,REGULAR,jumpball,recovered,[],1626181,,,1610612746,0,0,2024-12-28T03:10:39Z,40000,False,,,0,,Jump Ball I. Zubac vs. T. Jackson-Davis: Tip to N. Powell,"[1626181, 1627826, 1631218]",1610612746.0,LAC,startperiod,N. Powell,1626181.0,Powell,N. Powell,Zubac,1627826.0,Jackson-Davis,1631218.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2024-12-28T03:10:53.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627826,92.9862023653088,50.49019607843137,1610612746,2,0,2024-12-28T03:10:59Z,70000,False,2.0,13.0,1,right,I. Zubac driving DUNK (2 PTS),[1627826],1610612746.0,LAC,driving,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,1.36,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M23.00S,2024-12-28T03:11:12.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631218,6.258212877792378,50.98039215686274,1610612744,2,2,2024-12-28T03:11:17Z,80000,False,-5.0,6.0,1,left,T. Jackson-Davis cutting Layup (2 PTS) (D. Schröder 1 AST),"[1631218, 203471]",1610612744.0,GSW,cutting,,,Jackson-Davis,T. Jackson-Davis,,,,,Restricted Area,0-8 Center,0.8,Made,2.0,D. Schröder,203471.0,1.0,,,,,,,,,,,,,,
10,PT11M05.00S,2024-12-28T03:11:30.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1626181,89.83245729303549,54.41176470588235,1610612746,2,2,2024-12-28T03:11:35Z,100000,False,22.0,43.0,1,right,MISS N. Powell driving bank Hook,[1626181],1610612746.0,LAC,driving bank,,,Powell,N. Powell,,,,,In The Paint (Non-RA),0-8 Center,4.84,Missed,,,,,,,,,,,,,,,,,,
11,PT11M03.00S,2024-12-28T03:11:32.3Z,1,REGULAR,rebound,defensive,[],1627741,,,1610612744,2,2,2024-12-28T03:11:35Z,110000,False,,,0,,B. Hield REBOUND (Off:0 Def:1),[1627741],1610612744.0,GSW,,,,Hield,B. Hield,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,
12,PT10M56.00S,2024-12-28T03:11:42.7Z,1,REGULAR,turnover,out-of-bounds,[],1631218,,,1610612744,2,2,2024-12-28T03:11:47Z,120000,False,,,0,,T. Jackson-Davis lost ball out-of-bounds TURNOVER (1 TO),[1631218],1610612744.0,GSW,lost ball,,,Jackson-Davis,T. Jackson-Davis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1626301.0,1.0,,,,,,,,
13,PT10M35.00S,2024-12-28T03:12:08.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627826,89.83245729303549,53.67647058823529,1610612746,2,2,2024-12-28T03:12:12Z,130000,False,18.0,43.0,1,right,MISS I. Zubac Layup,[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),0-8 Center,4.69,Missed,,,,,,,,,,,,,,,,,,
14,PT10M33.00S,2024-12-28T03:12:10.2Z,1,REGULAR,rebound,defensive,[],1627741,,,1610612744,2,2,2024-12-28T03:12:12Z,140000,False,,,0,,B. Hield REBOUND (Off:0 Def:2),[1627741],1610612744.0,GSW,,,,Hield,B. Hield,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,13.0,2.0,2.0,0.0,,,,,,,,,,
15,PT10M26.00S,2024-12-28T03:12:18.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203952,13.222733245729303,54.65686274509803,1610612744,2,2,2024-12-28T03:12:25Z,150000,False,-23.0,72.0,1,left,MISS A. Wiggins 7' pullup Shot,[203952],1610612744.0,GSW,pullup,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),0-8 Center,7.55,Missed,,,,,,,,,,,,,,,,,,
