actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-03-07T00:41:40.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-07T00:41:40Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-03-07T00:41:54.1Z,1,REGULAR,jumpball,recovered,[],1629661,,,1610612751,0,0,2025-03-07T00:41:54Z,40000,False,,,0,,Jump Ball N. Claxton vs. D. Green: Tip to C. Johnson,"[1629661, 1629651, 203110]",1610612751.0,BKN,startperiod,C. Johnson,1629661.0,Johnson,C. Johnson,Claxton,1629651.0,Green,203110.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2025-03-07T00:42:06.9Z,1,REGULAR,turnover,bad pass,[],1626156,,,1610612751,0,0,2025-03-07T00:42:12Z,70000,False,,,0,,D. Russell bad pass TURNOVER (1 TO),"[1626156, 202710]",1610612751.0,BKN,,,,Russell,D. Russell,,,,,Mid-Range,16-24 Center,1.0,Butler III,202710.0,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2025-03-07T00:42:06.9Z,1,REGULAR,steal,,[],202710,,,1610612744,0,0,2025-03-07T00:42:10Z,80000,False,,,0,,J. Butler III STEAL (1 STL),[202710],1610612744.0,GSW,,,,Butler III,J. Butler III,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M32.00S,2025-03-07T00:42:18.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630541,67.88764783180025,31.372549019607842,1610612744,0,0,2025-03-07T00:42:24Z,90000,False,-93.0,249.0,1,right,MISS M. Moody 26' 3PT,[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,Above the Break 3,24+ Left Center,,,,26.62,Missed,,,,,,,,,,,,,,,
10,PT11M27.00S,2025-03-07T00:42:23.1Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,0,0,2025-03-07T00:42:24Z,100000,False,,,0,,N. Claxton REBOUND (Off:0 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Above the Break 3,24+ Left Center,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M16.00S,2025-03-07T00:42:35.8Z,1,REGULAR,foul,personal,['2freethrow'],203110,,,1610612751,0,0,2025-03-07T00:42:48Z,110000,False,,,0,,D. Green shooting personal FOUL (1 PF) (Thomas 2 FT),"[203110, 1630560]",1610612744.0,GSW,shooting,,,Green,D. Green,,,,,Restricted Area,0-8 Center,,,,,,,,,,1628172.0,1.0,0.0,Thomas,1630560.0,,,,,,
13,PT11M16.00S,2025-03-07T00:43:08.6Z,1,REGULAR,freethrow,1 of 2,[],1630560,,,1610612751,0,0,2025-03-07T00:43:08Z,130000,False,,,0,,MISS C. Thomas Free Throw 1 of 2,[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
14,PT11M16.00S,2025-03-07T00:43:08.6Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612751,0,0,2025-03-07T00:43:08Z,140000,False,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,
15,PT11M16.00S,2025-03-07T00:43:09.6Z,1,REGULAR,substitution,out,[],1641764,,,1610612751,0,0,2025-03-07T00:43:24Z,150000,False,,,0,,SUB out: B. Podziemski,[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PT11M16.00S,2025-03-07T00:43:09.6Z,1,REGULAR,substitution,in,[],1627741,,,1610612751,0,0,2025-03-07T00:43:24Z,160000,False,,,0,,SUB in: B. Hield,[1627741],1610612744.0,GSW,,,,Hield,B. Hield,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PT11M16.00S,2025-03-07T00:43:31.4Z,1,REGULAR,freethrow,2 of 2,[],1630560,,,1610612751,1,0,2025-03-07T00:43:31Z,170000,False,,,0,,C. Thomas Free Throw 2 of 2 (1 PTS),[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,,,,,,,Made,,,,,,,,,,1.0,,,,,
18,PT11M04.00S,2025-03-07T00:43:46.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203110,92.85479632063075,51.470588235294116,1610612744,1,0,2025-03-07T00:44:59Z,180000,False,7.0,15.0,1,right,MISS D. Green cutting Layup,[203110],1610612744.0,GSW,cutting,,,Green,D. Green,,,,,Restricted Area,0-8 Center,,,,1.65,Missed,,,,,,,,,,,,,,,
19,PT11M03.00S,2025-03-07T00:43:47.2Z,1,REGULAR,rebound,offensive,[],202710,,,1610612744,1,0,2025-03-07T00:44:59Z,190000,False,,,0,,J. Butler III REBOUND (Off:1 Def:0),[202710],1610612744.0,GSW,,,,Butler III,J. Butler III,,,,,Restricted Area,0-8 Center,,,,,,18.0,1.0,0.0,1.0,,,,,,,,,,,
20,PT11M03.00S,2025-03-07T00:43:49.3Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",202710,94.40999984741211,50.0,1610612744,1,0,2025-03-07T00:45:08Z,200000,False,0.0,0.0,1,right,MISS J. Butler III tip Layup,[202710],1610612744.0,GSW,tip,,,Butler III,J. Butler III,,,,,Restricted Area,0-8 Center,,,,0.0,Missed,,,,,,,,,,,,,,,
21,PT11M02.00S,2025-03-07T00:43:50.3Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,1,0,2025-03-07T00:45:08Z,210000,False,,,0,,N. Claxton REBOUND (Off:0 Def:2),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,,,20.0,2.0,2.0,0.0,,,,,,,,,,,
27,PT11M01.00S,2025-03-07T00:43:51.0Z,1,REGULAR,turnover,out-of-bounds,[],1629651,,,1610612751,1,0,2025-03-07T00:44:36Z,215000,False,,,0,,N. Claxton step out-of-bounds TURNOVER (1 TO),[1629651],1610612751.0,BKN,step,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,1.0,,,,,,,,,1628172.0,,,,,,,,,,
