actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-04-13T19:44:08.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-04-13T19:44:08Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M59.00S,2025-04-13T19:44:09.3Z,1,REGULAR,jumpball,recovered,[],1641764,,,1610612744,0,0,2025-04-13T19:44:09Z,40000,False,,,0,,Jump Ball D. Green vs. I. Zubac: Tip to B. Podziemski,"[1641764, 203110, 1627826]",1610612744.0,GSW,startperiod,B. Podziemski,1641764.0,Podziemski,B. Podziemski,Green,203110.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2025-04-13T19:44:30.8Z,1,REGULAR,foul,personal,['2freethrow'],1626181,,,1610612744,0,0,2025-04-13T19:44:38Z,70000,False,,,0,,N. Powell shooting personal FOUL (1 PF) (Podziemski 2 FT),"[1626181, 1641764]",1610612746.0,LAC,shooting,,,Powell,N. Powell,,,,,In The Paint (Non-RA),8-16 Center,1627962.0,1.0,0.0,Podziemski,1641764.0,,,,,,,,,,,,,,,
9,PT11M39.00S,2025-04-13T19:44:54.0Z,1,REGULAR,freethrow,1 of 2,[],1641764,,,1610612744,1,0,2025-04-13T19:44:54Z,90000,False,,,0,,B. Podziemski Free Throw 1 of 2 (1 PTS),[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M39.00S,2025-04-13T19:45:09.6Z,1,REGULAR,freethrow,2 of 2,[],1641764,,,1610612744,2,0,2025-04-13T19:45:09Z,100000,False,,,0,,B. Podziemski Free Throw 2 of 2 (2 PTS),[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
11,PT11M17.00S,2025-04-13T19:45:34.5Z,1,REGULAR,3pt,Jump Shot,[],201935,68.80749014454665,22.794117647058822,1610612746,2,3,2025-04-13T19:45:43Z,110000,False,-136.0,241.0,1,right,J. Harden 27' 3PT step back (3 PTS) (I. Zubac 1 AST),"[201935, 1627826]",1610612746.0,LAC,step back,,,Harden,J. Harden,,,,,Above the Break 3,24+ Left Center,,,,,,Made,3.0,27.65,I. Zubac,1627826.0,1.0,,,,,,,,,
13,PT11M02.00S,2025-04-13T19:45:49.9Z,1,REGULAR,turnover,bad pass,[],201939,,,1610612744,2,3,2025-04-13T19:45:55Z,130000,False,,,0,,S. Curry bad pass TURNOVER (1 TO),"[201939, 1627739]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,1.0,Dunn,1627739.0,,,,,,
14,PT11M02.00S,2025-04-13T19:45:49.9Z,1,REGULAR,steal,,[],1627739,,,1610612746,2,3,2025-04-13T19:45:53Z,140000,False,,,0,,K. Dunn STEAL (1 STL),[1627739],1610612746.0,LAC,,,,Dunn,K. Dunn,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
15,PT10M53.00S,2025-04-13T19:45:58.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627739,77.4802890932983,92.15686274509804,1610612746,2,6,2025-04-13T19:46:02Z,150000,False,211.0,159.0,1,right,K. Dunn 26' 3PT  (3 PTS) (I. Zubac 2 AST),"[1627739, 1627826]",1610612746.0,LAC,,,,Dunn,K. Dunn,,,,,Above the Break 3,24+ Right Center,,,,,,Made,3.0,26.42,I. Zubac,1627826.0,2.0,,,,,,,,,
17,PT10M43.00S,2025-04-13T19:46:08.7Z,1,REGULAR,2pt,Jump Shot,[],1641764,23.99802890932983,43.627450980392155,1610612744,4,6,2025-04-13T19:46:12Z,170000,False,32.0,173.0,1,left,B. Podziemski 17' pullup Jump Shot (4 PTS),[1641764],1610612744.0,GSW,pullup,,,Podziemski,B. Podziemski,,,,,Mid-Range,16-24 Center,,,,,,Made,4.0,17.6,,,,,,,,,,,,
