actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2025-04-07T00:40:48.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-04-07T00:40:48Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2025-04-07T00:40:49.7Z,1,REGULAR,jumpball,recovered,[],1641764,,,1610612744,0,0,2025-04-07T00:40:49Z,40000,False,,,0,,Jump Ball D. Green vs. A. Sengun: Tip to B. Podziemski,"[1641764, 203110, 1630578]",1610612744.0,GSW,startperiod,B. Podziemski,1641764.0,Podziemski,B. Podziemski,Green,203110.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2025-04-07T00:41:01.4Z,1,REGULAR,3pt,Jump Shot,[],1630541,3.892904073587385,95.34313725490196,1610612744,0,0,2025-04-07T00:41:05Z,70000,False,-227.0,-16.0,1,left,MISS M. Moody 3PT,[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,Left Corner 3,24+ Left,22.73,Missed,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2025-04-07T00:41:04.4Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,0,0,2025-04-07T00:41:05Z,80000,False,,,0,,A. Sengun REBOUND (Off:0 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Left Corner 3,24+ Left,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M26.00S,2025-04-07T00:41:21.0Z,1,REGULAR,2pt,Jump Shot,[],1627832,73.14388961892247,55.63725490196079,1610612745,0,0,2025-04-07T00:41:26Z,90000,False,28.0,200.0,1,right,MISS F. VanVleet 20' Jump Shot,[1627832],1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,Mid-Range,16-24 Center,20.19,Missed,,,,,,,,,,,,,,,,,,
10,PT11M23.00S,2025-04-07T00:41:24.0Z,1,REGULAR,rebound,defensive,[],1630541,,,1610612744,0,0,2025-04-07T00:41:26Z,100000,False,,,0,,M. Moody REBOUND (Off:0 Def:1),[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,Mid-Range,16-24 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M09.00S,2025-04-07T00:41:42.5Z,1,REGULAR,foul,personal,[],1630224,,,1610612744,0,0,2025-04-07T00:41:54Z,110000,False,,,0,,J. Green personal FOUL (1 PF),"[1630224, 201939]",1610612745.0,HOU,,,,Green,J. Green,,,,,Mid-Range,8-16 Left,,,,,,,1626300.0,1.0,0.0,Curry,201939.0,,,,,,,,,
13,PT11M08.00S,2025-04-07T00:42:11.9Z,1,REGULAR,2pt,Layup,[],203110,11.12023653088042,68.13725490196079,1610612744,0,0,2025-04-07T00:42:55Z,130000,False,-91.0,52.0,1,left,MISS D. Green 10' driving Layup - blocked,"[203110, 1627832]",1610612744.0,GSW,driving,,,Green,D. Green,,,,,Mid-Range,8-16 Left,10.45,Missed,,,,,,,,,,VanVleet,1627832.0,,,,,,,
65,PT11M08.00S,2025-04-07T00:42:11.9Z,1,REGULAR,block,,[],1627832,,,1610612744,0,0,2025-04-07T00:47:05Z,135000,False,,,0,,F. VanVleet BLOCK (1 BLK),[1627832],1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
14,PT11M05.00S,2025-04-07T00:42:14.9Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,0,0,2025-04-07T00:47:05Z,140000,False,,,0,,A. Sengun REBOUND (Off:0 Def:2),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Mid-Range,8-16 Left,,,13.0,2.0,2.0,0.0,,,,,,,,,,,,,,
15,PT10M56.00S,2025-04-07T00:42:17.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1641708,86.15308804204993,47.05882352941176,1610612745,0,2,2025-04-07T00:42:24Z,150000,False,-15.0,78.0,1,right,A. Thompson 7' driving floating Jump Shot (2 PTS),[1641708],1610612745.0,HOU,driving floating,,,Thompson,A. Thompson,,,,,In The Paint (Non-RA),0-8 Center,7.91,Made,,,,,,,,,,,,2.0,,,,,,
16,PT10M47.00S,2025-04-07T00:42:27.7Z,1,REGULAR,turnover,bad pass,[],1641764,,,1610612744,0,2,2025-04-07T00:42:30Z,160000,False,,,0,,B. Podziemski bad pass TURNOVER (1 TO),"[1641764, 1641708]",1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,,1.0,Thompson,1641708.0,,,
17,PT10M47.00S,2025-04-07T00:42:27.7Z,1,REGULAR,steal,,[],1641708,,,1610612745,0,2,2025-04-07T00:42:29Z,170000,False,,,0,,A. Thompson STEAL (1 STL),[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,,,,,,,
18,PT10M42.00S,2025-04-07T00:42:32.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630224,92.59198423127464,43.627450980392155,1610612745,0,4,2025-04-07T00:42:38Z,180000,False,-32.0,17.0,1,right,J. Green running Layup (2 PTS) (A. Thompson 1 AST),"[1630224, 1641708]",1610612745.0,HOU,running,,,Green,J. Green,,,,,Restricted Area,0-8 Center,3.62,Made,,,,,,,,,,,,2.0,,,,A. Thompson,1641708.0,1.0
20,PT10M28.00S,2025-04-07T00:42:46.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641764,9.017739816031538,43.627450980392155,1610612744,0,4,2025-04-07T00:42:49Z,200000,False,32.0,32.0,1,left,MISS B. Podziemski cutting Layup,[1641764],1610612744.0,GSW,cutting,,,Podziemski,B. Podziemski,,,,,In The Paint (Non-RA),0-8 Center,4.54,Missed,,,,,,,,,,,,,,,,,,
21,PT10M26.00S,2025-04-07T00:42:48.3Z,1,REGULAR,rebound,offensive,[],1630541,,,1610612744,0,4,2025-04-07T00:49:44Z,210000,False,,,0,,M. Moody REBOUND (Off:1 Def:1),[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,In The Paint (Non-RA),0-8 Center,,,20.0,2.0,1.0,1.0,,,,,,,,,,,,,,
22,PT10M23.00S,2025-04-07T00:42:51.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630541,9.806176084099869,46.32352941176471,1610612744,0,4,2025-04-07T00:42:54Z,220000,False,18.0,40.0,1,left,MISS M. Moody driving Layup,[1630541],1610612744.0,GSW,driving,,,Moody,M. Moody,,,,,Restricted Area,0-8 Center,4.38,Missed,,,,,,,,,,,,,,,,,,
23,PT10M21.00S,2025-04-07T00:42:53.1Z,1,REGULAR,rebound,defensive,[],1628415,,,1610612745,0,4,2025-04-07T00:42:54Z,230000,False,,,0,,D. Brooks REBOUND (Off:0 Def:1),[1628415],1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,Restricted Area,0-8 Center,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,,,
24,PT10M02.00S,2025-04-07T00:43:11.6Z,1,REGULAR,2pt,Jump Shot,[],1630578,84.1819973718791,73.77450980392157,1610612745,0,4,2025-04-07T00:43:17Z,240000,False,119.0,96.0,1,right,MISS A. Sengun 15' fadeaway Shot,[1630578],1610612745.0,HOU,fadeaway,,,Sengun,A. Sengun,,,,,Mid-Range,8-16 Right,15.29,Missed,,,,,,,,,,,,,,,,,,
25,PT10M00.00S,2025-04-07T00:43:13.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612744,0,4,2025-04-07T00:43:17Z,250000,False,,,0,,TEAM defensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,Mid-Range,8-16 Right,,,24.0,,,,,,,,,,,,,,,,,
27,PT09M49.00S,2025-04-07T00:43:36.0Z,1,REGULAR,3pt,Jump Shot,[],201939,28.597240473061763,81.86274509803921,1610612744,0,4,2025-04-07T00:44:38Z,270000,False,-159.0,216.0,1,left,MISS S. Curry 26' pullup 3PT,[201939],1610612744.0,GSW,pullup,,,Curry,S. Curry,,,,,Above the Break 3,24+ Left Center,26.86,Missed,,,,,,,,,,,,,,,,,,
28,PT09M43.00S,2025-04-07T00:43:42.0Z,1,REGULAR,rebound,defensive,[],1641708,,,1610612745,0,4,2025-04-07T00:49:34Z,280000,False,,,0,,A. Thompson REBOUND (Off:0 Def:1),[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,Above the Break 3,24+ Left Center,,,27.0,1.0,1.0,0.0,,,,,,,,,,,,,,
29,PT09M39.00S,2025-04-07T00:43:45.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1628415,83.919185282523,48.03921568627451,1610612745,0,6,2025-04-07T00:43:52Z,290000,False,-10.0,99.0,1,right,D. Brooks 9' turnaround fadeaway Jump Shot (2 PTS) (J. Green 1 AST),"[1628415, 1630224]",1610612745.0,HOU,turnaround fadeaway,,,Brooks,D. Brooks,,,,,In The Paint (Non-RA),8-16 Center,9.92,Made,,,,,,,,,,,,2.0,,,,J. Green,1630224.0,1.0
31,PT09M25.00S,2025-04-07T00:44:00.1Z,1,REGULAR,3pt,Jump Shot,[],1641764,27.808804204993432,21.323529411764707,1610612744,3,6,2025-04-07T00:44:03Z,310000,False,143.0,209.0,1,left,B. Podziemski 25' 3PT  (3 PTS) (D. Green 1 AST),"[1641764, 203110]",1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,Above the Break 3,24+ Right Center,25.34,Made,,,,,,,,,,,,3.0,,,,D. Green,203110.0,1.0
33,PT09M14.00S,2025-04-07T00:44:09.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630224,66.44218134034165,47.794117647058826,1610612745,3,6,2025-04-07T00:52:28Z,330000,False,-11.0,263.0,1,right,MISS J. Green 26' running pullup 3PT,[1630224],1610612745.0,HOU,running pullup,,,Green,J. Green,,,,,Above the Break 3,24+ Center,26.31,Missed,,,,,,,,,,,,,,,,,,
34,PT09M11.00S,2025-04-07T00:44:12.8Z,1,REGULAR,rebound,defensive,[],1641764,,,1610612744,3,6,2025-04-07T00:44:14Z,340000,False,,,0,,B. Podziemski REBOUND (Off:0 Def:1),[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,Above the Break 3,24+ Center,,,33.0,1.0,1.0,0.0,,,,,,,,,,,,,,
