actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-03-02T01:41:08.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-02T01:41:08Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2025-03-02T01:41:11.5Z,1,REGULAR,jumpball,recovered,[],1630178,,,1610612755,0,0,2025-03-02T01:41:11Z,40000,False,,,0,,Jump Ball A. Drummond vs. Q. Post: Tip to T. Maxey,"[1630178, 203083, 1642366]",1610612755.0,PHI,startperiod,T. Maxey,1630178.0,Maxey,T. Maxey,Drummond,203083.0,Post,1642366.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2025-03-02T01:41:24.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630178,19.365965834428394,48.0392156862745,1610612755,0,0,2025-03-02T01:41:30Z,70000,False,10.0,130.0,1,left,MISS T. Maxey 12' driving floating Shot,[1630178],1610612755.0,PHI,driving floating,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),8-16 Center,12.99,Missed,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2025-03-02T01:41:28.8Z,1,REGULAR,rebound,offensive,[],203083,,,1610612755,0,0,2025-03-02T01:41:28Z,80000,False,,,0,,A. Drummond REBOUND (Off:1 Def:0),[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M38.00S,2025-03-02T01:41:28.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203083,5.590000152587891,50.0,1610612755,2,0,2025-03-02T01:41:28Z,90000,False,0.0,0.0,1,left,A. Drummond tip Layup (2 PTS),[203083],1610612755.0,PHI,tip,,,Drummond,A. Drummond,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M25.00S,2025-03-02T01:41:42.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203110,95.71287779237845,47.05882352941176,1610612744,2,0,2025-03-02T01:41:46Z,100000,False,-15.0,-12.0,1,right,MISS D. Green cutting Layup,[203110],1610612744.0,GSW,cutting,,,Green,D. Green,,,,,Restricted Area,0-8 Center,1.91,Missed,,,,,,,,,,,,,,,,,,
11,PT11M21.00S,2025-03-02T01:41:46.2Z,1,REGULAR,rebound,defensive,[],1629656,,,1610612755,2,0,2025-03-02T01:41:46Z,110000,False,,,0,,Q. Grimes REBOUND (Off:0 Def:1),[1629656],1610612755.0,PHI,,,,Grimes,Q. Grimes,,,,,Restricted Area,0-8 Center,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M19.00S,2025-03-02T01:41:48.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629656,8.590670170827863,52.69607843137255,1610612755,4,0,2025-03-02T01:41:52Z,120000,False,-13.0,28.0,1,left,Q. Grimes running finger roll Layup (2 PTS),[1629656],1610612755.0,PHI,running finger roll,,,Grimes,Q. Grimes,,,,,Restricted Area,0-8 Center,3.14,Made,,,,,2.0,,,,,,,,,,,,,
13,PT11M06.00S,2025-03-02T01:42:01.9Z,1,REGULAR,turnover,bad pass,[],201939,,,1610612744,4,0,2025-03-02T01:42:06Z,130000,False,,,0,,S. Curry bad pass TURNOVER (1 TO),"[201939, 202331]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,Above the Break 3,24+ Center,,,,,,,,1.0,George,202331.0,,,,,,,,,,
14,PT11M06.00S,2025-03-02T01:42:01.9Z,1,REGULAR,steal,,[],202331,,,1610612755,4,0,2025-03-02T01:42:04Z,140000,False,,,0,,P. George STEAL (1 STL),[202331],1610612755.0,PHI,,,,George,P. George,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
15,PT10M47.00S,2025-03-02T01:42:21.2Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],202331,5.042706964520377,22.058823529411768,1610612755,4,0,2025-03-02T01:42:27Z,150000,False,140.0,-5.0,1,left,MISS P. George 13' fadeaway Shot,[202331],1610612755.0,PHI,fadeaway,,,George,P. George,,,,,Mid-Range,8-16 Right,13.98,Missed,,,,,,,,,,,,,,,,,,
16,PT10M44.00S,2025-03-02T01:42:24.2Z,1,REGULAR,rebound,offensive,[],1626162,,,1610612755,4,0,2025-03-02T01:42:27Z,160000,False,,,0,,K. Oubre Jr. REBOUND (Off:1 Def:0),[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,Mid-Range,8-16 Right,,,15.0,1.0,0.0,1.0,,,,,,,,,,,,,,
27,PT10M42.00S,2025-03-02T01:42:28.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1626162,8.459264126149804,54.90196078431372,1610612755,4,0,2025-03-02T01:43:28Z,185000,False,-25.0,27.0,1,left,MISS K. Oubre Jr. putback Layup - blocked,"[1626162, 1642366]",1610612755.0,PHI,putback,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,3.65,Missed,,,,,,,,,Post,1642366.0,,,,,,,,
