actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-03-02T00:11:11.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-02T00:11:11Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2025-03-02T00:11:12.9Z,1,REGULAR,jumpball,recovered,[],1641709,,,1610612765,0,0,2025-03-02T00:11:12Z,40000,False,,,0,,Jump Ball J. Duren vs. N. Claxton: Tip to A. Thompson,"[1641709, 1631105, 1629651]",1610612765.0,DET,startperiod,A. Thompson,1641709.0,Thompson,A. Thompson,Duren,1631105.0,Claxton,1629651.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2025-03-02T00:11:26.8Z,1,REGULAR,3pt,Jump Shot,[],203501,74.32654402102497,14.950980392156863,1610612765,0,0,2025-03-02T00:11:35Z,70000,False,-175.0,189.0,1,right,MISS T. Hardaway Jr. 25' 3PT,[203501],1610612765.0,DET,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Above the Break 3,24+ Left Center,25.76,Missed,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2025-03-02T00:11:28.8Z,1,REGULAR,rebound,defensive,[],1630553,,,1610612751,0,0,2025-03-02T00:11:58Z,80000,False,,,0,,K. Johnson REBOUND (Off:0 Def:1),[1630553],1610612751.0,BKN,,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M24.00S,2025-03-02T00:11:46.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630553,8.360709592641262,55.63725490196079,1610612751,0,0,2025-03-02T00:11:50Z,90000,False,-28.0,26.0,1,left,MISS K. Johnson driving Layup,[1630553],1610612751.0,BKN,driving,,,Johnson,K. Johnson,,,,,Restricted Area,0-8 Center,3.84,Missed,,,,,,,,,,,,,,,,,,
10,PT11M23.00S,2025-03-02T00:11:47.6Z,1,REGULAR,rebound,defensive,[],1631105,,,1610612765,0,0,2025-03-02T00:11:50Z,100000,False,,,0,,J. Duren REBOUND (Off:0 Def:1),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M21.00S,2025-03-02T00:11:50.0Z,1,REGULAR,turnover,lost ball,[],1631105,,,1610612765,0,0,2025-03-02T00:11:54Z,110000,False,,,0,,J. Duren lost ball TURNOVER (1 TO),"[1631105, 1630533]",1610612765.0,DET,,,,Duren,J. Duren,,,,,Above the Break 3,24+ Center,,,,,,,1.0,Williams,1630533.0,,,,,,,,,,,
12,PT11M21.00S,2025-03-02T00:11:50.0Z,1,REGULAR,steal,,[],1630533,,,1610612751,0,0,2025-03-02T00:11:51Z,120000,False,,,0,,Z. Williams STEAL (1 STL),[1630533],1610612751.0,BKN,,,,Williams,Z. Williams,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
13,PT11M16.00S,2025-03-02T00:11:54.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630533,7.178055190538765,48.529411764705884,1610612751,0,2,2025-03-02T00:12:00Z,130000,False,7.0,15.0,1,left,Z. Williams running DUNK (2 PTS) (K. Johnson 1 AST),"[1630533, 1630553]",1610612751.0,BKN,running,,,Williams,Z. Williams,,,,,Restricted Area,0-8 Center,1.67,Made,,,,,,,,2.0,K. Johnson,1630553.0,1.0,,,,,,,
15,PT10M55.00S,2025-03-02T00:12:15.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202699,90.3580814717477,46.07843137254902,1610612765,0,2,2025-03-02T00:13:42Z,150000,False,-20.0,38.0,1,right,MISS T. Harris driving Layup,[202699],1610612765.0,DET,driving,,,Harris,T. Harris,,,,,Restricted Area,0-8 Center,4.28,Missed,,,,,,,,,,,,,,,,,,
16,PT10M54.00S,2025-03-02T00:12:16.8Z,1,REGULAR,rebound,offensive,[],1641709,,,1610612765,0,2,2025-03-02T00:13:42Z,160000,False,,,0,,A. Thompson REBOUND (Off:1 Def:0),[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,,,15.0,1.0,0.0,1.0,,,,,,,,,,,,,,
17,PT10M54.00S,2025-03-02T00:12:18.6Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1641709,94.40999984741211,50.0,1610612765,2,2,2025-03-02T00:13:47Z,170000,False,0.0,0.0,1,right,A. Thompson tip Layup (2 PTS),[1641709],1610612765.0,DET,tip,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,,,,2.0,,,,,,,,,,
19,PT10M35.00S,2025-03-02T00:12:35.5Z,1,REGULAR,3pt,Jump Shot,[],1629661,35.8245729303548,28.431372549019606,1610612751,2,2,2025-03-02T00:12:45Z,190000,False,108.0,284.0,1,left,MISS C. Johnson 30' 3PT,[1629661],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Above the Break 3,24+ Right Center,30.41,Missed,,,,,,,,,,,,,,,,,,
20,PT10M34.00S,2025-03-02T00:12:36.5Z,1,REGULAR,rebound,defensive,[],1630595,,,1610612765,2,2,2025-03-02T00:12:52Z,200000,False,,,0,,C. Cunningham REBOUND (Off:0 Def:1),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Above the Break 3,24+ Right Center,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,,,
21,PT10M28.00S,2025-03-02T00:12:45.4Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1631105,93.64323258869908,48.03921568627451,1610612765,4,2,2025-03-02T00:12:57Z,210000,False,-10.0,7.0,1,right,J. Duren running Layup (2 PTS) (A. Thompson 1 AST),"[1631105, 1641709]",1610612765.0,DET,running,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,1.22,Made,,,,,,,,2.0,A. Thompson,1641709.0,1.0,,,,,,,
