actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-04-07T23:10:58.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-04-07T23:10:58Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-04-07T23:11:01.4Z,1,REGULAR,jumpball,recovered,[],203471,,,1610612765,0,0,2025-04-07T23:11:01Z,40000,False,,,0,,Jump Ball J. Duren vs. D. Sabonis: Tip to D. Schröder,"[203471, 1631105, 1627734]",1610612765.0,DET,startperiod,D. Schröder,203471.0,Schröder,D. Schröder,Duren,1631105.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2025-04-07T23:11:14.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630595,7.013797634691201,45.09803921568627,1610612765,2,0,2025-04-07T23:11:19Z,70000,False,25.0,13.0,1,left,C. Cunningham driving Layup (2 PTS) (J. Duren 1 AST),"[1630595, 1631105]",1610612765.0,DET,driving,,,Cunningham,C. Cunningham,,,,,Restricted Area,0-8 Center,2.79,Made,2.0,J. Duren,1631105.0,1.0,,,,,,,,,,,,,,
9,PT11M29.00S,2025-04-07T23:11:28.2Z,1,REGULAR,turnover,lost ball,[],201942,,,1610612758,2,0,2025-04-07T23:11:34Z,90000,False,,,0,,D. DeRozan lost ball TURNOVER (1 TO),"[201942, 1641709]",1610612758.0,SAC,,,,DeRozan,D. DeRozan,,,,,Above the Break 3,24+ Center,,,,,,,1.0,Thompson,1641709.0,,,,,,,,,,,
10,PT11M29.00S,2025-04-07T23:11:28.2Z,1,REGULAR,steal,,[],1641709,,,1610612765,2,0,2025-04-07T23:11:30Z,100000,False,,,0,,A. Thompson STEAL (1 STL),[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
11,PT11M25.00S,2025-04-07T23:11:31.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1641709,5.831143232588701,44.607843137254896,1610612765,4,0,2025-04-07T23:11:38Z,110000,False,27.0,2.0,1,left,A. Thompson running Layup (2 PTS),[1641709],1610612765.0,DET,running,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,2.71,Made,2.0,,,,,,,,,,,,,,,,,
12,PT11M12.00S,2025-04-07T23:11:49.3Z,1,REGULAR,foul,personal,['2freethrow'],1630595,,,1610612758,4,0,2025-04-07T23:11:58Z,120000,False,,,0,,C. Cunningham shooting personal FOUL (1 PF) (DeRozan 2 FT),"[1630595, 201942]",1610612765.0,DET,shooting,,,Cunningham,C. Cunningham,,,,,Mid-Range,8-16 Left,,,,,,,,,,2534.0,1.0,0.0,DeRozan,201942.0,,,,,,
14,PT11M12.00S,2025-04-07T23:12:16.9Z,1,REGULAR,freethrow,1 of 2,[],201942,,,1610612758,4,1,2025-04-07T23:12:16Z,140000,False,,,0,,D. DeRozan Free Throw 1 of 2 (1 PTS),[201942],1610612758.0,SAC,,,,DeRozan,D. DeRozan,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
15,PT11M12.00S,2025-04-07T23:12:33.8Z,1,REGULAR,freethrow,2 of 2,[],201942,,,1610612758,4,2,2025-04-07T23:12:33Z,150000,False,,,0,,D. DeRozan Free Throw 2 of 2 (2 PTS),[201942],1610612758.0,SAC,,,,DeRozan,D. DeRozan,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
16,PT10M58.00S,2025-04-07T23:12:48.2Z,1,REGULAR,2pt,Jump Shot,[],1630595,13.058475689881732,79.90196078431373,1610612765,6,2,2025-04-07T23:12:52Z,160000,False,-150.0,70.0,1,left,C. Cunningham 16' pullup Jump Shot (4 PTS) (J. Duren 2 AST),"[1630595, 1631105]",1610612765.0,DET,pullup,,,Cunningham,C. Cunningham,,,,,Mid-Range,16-24 Left,16.52,Made,4.0,J. Duren,1631105.0,2.0,,,,,,,,,,,,,,
18,PT10M44.00S,2025-04-07T23:13:02.9Z,1,REGULAR,3pt,Jump Shot,[],1626168,69.82588699080158,23.774509803921575,1610612758,6,5,2025-04-07T23:13:09Z,180000,False,-131.0,231.0,1,right,T. Lyles 26' 3PT  (3 PTS) (D. DeRozan 1 AST),"[1626168, 201942]",1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,Above the Break 3,24+ Left Center,26.57,Made,3.0,D. DeRozan,201942.0,1.0,,,,,,,,,,,,,,
20,PT10M33.00S,2025-04-07T23:13:12.7Z,1,REGULAR,2pt,Jump Shot,[],203501,20.285808147174762,72.54901960784314,1610612765,6,5,2025-04-07T23:13:47Z,200000,False,-113.0,138.0,1,left,MISS T. Hardaway Jr. 17' pullup Shot,[203501],1610612765.0,DET,pullup,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Mid-Range,16-24 Left Center,17.83,Missed,,,,,,,,,,,,,,,,,,
21,PT10M30.00S,2025-04-07T23:13:15.7Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,6,5,2025-04-07T23:13:20Z,210000,False,,,0,,D. Sabonis REBOUND (Off:0 Def:1),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,20.0,1.0,1.0,0.0,,
22,PT10M24.00S,2025-04-07T23:13:22.8Z,1,REGULAR,3pt,Jump Shot,[],201942,68.11760840998686,29.65686274509804,1610612758,6,5,2025-04-07T23:13:30Z,220000,False,-102.0,247.0,1,right,MISS D. DeRozan 26' 3PT,[201942],1610612758.0,SAC,,,,DeRozan,D. DeRozan,,,,,Above the Break 3,24+ Left Center,26.73,Missed,,,,,,,,,,,,,,,,,,
