actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,playerName,playerNameI,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,jumpBallRecoverdPersonId
2,PT12M00.00S,2024-11-26T00:11:57.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-26T00:11:57Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2024-11-26T00:11:58.6Z,1,REGULAR,jumpball,recovered,[],0,,,1610612765,0,0,2024-11-26T00:11:58Z,40000,False,,,0,,Jump Ball J. Duren vs. J. Poeltl: Tip to Team (DET),"[1631105, 1627751]",1610612765.0,DET,startperiod,Team (DET),Duren,1631105.0,Poeltl,1627751.0,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M50.00S,2024-11-26T00:12:46.9Z,1,REGULAR,turnover,bad pass,[],1627736,,,1610612765,0,0,2024-11-26T00:12:59Z,80000,False,,,0,,M. Beasley bad pass TURNOVER (1 TO),"[1627736, 1630567]",1610612765.0,DET,,,,,,,Above the Break 3,24+ Center,1.0,Beasley,M. Beasley,Barnes,1630567.0,,,,,,,,,,,,,,,,,,
10,PT11M50.00S,2024-11-26T00:12:46.9Z,1,REGULAR,steal,,[],1630567,,,1610612761,0,0,2024-11-26T00:12:49Z,90000,False,,,0,,S. Barnes STEAL (1 STL),[1630567],1610612761.0,TOR,,,,,,,Above the Break 3,24+ Center,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,
11,PT11M46.00S,2024-11-26T00:12:50.6Z,1,REGULAR,turnover,bad pass,[],1630567,,,1610612761,0,0,2024-11-26T00:13:02Z,100000,False,,,0,,S. Barnes bad pass TURNOVER (1 TO),"[1630567, 1627736]",1610612761.0,TOR,,,,,,,Above the Break 3,24+ Right Center,1.0,Barnes,S. Barnes,Beasley,1627736.0,,,,,,,,,,,,,,,,,,
12,PT11M46.00S,2024-11-26T00:12:50.6Z,1,REGULAR,steal,,[],1627736,,,1610612765,0,0,2024-11-26T00:12:53Z,110000,False,,,0,,M. Beasley STEAL (1 STL),[1627736],1610612765.0,DET,,,,,,,Above the Break 3,24+ Right Center,,Beasley,M. Beasley,,,,,,,,,,,,,,,,,,,,
13,PT11M37.00S,2024-11-26T00:12:59.7Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1631105,5.863994743758213,57.107843137254896,1610612765,2,0,2024-11-26T00:13:06Z,120000,False,-36.0,3.0,1,left,J. Duren turnaround Hook (2 PTS) (J. Ivey 1 AST),"[1631105, 1631093]",1610612765.0,DET,turnaround,,,,,,Restricted Area,0-8 Center,,Duren,J. Duren,,,3.56,Made,2.0,J. Ivey,1631093.0,1.0,,,,,,,,,,,,
14,PT11M21.00S,2024-11-26T00:13:16.6Z,1,REGULAR,3pt,Jump Shot,[],1630558,78.66294349540078,8.57843137254902,1610612761,2,0,2024-11-26T00:14:25Z,130000,False,-207.0,148.0,1,right,MISS D. Mitchell 25' 3PT,[1630558],1610612761.0,TOR,,,,,,,Above the Break 3,24+ Left Center,,Mitchell,D. Mitchell,,,25.46,Missed,,,,,,,,,,,,,,,,
15,PT11M19.00S,2024-11-26T00:13:18.6Z,1,REGULAR,rebound,defensive,[],1631105,,,1610612765,2,0,2024-11-26T00:14:25Z,140000,False,,,0,,J. Duren REBOUND (Off:0 Def:1),[1631105],1610612765.0,DET,,,,,,,Above the Break 3,24+ Left Center,,Duren,J. Duren,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,
16,PT11M09.00S,2024-11-26T00:13:29.5Z,1,REGULAR,turnover,lost ball,[],203501,,,1610612765,2,0,2024-11-26T00:14:54Z,150000,False,,,0,,T. Hardaway Jr. lost ball TURNOVER (1 TO),"[203501, 1629628]",1610612765.0,DET,,,,,,,Mid-Range,16-24 Left,1.0,Hardaway Jr.,T. Hardaway Jr.,Barrett,1629628.0,,,,,,,,,,,,,,,,,,
17,PT11M09.00S,2024-11-26T00:13:29.5Z,1,REGULAR,steal,,[],1629628,,,1610612761,2,0,2024-11-26T00:14:11Z,160000,False,,,0,,R. Barrett STEAL (1 STL),[1629628],1610612761.0,TOR,,,,,,,Mid-Range,16-24 Left,,Barrett,R. Barrett,,,,,,,,,,,,,,,,,,,,
18,PT11M05.00S,2024-11-26T00:13:34.0Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1629628,80.1084099868594,48.529411764705884,1610612761,2,0,2024-11-26T00:15:25Z,170000,False,-7.0,134.0,1,right,MISS R. Barrett 13' running pullup Shot,[1629628],1610612761.0,TOR,running pullup,,,,,,In The Paint (Non-RA),8-16 Center,,Barrett,R. Barrett,,,13.47,Missed,,,,,,,,,,,,,,,,
19,PT11M03.00S,2024-11-26T00:13:36.0Z,1,REGULAR,rebound,defensive,[],1631105,,,1610612765,2,0,2024-11-26T00:15:25Z,180000,False,,,0,,J. Duren REBOUND (Off:0 Def:2),[1631105],1610612765.0,DET,,,,,,,In The Paint (Non-RA),8-16 Center,,Duren,J. Duren,,,,,,,,,18.0,2.0,2.0,0.0,,,,,,,,
20,PT10M56.00S,2024-11-26T00:13:40.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1631093,6.389618922470433,48.529411764705884,1610612765,4,0,2024-11-26T00:13:53Z,190000,False,7.0,8.0,1,left,J. Ivey running Layup (2 PTS) (J. Duren 1 AST),"[1631093, 1631105]",1610612765.0,DET,running,,,,,,Restricted Area,0-8 Center,,Ivey,J. Ivey,,,1.06,Made,2.0,J. Duren,1631105.0,1.0,,,,,,,,,,,,
22,PT10M38.00S,2024-11-26T00:13:57.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630567,80.23981603153744,55.14705882352941,1610612761,4,2,2024-11-26T00:14:03Z,210000,False,26.0,133.0,1,right,S. Barnes 13' pullup Jump Shot (2 PTS) (J. Poeltl 1 AST),"[1630567, 1627751]",1610612761.0,TOR,pullup,,,,,,In The Paint (Non-RA),8-16 Center,,Barnes,S. Barnes,,,13.57,Made,2.0,J. Poeltl,1627751.0,1.0,,,,,,,,,,,,
24,PT10M17.00S,2024-11-26T00:14:18.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1631105,12.171484888304862,47.05882352941176,1610612765,6,2,2024-11-26T00:16:25Z,230000,False,15.0,62.0,1,left,J. Duren 6' driving bank Hook (4 PTS) (M. Beasley 1 AST),"[1631105, 1627736]",1610612765.0,DET,driving bank,,,,,,In The Paint (Non-RA),0-8 Center,,Duren,J. Duren,,,6.36,Made,4.0,M. Beasley,1627736.0,1.0,,,,,,,,,,,,
26,PT10M17.00S,2024-11-26T00:14:25.3Z,1,REGULAR,foul,personal,['1freethrow'],1630534,,,1610612765,6,2,2024-11-26T00:14:32Z,250000,False,,,0,,O. Agbaji shooting personal FOUL (1 PF) (Duren 1 FT),"[1630534, 1631105]",1610612761.0,TOR,shooting,,,,,,In The Paint (Non-RA),0-8 Center,,Agbaji,O. Agbaji,,,,,,,,,,,,,1628485.0,1.0,0.0,Duren,1631105.0,,,
28,PT10M17.00S,2024-11-26T00:15:02.6Z,1,REGULAR,freethrow,1 of 1,[],1631105,,,1610612765,6,2,2024-11-26T00:15:02Z,270000,False,,,0,,MISS J. Duren Free Throw 1 of 1,[1631105],1610612765.0,DET,,,,,,,,,,Duren,J. Duren,,,,Missed,,,,,,,,,,,,,,,,
29,PT10M15.00S,2024-11-26T00:15:03.9Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612761,6,2,2024-11-26T00:15:03Z,280000,False,,,0,,J. Poeltl REBOUND (Off:0 Def:1),[1627751],1610612761.0,TOR,,,,,,,,,,Poeltl,J. Poeltl,,,,,,,,,28.0,1.0,1.0,0.0,,,,,,,,
30,PT10M07.00S,2024-11-26T00:15:13.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,92.85479632063075,53.92156862745098,1610612761,6,4,2024-11-26T00:17:01Z,290000,False,20.0,15.0,1,right,J. Poeltl cutting Layup (2 PTS) (S. Barnes 1 AST),"[1627751, 1630567]",1610612761.0,TOR,cutting,,,,,,Restricted Area,0-8 Center,,Poeltl,J. Poeltl,,,2.45,Made,2.0,S. Barnes,1630567.0,1.0,,,,,,,,,,,,
