actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-11-05T00:31:13.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-05T00:31:13Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-11-05T00:31:16.7Z,1,REGULAR,jumpball,recovered,[],1631093,,,1610612765,0,0,2024-11-05T00:31:16Z,40000,False,,,0,,Jump Ball J. Duren vs. A. Davis: Tip to J. Ivey,"[1631093, 1631105, 203076]",1610612765.0,DET,startperiod,J. Ivey,1631093.0,Ivey,J. Ivey,Duren,1631105.0,Davis,203076.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2024-11-05T00:31:36.0Z,1,REGULAR,turnover,lost ball,[],1631105,,,1610612765,0,0,2024-11-05T00:31:39Z,70000,False,,,0,,J. Duren lost ball TURNOVER (1 TO),"[1631105, 1626156]",1610612765.0,DET,,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,1.0,Russell,1626156.0,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2024-11-05T00:31:36.0Z,1,REGULAR,steal,,[],1626156,,,1610612747,0,0,2024-11-05T00:31:37Z,80000,False,,,0,,D. Russell STEAL (1 STL),[1626156],1610612747.0,LAL,,,,Russell,D. Russell,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M31.00S,2024-11-05T00:31:45.3Z,1,REGULAR,foul,personal,['2freethrow'],1631105,,,1610612747,0,0,2024-11-05T00:31:54Z,90000,False,,,0,,J. Duren shooting personal FOUL (1 PF) (Davis 2 FT),"[1631105, 203076]",1610612765.0,DET,shooting,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,,,,1627964.0,1.0,0.0,Davis,203076.0,,,,,,,,,,,,
11,PT11M31.00S,2024-11-05T00:32:16.3Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],203076,,,1610612747,0,1,2024-11-05T00:32:42Z,110000,False,,,0,,A. Davis Free Throw 1 of 2 (1 PTS),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,,,,,,Made,1.0,,,,,,,,,,
12,PT11M31.00S,2024-11-05T00:32:16.3Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],203076,,,1610612747,0,1,2024-11-05T00:32:42Z,120000,False,,,0,,MISS A. Davis Free Throw 2 of 2,[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,,,,,,Missed,,,,,,,,,,,
13,PT11M29.00S,2024-11-05T00:32:18.3Z,1,REGULAR,rebound,defensive,[],202699,,,1610612765,0,1,2024-11-05T00:32:42Z,130000,False,,,0,,T. Harris REBOUND (Off:0 Def:1),[202699],1610612765.0,DET,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,
14,PT11M10.00S,2024-11-05T00:33:04.3Z,1,REGULAR,foul,offensive,[],202699,,,1610612765,0,1,2024-11-05T00:33:14Z,140000,False,,,0,,T. Harris offensive FOUL (1 PF),"[202699, 1626156]",1610612765.0,DET,,,,Harris,T. Harris,,,,,Mid-Range,16-24 Right,,,,1627964.0,1.0,0.0,Russell,1626156.0,,,,,,,,,,,,
16,PT11M10.00S,2024-11-05T00:33:04.3Z,1,REGULAR,turnover,offensive foul,[],202699,,,1610612765,0,1,2024-11-05T00:33:04Z,160000,False,,,0,,T. Harris offensive foul TURNOVER (1 TO),[202699],1610612765.0,DET,,,,Harris,T. Harris,,,,,Mid-Range,16-24 Right,1.0,,,1627964.0,,,,,,,,,,,,,,,,
