actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,blockPlayerName,blockPersonId,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-01-17T00:10:31.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-17T00:10:31Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-01-17T00:10:34.3Z,1,REGULAR,jumpball,recovered,[],1630595,,,1610612765,0,0,2025-01-17T00:10:34Z,40000,False,,,0,,Jump Ball J. Duren vs. M. Turner: Tip to C. Cunningham,"[1630595, 1631105, 1626167]",1610612765.0,DET,startperiod,C. Cunningham,1630595.0,Cunningham,C. Cunningham,Duren,1631105.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2025-01-17T00:10:51.4Z,1,REGULAR,3pt,Jump Shot,[],202699,91.63929040735874,2.941176470588232,1610612765,0,0,2025-01-17T00:10:57Z,70000,False,-235.0,26.0,1,right,MISS T. Harris 3PT,[202699],1610612765.0,DET,,,,Harris,T. Harris,,,,,Left Corner 3,24+ Left,23.67,Missed,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2025-01-17T00:10:55.4Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612754,0,0,2025-01-17T00:10:57Z,80000,False,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Left Corner 3,24+ Left,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M18.00S,2025-01-17T00:11:11.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627783,17.526281208935615,42.64705882352941,1610612754,0,0,2025-01-17T00:11:27Z,90000,False,37.0,112.0,1,left,MISS P. Siakam 11' turnaround fadeaway Shot,[1627783],1610612754.0,IND,turnaround fadeaway,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),8-16 Center,11.81,Missed,,,,,,,,,,,,,,,,,,
10,PT11M16.00S,2025-01-17T00:11:13.9Z,1,REGULAR,rebound,defensive,[],1631105,,,1610612765,0,0,2025-01-17T00:11:16Z,100000,False,,,0,,J. Duren REBOUND (Off:0 Def:1),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,In The Paint (Non-RA),8-16 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M08.00S,2025-01-17T00:11:22.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1641709,90.19382391590013,50.73529411764706,1610612765,0,0,2025-01-17T00:11:27Z,110000,False,4.0,40.0,1,right,MISS A. Thompson Hook,[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,3.99,Missed,,,,,,,,,,,,,,,,,,
12,PT11M06.00S,2025-01-17T00:11:24.3Z,1,REGULAR,rebound,defensive,[],1630174,,,1610612754,0,0,2025-01-17T00:11:27Z,120000,False,,,0,,A. Nesmith REBOUND (Off:0 Def:1),[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Restricted Area,0-8 Center,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT10M47.00S,2025-01-17T00:11:43.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626167,6.4881734559789805,57.84313725490196,1610612754,0,2,2025-01-17T00:11:49Z,130000,False,-39.0,8.0,1,left,M. Turner DUNK (2 PTS) (P. Siakam 1 AST),"[1626167, 1627783]",1610612754.0,IND,,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,4.01,Made,,,,,2.0,P. Siakam,1627783.0,1.0,,,,,,,,,,
15,PT10M32.00S,2025-01-17T00:11:58.5Z,1,REGULAR,3pt,Jump Shot,[],1630595,71.27135348226018,79.41176470588235,1610612765,0,2,2025-01-17T00:12:03Z,150000,False,147.0,218.0,1,right,MISS C. Cunningham 26' 3PT,[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Above the Break 3,24+ Right Center,26.26,Missed,,,,,,,,,,,,,,,,,,
16,PT10M30.00S,2025-01-17T00:12:00.5Z,1,REGULAR,rebound,defensive,[],1630169,,,1610612754,0,2,2025-01-17T00:12:03Z,160000,False,,,0,,T. Haliburton REBOUND (Off:0 Def:1),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Right Center,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,
17,PT10M22.00S,2025-01-17T00:12:08.3Z,1,REGULAR,3pt,Jump Shot,[],1626167,28.95860709592641,81.37254901960785,1610612754,0,5,2025-01-17T00:12:12Z,170000,False,-157.0,220.0,1,left,M. Turner 27' 3PT  (5 PTS) (A. Nembhard 1 AST),"[1626167, 1629614]",1610612754.0,IND,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Left Center,27.0,Made,,,,,5.0,A. Nembhard,1629614.0,1.0,,,,,,,,,,
20,PT10M03.00S,2025-01-17T00:12:54.4Z,1,REGULAR,turnover,lost ball,[],1630595,,,1610612765,0,5,2025-01-17T00:13:01Z,200000,False,,,0,,C. Cunningham lost ball TURNOVER (1 TO),"[1630595, 1629614]",1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Above the Break 3,24+ Center,,,,,,,,,,,1.0,Nembhard,1629614.0,,,,,,,
21,PT10M03.00S,2025-01-17T00:12:54.4Z,1,REGULAR,steal,,[],1629614,,,1610612754,0,5,2025-01-17T00:12:57Z,210000,False,,,0,,A. Nembhard STEAL (1 STL),[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
22,PT09M56.00S,2025-01-17T00:13:01.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630174,29.61563731931669,78.92156862745098,1610612754,0,5,2025-01-17T00:13:07Z,220000,False,-145.0,226.0,1,left,MISS A. Nesmith 26' 3PT,[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Above the Break 3,24+ Left Center,26.82,Missed,,,,,,,,,,,,,,,,,,
23,PT09M51.00S,2025-01-17T00:13:06.3Z,1,REGULAR,rebound,defensive,[],1631105,,,1610612765,0,5,2025-01-17T00:13:07Z,230000,False,,,0,,J. Duren REBOUND (Off:0 Def:2),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Above the Break 3,24+ Left Center,,,22.0,2.0,2.0,0.0,,,,,,,,,,,,,,
