actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-02-01T00:11:21.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-02-01T00:11:21Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-02-01T00:11:24.2Z,1,REGULAR,jumpball,recovered,[],1630595,,,1610612765,0,0,2025-02-01T00:11:24Z,40000,False,,,0,,Jump Ball J. Duren vs. D. Gafford: Tip to C. Cunningham,"[1630595, 1631105, 1629655]",1610612765.0,DET,startperiod,C. Cunningham,1630595.0,Cunningham,C. Cunningham,Duren,1631105.0,Gafford,1629655.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2025-02-01T00:11:40.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641709,88.12417871222075,41.17647058823529,1610612765,0,0,2025-02-01T00:11:45Z,70000,False,-44.0,59.0,1,right,MISS A. Thompson 7' driving floating Shot - blocked,"[1641709, 1629655]",1610612765.0,DET,driving floating,,,Thompson,A. Thompson,,,,,In The Paint (Non-RA),0-8 Center,7.37,Missed,Gafford,1629655.0,,,,,,,,,,,,,,,,
8,PT11M41.00S,2025-02-01T00:11:40.1Z,1,REGULAR,block,,[],1629655,,,1610612765,0,0,2025-02-01T00:11:43Z,80000,False,,,0,,D. Gafford BLOCK (1 BLK),[1629655],1610612742.0,DAL,,,,Gafford,D. Gafford,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M41.00S,2025-02-01T00:11:40.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612765,0,0,2025-02-01T00:11:45Z,90000,False,,,0,,TEAM offensive REBOUND,[],1610612765.0,DET,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,7.0,,,,,,,,,,,,,,,
11,PT11M39.00S,2025-02-01T00:11:55.0Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],202699,93.24901445466492,21.323529411764707,1610612765,2,0,2025-02-01T00:12:00Z,110000,False,-143.0,11.0,1,right,T. Harris 14' Jump Shot (2 PTS) (C. Cunningham 1 AST),"[202699, 1630595]",1610612765.0,DET,,,,Harris,T. Harris,,,,,Mid-Range,8-16 Left,14.38,Made,,,,2.0,C. Cunningham,1630595.0,1.0,,,,,,,,,,,
13,PT11M16.00S,2025-02-01T00:12:17.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629023,13.354139290407357,50.98039215686274,1610612742,2,0,2025-02-01T00:12:22Z,130000,False,-5.0,73.0,1,left,MISS P. Washington 7' turnaround Shot,[1629023],1610612742.0,DAL,turnaround,,,Washington,P. Washington,,,,,In The Paint (Non-RA),0-8 Center,7.32,Missed,,,,,,,,,,,,,,,,,,
14,PT11M14.00S,2025-02-01T00:12:19.9Z,1,REGULAR,rebound,defensive,[],1641709,,,1610612765,2,0,2025-02-01T00:12:22Z,140000,False,,,0,,A. Thompson REBOUND (Off:0 Def:1),[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,In The Paint (Non-RA),0-8 Center,,,,,13.0,,,,,1.0,1.0,0.0,,,,,,,,
15,PT11M05.00S,2025-02-01T00:12:28.5Z,1,REGULAR,3pt,Jump Shot,[],1630595,76.03482260183968,11.76470588235294,1610612765,2,0,2025-02-01T00:12:33Z,150000,False,-191.0,173.0,1,right,MISS C. Cunningham 25' 3PT,[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Above the Break 3,24+ Left Center,25.77,Missed,,,,,,,,,,,,,,,,,,
16,PT11M03.00S,2025-02-01T00:12:30.5Z,1,REGULAR,rebound,defensive,[],1629655,,,1610612742,2,0,2025-02-01T00:12:33Z,160000,False,,,0,,D. Gafford REBOUND (Off:0 Def:1),[1629655],1610612742.0,DAL,,,,Gafford,D. Gafford,,,,,Above the Break 3,24+ Left Center,,,,,15.0,,,,,1.0,1.0,0.0,,,,,,,,
17,PT10M56.00S,2025-02-01T00:12:38.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629655,6.1268068331143235,50.49019607843137,1610612742,2,2,2025-02-01T00:13:04Z,170000,False,-2.0,5.0,1,left,D. Gafford driving DUNK (2 PTS) (K. Irving 1 AST),"[1629655, 202681]",1610612742.0,DAL,driving,,,Gafford,D. Gafford,,,,,Restricted Area,0-8 Center,0.57,Made,,,,2.0,K. Irving,202681.0,1.0,,,,,,,,,,,
19,PT10M38.00S,2025-02-01T00:12:56.0Z,1,REGULAR,3pt,Jump Shot,[],203501,71.35348226018397,80.90533088235294,1610612765,2,2,2025-02-01T00:13:05Z,190000,False,155.0,217.0,1,right,MISS T. Hardaway Jr. 26' 3PT,[203501],1610612765.0,DET,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Above the Break 3,24+ Right Center,26.62,Missed,,,,,,,,,,,,,,,,,,
20,PT10M36.00S,2025-02-01T00:12:58.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612742,2,2,2025-02-01T00:13:05Z,200000,False,,,0,,TEAM defensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,19.0,,,,,,,,,,,,,,,
22,PT10M21.00S,2025-02-01T00:13:21.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629655,11.908672798948752,47.794117647058826,1610612742,2,4,2025-02-01T00:13:25Z,220000,False,11.0,59.0,1,left,D. Gafford 6' turnaround Hook (4 PTS),[1629655],1610612742.0,DAL,turnaround,,,Gafford,D. Gafford,,,,,In The Paint (Non-RA),0-8 Center,6.04,Made,,,,4.0,,,,,,,,,,,,,,
23,PT10M10.00S,2025-02-01T00:13:33.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630595,93.64323258869908,45.588235294117645,1610612765,4,4,2025-02-01T00:13:38Z,230000,False,-22.0,7.0,1,right,C. Cunningham driving reverse Layup (2 PTS),[1630595],1610612765.0,DET,driving reverse,,,Cunningham,C. Cunningham,,,,,Restricted Area,0-8 Center,2.33,Made,,,,2.0,,,,,,,,,,,,,,
