actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-01-04T00:10:39.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-04T00:10:39Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2025-01-04T00:10:44.5Z,1,REGULAR,jumpball,recovered,[],203995,,,1610612766,0,0,2025-01-04T00:10:44Z,40000,False,,,0,,Jump Ball M. Williams vs. J. Duren: Tip to V. Micić,"[203995, 1631109, 1631105]",1610612766.0,CHA,startperiod,V. Micić,203995.0,Micić,V. Micić,Williams,1631109.0,Duren,1631105.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M34.00S,2025-01-04T00:11:04.1Z,1,REGULAR,2pt,Jump Shot,[],1631109,92.24704336399475,75.95741421568627,1610612766,0,0,2025-01-04T00:11:34Z,70000,False,130.0,20.0,1,right,MISS M. Williams 13' turnaround fadeaway bank Shot,[1631109],1610612766.0,CHA,turnaround fadeaway bank,,,Williams,M. Williams,,,,,Mid-Range,8-16 Right,13.14,Missed,,,,,,,,,,,,,,,,,,
8,PT11M31.00S,2025-01-04T00:11:07.1Z,1,REGULAR,rebound,defensive,[],202699,,,1610612765,0,0,2025-01-04T00:11:15Z,80000,False,,,0,,T. Harris REBOUND (Off:0 Def:1),[202699],1610612765.0,DET,,,,Harris,T. Harris,,,,,Mid-Range,8-16 Right,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M20.00S,2025-01-04T00:11:18.1Z,1,REGULAR,2pt,Jump Shot,[],202699,22.78252299605782,62.254901960784316,1610612765,0,0,2025-01-04T00:11:22Z,90000,False,-61.0,162.0,1,left,MISS T. Harris 17' pullup Shot,[202699],1610612765.0,DET,pullup,,,Harris,T. Harris,,,,,Mid-Range,16-24 Left Center,17.29,Missed,,,,,,,,,,,,,,,,,,
10,PT11M17.00S,2025-01-04T00:11:21.1Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,0,0,2025-01-04T00:11:22Z,100000,False,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Mid-Range,16-24 Left Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M10.00S,2025-01-04T00:11:29.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628970,92.95335085413929,37.99019607843137,1610612766,0,2,2025-01-04T00:21:06Z,110000,False,-60.0,14.0,1,right,M. Bridges 6' driving floating bank Jump Shot (2 PTS),[1628970],1610612766.0,CHA,driving floating bank,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),0-8 Center,6.15,Made,,,,,2.0,,,,,,,,,,,,,
13,PT10M50.00S,2025-01-04T00:11:48.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631105,12.13863337713535,57.1078431372549,1610612765,2,2,2025-01-04T00:13:52Z,130000,False,-36.0,62.0,1,left,J. Duren 7' driving floating Jump Shot (2 PTS),[1631105],1610612765.0,DET,driving floating,,,Duren,J. Duren,,,,,In The Paint (Non-RA),0-8 Center,7.11,Made,,,,,2.0,,,,,,,,,,,,,
14,PT10M32.00S,2025-01-04T00:12:06.6Z,1,REGULAR,3pt,Jump Shot,[],1628970,69.69448094612352,31.617647058823522,1610612766,2,2,2025-01-04T00:14:39Z,140000,False,-92.0,232.0,1,right,MISS M. Bridges 24' 3PT,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Left Center,24.99,Missed,,,,,,,,,,,,,,,,,,
15,PT10M29.00S,2025-01-04T00:12:09.6Z,1,REGULAR,rebound,defensive,[],1630595,,,1610612765,2,2,2025-01-04T00:12:11Z,150000,False,,,0,,C. Cunningham REBOUND (Off:0 Def:1),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Above the Break 3,24+ Left Center,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT10M23.00S,2025-01-04T00:12:15.1Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],203501,4.517082785808142,14.705882352941174,1610612765,2,2,2025-01-04T00:15:44Z,160000,False,176.0,-10.0,1,left,MISS T. Hardaway Jr. 17' running pullup Shot,[203501],1610612765.0,DET,running pullup,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Mid-Range,16-24 Right,17.68,Missed,,,,,,,,,,,,,,,,,,
17,PT10M21.00S,2025-01-04T00:12:17.1Z,1,REGULAR,rebound,offensive,[],1631105,,,1610612765,2,2,2025-01-04T00:15:44Z,170000,False,,,0,,J. Duren REBOUND (Off:1 Def:0),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Mid-Range,16-24 Right,,,16.0,1.0,0.0,1.0,,,,,,,,,,,,,,
18,PT10M19.00S,2025-01-04T00:12:19.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631105,9.904730617608408,50.98039215686275,1610612765,2,2,2025-01-04T00:16:04Z,180000,False,-5.0,41.0,1,left,MISS J. Duren putback Layup - blocked,"[1631105, 1631109]",1610612765.0,DET,putback,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,4.09,Missed,,,,,,Williams,1631109.0,,,,,,,,,,,
19,PT10M19.00S,2025-01-04T00:12:19.1Z,1,REGULAR,block,,[],1631109,,,1610612765,2,2,2025-01-04T00:12:22Z,190000,False,,,0,,M. Williams BLOCK (1 BLK),[1631109],1610612766.0,CHA,,,,Williams,M. Williams,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
20,PT10M16.00S,2025-01-04T00:12:22.1Z,1,REGULAR,rebound,defensive,[],203995,,,1610612766,2,2,2025-01-04T00:12:23Z,200000,False,,,0,,V. Micić REBOUND (Off:0 Def:1),[203995],1610612766.0,CHA,,,,Micić,V. Micić,,,,,Restricted Area,0-8 Center,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,,
