actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-12-04T00:11:18.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-04T00:11:18Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-12-04T00:11:22.0Z,1,REGULAR,jumpball,recovered,[],203507,,,1610612749,0,0,2024-12-04T00:11:22Z,40000,False,,,0,,Jump Ball B. Lopez vs. J. Duren: Tip to G. Antetokounmpo,"[203507, 201572, 1631105]",1610612749.0,MIL,startperiod,G. Antetokounmpo,203507.0,Antetokounmpo,G. Antetokounmpo,Lopez,201572.0,Duren,1631105.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2024-12-04T00:11:37.8Z,1,REGULAR,2pt,Jump Shot,[],203081,78.63009198423127,50.49019607843137,1610612749,0,2,2024-12-04T00:11:43Z,70000,False,2.0,148.0,1,right,D. Lillard 14' pullup Jump Shot (2 PTS),[203081],1610612749.0,MIL,pullup,,,Lillard,D. Lillard,,,,,Mid-Range,8-16 Center,14.84,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M14.00S,2024-12-04T00:12:03.2Z,1,REGULAR,3pt,Jump Shot,[],203501,25.147831800262807,88.72549019607843,1610612765,0,2,2024-12-04T00:12:07Z,80000,False,-194.0,184.0,1,left,MISS T. Hardaway Jr. 26' 3PT,[203501],1610612765.0,DET,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Above the Break 3,24+ Left Center,26.7,Missed,,,,,,,,,,,,,,,,,,
9,PT11M13.00S,2024-12-04T00:12:05.5Z,1,REGULAR,rebound,offensive,[],1631105,,,1610612765,0,2,2024-12-04T00:12:05Z,90000,False,,,0,,J. Duren REBOUND (Off:1 Def:0),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Above the Break 3,24+ Left Center,,,,8.0,1.0,0.0,1.0,,,,,,,,,,,,,
10,PT11M12.00S,2024-12-04T00:12:06.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631105,6.8823915900131425,46.81372549019608,1610612765,2,2,2024-12-04T00:12:15Z,100000,False,16.0,12.0,1,left,J. Duren putback Layup (2 PTS),[1631105],1610612765.0,DET,putback,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,2.0,Made,2.0,,,,,,,,,,,,,,,,,
11,PT10M56.00S,2024-12-04T00:12:21.2Z,1,REGULAR,2pt,Jump Shot,[],203081,79.28712220762155,35.78431372549019,1610612749,2,4,2024-12-04T00:12:45Z,110000,False,-71.0,142.0,1,right,D. Lillard 15' step back Jump Shot (4 PTS),[203081],1610612749.0,MIL,step back,,,Lillard,D. Lillard,,,,,Mid-Range,8-16 Center,15.9,Made,4.0,,,,,,,,,,,,,,,,,
12,PT10M43.00S,2024-12-04T00:12:35.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203501,2.496714848883059,55.12408088235294,1610612765,2,4,2024-12-04T00:12:48Z,120000,False,-26.0,-29.0,1,left,MISS T. Hardaway Jr. pullup Shot,[203501],1610612765.0,DET,pullup,,,Hardaway Jr.,T. Hardaway Jr.,,,,,In The Paint (Non-RA),0-8 Center,3.87,Missed,,,,,,,,,,,,,,,,,,
13,PT10M42.00S,2024-12-04T00:12:36.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612765,2,4,2024-12-04T00:12:48Z,130000,False,,,0,,TEAM offensive REBOUND,[],1610612765.0,DET,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,12.0,,,,,,,,,,,,,,,,
15,PT10M39.00S,2024-12-04T00:12:56.0Z,1,REGULAR,turnover,out-of-bounds,[],202699,,,1610612765,2,4,2024-12-04T00:13:05Z,150000,False,,,0,,T. Harris step out-of-bounds TURNOVER (1 TO),[202699],1610612765.0,DET,step,,,Harris,T. Harris,,,,,Left Corner 3,24+ Left,,,,,,,,201246.0,1.0,,,,,,,,,,,
16,PT10M25.00S,2024-12-04T00:13:16.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203507,95.58147174770039,42.892156862745104,1610612749,2,6,2024-12-04T00:13:20Z,160000,False,-36.0,-11.0,1,right,G. Antetokounmpo driving Layup (2 PTS),[203507],1610612749.0,MIL,driving,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,3.72,Made,2.0,,,,,,,,,,,,,,,,,
18,PT10M07.00S,2024-12-04T00:13:34.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630595,9.904730617608408,41.42156862745098,1610612765,4,6,2024-12-04T00:13:41Z,180000,False,43.0,41.0,1,left,C. Cunningham floating Jump Shot (2 PTS),[1630595],1610612765.0,DET,floating,,,Cunningham,C. Cunningham,,,,,In The Paint (Non-RA),0-8 Center,5.91,Made,2.0,,,,,,,,,,,,,,,,,
19,PT10M01.00S,2024-12-04T00:13:45.9Z,1,REGULAR,foul,personal,['2freethrow'],1631105,,,1610612749,4,6,2024-12-04T00:13:57Z,190000,False,,,0,,J. Duren shooting personal FOUL (1 PF) (Antetokounmpo 2 FT),"[1631105, 203507]",1610612765.0,DET,shooting,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,,,,,,,,1628487.0,,1.0,0.0,Antetokounmpo,203507.0,,,,,,,
21,PT10M01.00S,2024-12-04T00:14:25.4Z,1,REGULAR,freethrow,1 of 2,[],203507,,,1610612749,4,6,2024-12-04T00:14:25Z,210000,False,,,0,,MISS G. Antetokounmpo Free Throw 1 of 2,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
22,PT10M01.00S,2024-12-04T00:14:25.4Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612749,4,6,2024-12-04T00:14:25Z,220000,False,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,
23,PT10M01.00S,2024-12-04T00:14:53.2Z,1,REGULAR,freethrow,2 of 2,[],203507,,,1610612749,4,7,2024-12-04T00:14:53Z,230000,False,,,0,,G. Antetokounmpo Free Throw 2 of 2 (3 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
24,PT09M42.00S,2024-12-04T00:15:13.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630595,9.379106438896187,46.32352941176471,1610612765,4,7,2024-12-04T00:16:28Z,240000,False,18.0,36.0,1,left,MISS C. Cunningham driving Layup - blocked,"[1630595, 203507]",1610612765.0,DET,driving,,,Cunningham,C. Cunningham,,,,,Restricted Area,0-8 Center,4.02,Missed,,,,,,,,,,,,Antetokounmpo,203507.0,,,,,
