actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-01-12T00:12:26.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-12T00:12:26Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-01-12T00:12:29.9Z,1,REGULAR,jumpball,recovered,[],1641711,,,1610612761,0,0,2025-01-12T00:12:30Z,40000,False,,,0,,Jump Ball J. Poeltl vs. J. Duren: Tip to G. Dick,"[1641711, 1627751, 1631105]",1610612761.0,TOR,startperiod,G. Dick,1641711.0,Dick,G. Dick,Poeltl,1627751.0,Duren,1631105.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2025-01-12T00:12:42.5Z,1,REGULAR,turnover,bad pass,[],1630567,,,1610612761,0,0,2025-01-12T00:12:46Z,70000,False,,,0,,S. Barnes bad pass TURNOVER (1 TO),"[1630567, 203501]",1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Mid-Range,8-16 Right,1.0,Hardaway Jr.,203501.0,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2025-01-12T00:12:42.5Z,1,REGULAR,steal,,[],203501,,,1610612765,0,0,2025-01-12T00:12:44Z,80000,False,,,0,,T. Hardaway Jr. STEAL (1 STL),[203501],1610612765.0,DET,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
9,PT11M38.00S,2025-01-12T00:12:49.0Z,1,REGULAR,foul,personal,['2freethrow'],1641711,,,1610612765,0,0,2025-01-12T00:12:59Z,90000,False,,,0,,G. Dick shooting personal FOUL (1 PF) (Hardaway Jr. 2 FT),"[1641711, 203501]",1610612761.0,TOR,shooting,,,Dick,G. Dick,,,,,Restricted Area,0-8 Center,,,,202007.0,1.0,0.0,Hardaway Jr.,203501.0,,,,,,,,,,,,
11,PT11M38.00S,2025-01-12T00:13:13.4Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",203501,,,1610612765,1,0,2025-01-12T00:13:31Z,110000,False,,,0,,T. Hardaway Jr. Free Throw 1 of 2 (1 PTS),[203501],1610612765.0,DET,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,Made,1.0,,,,,,,,,,
12,PT11M38.00S,2025-01-12T00:13:13.4Z,1,REGULAR,freethrow,2 of 2,"['fromturnover', 'fastbreak']",203501,,,1610612765,1,0,2025-01-12T00:13:31Z,120000,False,,,0,,MISS T. Hardaway Jr. Free Throw 2 of 2,[203501],1610612765.0,DET,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,Missed,,,,,,,,,,,
13,PT11M35.00S,2025-01-12T00:13:16.4Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612761,1,0,2025-01-12T00:13:31Z,130000,False,,,0,,R. Barrett REBOUND (Off:0 Def:1),[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,,,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,
14,PT11M18.00S,2025-01-12T00:13:48.0Z,1,REGULAR,3pt,Jump Shot,[],1629628,67.7562417871222,65.19607843137256,1610612761,1,0,2025-01-12T00:13:53Z,140000,False,76.0,251.0,1,right,MISS R. Barrett 26' 3PT,[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,Above the Break 3,24+ Center,,,,,,,,,Missed,,,,,,26.19,,,,,
15,PT11M14.00S,2025-01-12T00:13:52.0Z,1,REGULAR,rebound,defensive,[],203501,,,1610612765,1,0,2025-01-12T00:13:53Z,150000,False,,,0,,T. Hardaway Jr. REBOUND (Off:0 Def:1),[203501],1610612765.0,DET,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Above the Break 3,24+ Center,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,
