actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-03-13T23:11:14.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-13T23:11:14Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-03-13T23:11:16.6Z,1,REGULAR,jumpball,recovered,[],1630595,,,1610612765,0,0,2025-03-13T23:11:16Z,40000,False,,,0,,Jump Ball J. Duren vs. A. Sarr: Tip to C. Cunningham,"[1630595, 1631105, 1642259]",1610612765.0,DET,startperiod,C. Cunningham,1630595.0,Cunningham,C. Cunningham,Duren,1631105.0,Sarr,1642259.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2025-03-13T23:11:31.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630595,14.241130091984232,50.98039215686275,1610612765,2,0,2025-03-13T23:11:54Z,70000,False,-5.0,81.0,1,left,C. Cunningham 8' step back Jump Shot (2 PTS),[1630595],1610612765.0,DET,step back,,,Cunningham,C. Cunningham,,,,,In The Paint (Non-RA),8-16 Center,8.15,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M19.00S,2025-03-13T23:11:55.8Z,1,REGULAR,3pt,Jump Shot,[],1642273,87.51642575558475,95.56525735294117,1610612764,2,0,2025-03-13T23:12:23Z,80000,False,228.0,65.0,1,right,MISS K. George 3PT,[1642273],1610612764.0,WAS,,,,George,K. George,,,,,Right Corner 3,24+ Right,23.68,Missed,,,,,,,,,,,,,,,,,,
9,PT11M15.00S,2025-03-13T23:11:59.8Z,1,REGULAR,rebound,defensive,[],1631105,,,1610612765,2,0,2025-03-13T23:12:23Z,90000,False,,,0,,J. Duren REBOUND (Off:0 Def:1),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Right Corner 3,24+ Right,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M04.00S,2025-03-13T23:12:09.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202699,9.379106438896187,41.42156862745098,1610612765,4,0,2025-03-13T23:13:05Z,100000,False,43.0,36.0,1,left,T. Harris driving floating Jump Shot (2 PTS),[202699],1610612765.0,DET,driving floating,,,Harris,T. Harris,,,,,In The Paint (Non-RA),0-8 Center,5.58,Made,2.0,,,,,,,,,,,,,,,,,
11,PT10M53.00S,2025-03-13T23:12:24.5Z,1,REGULAR,foul,personal,[],1641709,,,1610612764,4,0,2025-03-13T23:12:31Z,110000,False,,,0,,A. Thompson personal FOUL (1 PF),"[1641709, 1629673]",1610612765.0,DET,,,,Thompson,A. Thompson,,,,,Above the Break 3,24+ Right Center,,,,,,,,1627962.0,1.0,0.0,Poole,1629673.0,,,,,,,,
13,PT10M47.00S,2025-03-13T23:12:48.8Z,1,REGULAR,2pt,Jump Shot,[],203114,73.45597897503285,45.94439338235294,1610612764,4,0,2025-03-13T23:13:51Z,130000,False,-20.0,197.0,1,right,MISS K. Middleton 19' pullup Shot,[203114],1610612764.0,WAS,pullup,,,Middleton,K. Middleton,,,,,Mid-Range,16-24 Center,19.8,Missed,,,,,,,,,,,,,,,,,,
14,PT10M44.00S,2025-03-13T23:12:51.8Z,1,REGULAR,rebound,defensive,[],1631105,,,1610612765,4,0,2025-03-13T23:13:51Z,140000,False,,,0,,J. Duren REBOUND (Off:0 Def:2),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Mid-Range,16-24 Center,,,,13.0,2.0,2.0,0.0,,,,,,,,,,,,,
15,PT10M34.00S,2025-03-13T23:13:00.9Z,1,REGULAR,turnover,bad pass,[],1641709,,,1610612765,4,0,2025-03-13T23:23:14Z,150000,False,,,0,,A. Thompson bad pass TURNOVER (1 TO),"[1641709, 1642273]",1610612765.0,DET,,,,Thompson,A. Thompson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1.0,George,1642273.0,,,,,
