actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-03-11T23:10:53.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-11T23:10:53Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2025-03-11T23:10:56.4Z,1,REGULAR,jumpball,recovered,[],1629673,,,1610612764,0,0,2025-03-11T23:10:56Z,40000,False,,,0,,Jump Ball A. Sarr vs. J. Duren: Tip to J. Poole,"[1629673, 1642259, 1631105]",1610612764.0,WAS,startperiod,J. Poole,1629673.0,Poole,J. Poole,Sarr,1642259.0,Duren,1631105.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M33.00S,2025-03-11T23:11:18.9Z,1,REGULAR,3pt,Jump Shot,[],1642259,66.27792378449408,33.08823529411765,1610612764,0,0,2025-03-11T23:11:23Z,70000,False,-85.0,264.0,1,right,MISS A. Sarr 27' 3PT,[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Above the Break 3,24+ Center,27.77,Missed,,,,,,,,,,,,,,,,,,
8,PT11M30.00S,2025-03-11T23:11:21.9Z,1,REGULAR,rebound,defensive,[],203501,,,1610612765,0,0,2025-03-11T23:11:22Z,80000,False,,,0,,T. Hardaway Jr. REBOUND (Off:0 Def:1),[203501],1610612765.0,DET,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Above the Break 3,24+ Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M19.00S,2025-03-11T23:11:33.0Z,1,REGULAR,3pt,Jump Shot,[],202699,7.539421813403408,3.4313725490196134,1610612765,3,0,2025-03-11T23:11:36Z,90000,False,233.0,18.0,1,left,T. Harris 3PT  (3 PTS),[202699],1610612765.0,DET,,,,Harris,T. Harris,,,,,Right Corner 3,24+ Right,23.35,Made,,,,,3.0,,,,,,,,,,,,,
10,PT11M08.00S,2025-03-11T23:11:44.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630551,90.98226018396846,50.49019607843137,1610612764,3,0,2025-03-11T23:11:49Z,100000,False,2.0,32.0,1,right,MISS J. Champagnie Layup - blocked,"[1630551, 1641709]",1610612764.0,WAS,,,,Champagnie,J. Champagnie,,,,,Restricted Area,0-8 Center,3.24,Missed,,,,,,Thompson,1641709.0,,,,,,,,,,,
11,PT11M08.00S,2025-03-11T23:11:44.0Z,1,REGULAR,block,,[],1641709,,,1610612764,3,0,2025-03-11T23:11:47Z,110000,False,,,0,,A. Thompson BLOCK (1 BLK),[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
12,PT11M05.00S,2025-03-11T23:11:47.0Z,1,REGULAR,rebound,defensive,[],1630595,,,1610612765,3,0,2025-03-11T23:11:49Z,120000,False,,,0,,C. Cunningham REBOUND (Off:0 Def:1),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Restricted Area,0-8 Center,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT11M04.00S,2025-03-11T23:11:49.8Z,1,REGULAR,foul,personal,[],203114,,,1610612765,3,0,2025-03-11T23:12:17Z,130000,False,,,0,,K. Middleton personal FOUL (1 PF),"[203114, 1631105]",1610612764.0,WAS,,,,Middleton,K. Middleton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,1155.0,1.0,0.0,Duren,1631105.0,,,,,,
15,PT10M52.00S,2025-03-11T23:12:25.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630595,10.167542706964511,47.30392156862745,1610612765,3,0,2025-03-11T23:12:29Z,150000,False,13.0,43.0,1,left,MISS C. Cunningham Hook - blocked,"[1630595, 1642259]",1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,In The Paint (Non-RA),0-8 Center,4.52,Missed,,,,,,Sarr,1642259.0,,,,,,,,,,,
