actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-12-17T00:11:17.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-17T00:11:17Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-12-17T00:11:19.9Z,1,REGULAR,jumpball,recovered,[],202710,,,1610612748,0,0,2024-12-17T00:11:19Z,40000,False,,,0,,Jump Ball B. Adebayo vs. J. Duren: Tip to J. Butler,"[202710, 1628389, 1631105]",1610612748.0,MIA,startperiod,J. Butler,202710.0,Butler,J. Butler,Adebayo,1628389.0,Duren,1631105.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2024-12-17T00:11:34.4Z,1,REGULAR,turnover,bad pass,[],1629130,,,1610612748,0,0,2024-12-17T00:11:44Z,70000,False,,,0,,D. Robinson bad pass TURNOVER (1 TO),"[1629130, 1641709]",1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,In The Paint (Non-RA),0-8 Center,1.0,Thompson,1641709.0,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2024-12-17T00:11:34.4Z,1,REGULAR,steal,,[],1641709,,,1610612765,0,0,2024-12-17T00:11:38Z,80000,False,,,0,,A. Thompson STEAL (1 STL),[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M36.00S,2024-12-17T00:11:40.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1641709,10.82457293035479,54.16666666666667,1610612765,0,0,2024-12-17T00:11:47Z,90000,False,-21.0,49.0,1,left,MISS A. Thompson running Layup,[1641709],1610612765.0,DET,running,,,Thompson,A. Thompson,,,,,In The Paint (Non-RA),0-8 Center,,,,5.35,Missed,,,,,,,,,,,,,,,
10,PT11M34.00S,2024-12-17T00:11:42.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612748,0,0,2024-12-17T00:11:47Z,100000,False,,,0,,TEAM defensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,9.0,,,,,,,,,,,,,,
12,PT11M22.00S,2024-12-17T00:12:09.8Z,1,REGULAR,foul,personal,[],203501,,,1610612748,0,0,2024-12-17T00:12:18Z,120000,False,,,0,,T. Hardaway Jr. personal FOUL (1 PF),"[203501, 1629639]",1610612765.0,DET,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Above the Break 3,24+ Center,,,,,,,200832.0,1.0,0.0,Herro,1629639.0,,,,,,,,,
14,PT11M13.00S,2024-12-17T00:12:35.0Z,1,REGULAR,3pt,Jump Shot,[],1628389,70.08869908015768,33.33333333333334,1610612748,0,3,2024-12-17T00:12:41Z,140000,False,-83.0,229.0,1,right,B. Adebayo 24' 3PT  (3 PTS) (H. Highsmith 1 AST),"[1628389, 1629312]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Left Center,,,,24.34,Made,,,,,,,3.0,H. Highsmith,1629312.0,1.0,,,,,
16,PT10M51.00S,2024-12-17T00:12:56.5Z,1,REGULAR,3pt,Jump Shot,[],1627736,28.95860709592641,25.980392156862735,1610612765,3,3,2024-12-17T00:13:01Z,160000,False,120.0,220.0,1,left,M. Beasley 25' 3PT  (3 PTS) (C. Cunningham 1 AST),"[1627736, 1630595]",1610612765.0,DET,,,,Beasley,M. Beasley,,,,,Above the Break 3,24+ Right Center,,,,25.04,Made,,,,,,,3.0,C. Cunningham,1630595.0,1.0,,,,,
18,PT10M39.00S,2024-12-17T00:13:08.6Z,1,REGULAR,3pt,Jump Shot,[],1629639,67.9862023653088,39.70588235294118,1610612748,3,3,2024-12-17T00:13:13Z,180000,False,-51.0,248.0,1,right,MISS T. Herro 25' pullup 3PT,[1629639],1610612748.0,MIA,pullup,,,Herro,T. Herro,,,,,Above the Break 3,24+ Center,,,,25.37,Missed,,,,,,,,,,,,,,,
