actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-01-07T00:11:53.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-07T00:11:53Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2025-01-07T00:11:56.3Z,1,REGULAR,jumpball,recovered,[],1627736,,,1610612765,0,0,2025-01-07T00:11:56Z,40000,False,,,0,,Jump Ball J. Duren vs. D. Ayton: Tip to M. Beasley,"[1627736, 1631105, 1629028]",1610612765.0,DET,startperiod,M. Beasley,1627736.0,Beasley,M. Beasley,Duren,1631105.0,Ayton,1629028.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2025-01-07T00:12:07.6Z,1,REGULAR,3pt,Jump Shot,[],203501,69.69448094612352,29.90196078431373,1610612765,3,0,2025-01-07T00:12:47Z,70000,False,-100.0,232.0,1,right,T. Hardaway Jr. 25' 3PT  (3 PTS) (C. Cunningham 1 AST),"[203501, 1630595]",1610612765.0,DET,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Above the Break 3,24+ Left Center,25.32,Made,3.0,C. Cunningham,1630595.0,1.0,,,,,,,,,,,,,,
9,PT11M27.00S,2025-01-07T00:12:28.4Z,1,REGULAR,3pt,Jump Shot,[],1641739,21.59986859395532,94.11764705882354,1610612757,3,0,2025-01-07T00:13:23Z,90000,False,-221.0,151.0,1,left,MISS T. Camara 26' 3PT,[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,Above the Break 3,24+ Left Center,26.7,Missed,,,,,,,,,,,,,,,,,,
10,PT11M25.00S,2025-01-07T00:12:30.4Z,1,REGULAR,rebound,defensive,[],1627736,,,1610612765,3,0,2025-01-07T00:13:23Z,100000,False,,,0,,M. Beasley REBOUND (Off:0 Def:1),[1627736],1610612765.0,DET,,,,Beasley,M. Beasley,,,,,Above the Break 3,24+ Left Center,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M20.00S,2025-01-07T00:12:35.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627736,67.40924770039422,67.37898284313725,1610612765,3,0,2025-01-07T00:13:52Z,110000,False,87.0,254.0,1,right,MISS M. Beasley 26' running pullup 3PT,[1627736],1610612765.0,DET,running pullup,,,Beasley,M. Beasley,,,,,Above the Break 3,24+ Right Center,26.84,Missed,,,,,,,,,,,,,,,,,,
12,PT11M18.00S,2025-01-07T00:12:37.4Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612757,3,0,2025-01-07T00:13:52Z,120000,False,,,0,,D. Ayton REBOUND (Off:0 Def:1),[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,Above the Break 3,24+ Right Center,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
13,PT11M10.00S,2025-01-07T00:12:43.7Z,1,REGULAR,2pt,Jump Shot,[],1629028,25.673455978975028,42.64705882352941,1610612757,3,0,2025-01-07T00:14:09Z,130000,False,37.0,189.0,1,left,MISS D. Ayton 19' Jump Shot,[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,Mid-Range,16-24 Center,19.24,Missed,,,,,,,,,,,,,,,,,,
14,PT11M08.00S,2025-01-07T00:12:45.7Z,1,REGULAR,rebound,defensive,[],1631105,,,1610612765,3,0,2025-01-07T00:14:09Z,140000,False,,,0,,J. Duren REBOUND (Off:0 Def:1),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Mid-Range,16-24 Center,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,
15,PT10M55.00S,2025-01-07T00:13:00.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1631105,88.83048620236531,57.59037990196079,1610612765,3,0,2025-01-07T00:14:50Z,150000,False,38.0,52.0,1,right,MISS J. Duren 6' driving Hook,[1631105],1610612765.0,DET,driving,,,Duren,J. Duren,,,,,In The Paint (Non-RA),0-8 Center,6.48,Missed,,,,,,,,,,,,,,,,,,
16,PT10M53.00S,2025-01-07T00:13:02.3Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612757,3,0,2025-01-07T00:14:50Z,160000,False,,,0,,D. Ayton REBOUND (Off:0 Def:2),[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,15.0,2.0,2.0,0.0,,,,,,,,,,
17,PT10M38.00S,2025-01-07T00:13:15.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641739,7.88436268068331,42.86917892156863,1610612757,3,2,2025-01-07T00:15:17Z,170000,False,36.0,22.0,1,left,T. Camara driving Layup (2 PTS) (D. Avdija 1 AST),"[1641739, 1630166]",1610612757.0,POR,driving,,,Camara,T. Camara,,,,,Restricted Area,0-8 Center,4.17,Made,2.0,D. Avdija,1630166.0,1.0,,,,,,,,,,,,,,
19,PT10M19.00S,2025-01-07T00:13:34.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630595,90.53876478318003,59.5703125,1610612765,5,2,2025-01-07T00:15:37Z,190000,False,48.0,36.0,1,right,C. Cunningham 6' driving Layup (2 PTS),[1630595],1610612765.0,DET,driving,,,Cunningham,C. Cunningham,,,,,In The Paint (Non-RA),0-8 Center,6.02,Made,2.0,,,,,,,,,,,,,,,,,
20,PT10M07.00S,2025-01-07T00:13:46.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630166,13.666228646517737,44.48529411764706,1610612757,5,4,2025-01-07T00:15:54Z,200000,False,28.0,76.0,1,left,D. Avdija 8' driving Layup (2 PTS) (A. Simons 1 AST),"[1630166, 1629014]",1610612757.0,POR,driving,,,Avdija,D. Avdija,,,,,In The Paint (Non-RA),8-16 Center,8.09,Made,2.0,A. Simons,1629014.0,1.0,,,,,,,,,,,,,,
22,PT09M56.00S,2025-01-07T00:13:58.4Z,1,REGULAR,turnover,bad pass,[],1631105,,,1610612765,5,4,2025-01-07T00:16:18Z,220000,False,,,0,,J. Duren bad pass TURNOVER (1 TO),"[1631105, 1641739]",1610612765.0,DET,,,,Duren,J. Duren,,,,,Mid-Range,16-24 Center,,,,,,,,,,,1.0,Camara,1641739.0,,,,,,,
23,PT09M56.00S,2025-01-07T00:13:58.4Z,1,REGULAR,steal,,[],1641739,,,1610612757,5,4,2025-01-07T00:14:00Z,230000,False,,,0,,T. Camara STEAL (1 STL),[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
24,PT09M47.00S,2025-01-07T00:14:07.4Z,1,REGULAR,turnover,bad pass,[],1641739,,,1610612757,5,4,2025-01-07T00:16:32Z,240000,False,,,0,,T. Camara bad pass TURNOVER (1 TO),"[1641739, 1627736]",1610612757.0,POR,,,,Camara,T. Camara,,,,,Mid-Range,8-16 Left,,,,,,,,,,,1.0,Beasley,1627736.0,,,,,,,
25,PT09M47.00S,2025-01-07T00:14:07.4Z,1,REGULAR,steal,,[],1627736,,,1610612765,5,4,2025-01-07T00:14:09Z,250000,False,,,0,,M. Beasley STEAL (1 STL),[1627736],1610612765.0,DET,,,,Beasley,M. Beasley,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
26,PT09M40.00S,2025-01-07T00:14:14.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",202699,93.29829172141919,58.75842524509804,1610612765,7,4,2025-01-07T00:16:50Z,260000,False,44.0,10.0,1,right,T. Harris running Layup (2 PTS) (M. Beasley 1 AST),"[202699, 1627736]",1610612765.0,DET,running,,,Harris,T. Harris,,,,,In The Paint (Non-RA),0-8 Center,4.5,Made,2.0,M. Beasley,1627736.0,1.0,,,,,,,,,,,,,,
28,PT09M25.00S,2025-01-07T00:14:29.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629028,18.84034165571616,46.32352941176471,1610612757,7,6,2025-01-07T00:17:24Z,280000,False,18.0,125.0,1,left,D. Ayton 12' pullup Jump Shot (2 PTS) (A. Simons 2 AST),"[1629028, 1629014]",1610612757.0,POR,pullup,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),8-16 Center,12.6,Made,2.0,A. Simons,1629014.0,2.0,,,,,,,,,,,,,,
30,PT09M07.00S,2025-01-07T00:14:48.2Z,1,REGULAR,3pt,Jump Shot,[],1627736,78.63009198423127,96.07843137254902,1610612765,7,6,2025-01-07T00:17:41Z,300000,False,230.0,148.0,1,right,MISS M. Beasley 27' 3PT,[1627736],1610612765.0,DET,,,,Beasley,M. Beasley,,,,,Above the Break 3,24+ Right Center,27.41,Missed,,,,,,,,,,,,,,,,,,
