actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-10-26T23:10:47.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-10-26T23:10:47Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-10-26T23:10:51.7Z,1,REGULAR,jumpball,recovered,[],201950,,,1610612738,0,0,2024-10-26T23:10:51Z,40000,False,,,0,,Jump Ball A. Horford vs. J. Duren: Tip to J. Holiday,"[201950, 201143, 1631105]",1610612738.0,BOS,startperiod,J. Holiday,201950.0,Holiday,J. Holiday,Horford,201143.0,Duren,1631105.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2024-10-26T23:10:58.3Z,1,REGULAR,3pt,Jump Shot,[],201950,90.19382391590013,1.9607843137254974,1610612738,0,0,2024-10-26T23:11:19Z,70000,False,-240.0,40.0,1,right,MISS J. Holiday 24' pullup 3PT,[201950],1610612738.0,BOS,pullup,,,Holiday,J. Holiday,,,,,Left Corner 3,24+ Left,24.35,Missed,,,,,,,,,,,,,,,,,,
8,PT11M46.00S,2024-10-26T23:11:00.3Z,1,REGULAR,rebound,defensive,[],1631105,,,1610612765,0,0,2024-10-26T23:11:03Z,80000,False,,,0,,J. Duren REBOUND (Off:0 Def:1),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Left Corner 3,24+ Left,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M33.00S,2024-10-26T23:11:13.4Z,1,REGULAR,3pt,Jump Shot,[],202699,9.904730617608408,3.67647058823529,1610612765,0,0,2024-10-26T23:11:17Z,90000,False,232.0,41.0,1,left,MISS T. Harris 3PT,[202699],1610612765.0,DET,,,,Harris,T. Harris,,,,,Right Corner 3,24+ Right,23.51,Missed,,,,,,,,,,,,,,,,,,
10,PT11M31.00S,2024-10-26T23:11:15.4Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,0,0,2024-10-26T23:16:09Z,100000,False,,,0,,D. White REBOUND (Off:0 Def:1),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Right Corner 3,24+ Right,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M19.00S,2024-10-26T23:11:28.0Z,1,REGULAR,3pt,Jump Shot,[],1627759,64.96386333771353,35.294117647058826,1610612738,0,3,2024-10-26T23:11:33Z,110000,False,-74.0,277.0,1,right,J. Brown 28' 3PT pullup (3 PTS),[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,Above the Break 3,24+ Center,28.64,Made,,,,,3.0,,,,,,,,,,,,,
12,PT10M57.00S,2024-10-26T23:11:50.1Z,1,REGULAR,3pt,Jump Shot,[],202699,29.221419185282528,20.588235294117652,1610612765,0,3,2024-10-26T23:11:54Z,120000,False,147.0,222.0,1,left,MISS T. Harris 26' 3PT,[202699],1610612765.0,DET,,,,Harris,T. Harris,,,,,Above the Break 3,24+ Right Center,26.65,Missed,,,,,,,,,,,,,,,,,,
13,PT10M55.00S,2024-10-26T23:11:52.1Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,0,3,2024-10-26T23:11:54Z,130000,False,,,0,,D. White REBOUND (Off:0 Def:2),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Right Center,,,12.0,2.0,2.0,0.0,,,,,,,,,,,,,,
14,PT10M50.00S,2024-10-26T23:11:57.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627759,70.3515111695138,80.88235294117646,1610612738,0,3,2024-10-26T23:12:37Z,140000,False,154.0,226.0,1,right,MISS J. Brown 27' running pullup 3PT,[1627759],1610612738.0,BOS,running pullup,,,Brown,J. Brown,,,,,Above the Break 3,24+ Right Center,27.39,Missed,,,,,,,,,,,,,,,,,,
