actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,pointsTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-03-15T23:12:01.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-15T23:12:01Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2025-03-15T23:12:06.4Z,1,REGULAR,jumpball,recovered,[],202699,,,1610612765,0,0,2025-03-15T23:12:06Z,40000,False,,,0,,Jump Ball J. Duren vs. I. Hartenstein: Tip to T. Harris,"[202699, 1631105, 1628392]",1610612765.0,DET,startperiod,T. Harris,202699.0,Harris,T. Harris,Duren,1631105.0,Hartenstein,1628392.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2025-03-15T23:12:18.2Z,1,REGULAR,turnover,bad pass,[],1630595,,,1610612765,0,0,2025-03-15T23:12:22Z,70000,False,,,0,,C. Cunningham bad pass TURNOVER (1 TO),"[1630595, 1628392]",1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,In The Paint (Non-RA),8-16 Center,1.0,Hartenstein,1628392.0,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2025-03-15T23:12:18.2Z,1,REGULAR,steal,,[],1628392,,,1610612760,0,0,2025-03-15T23:51:02Z,80000,False,,,0,,I. Hartenstein STEAL (1 STL),[1628392],1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M32.00S,2025-03-15T23:12:28.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629652,87.46714848883047,3.6764705882352944,1610612760,0,0,2025-03-15T23:12:35Z,90000,False,-232.0,65.0,1,right,MISS L. Dort 24' 3PT,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Left Corner 3,24+ Left,,,,24.06,Missed,,,,,,,,,,,,,,,
10,PT11M30.00S,2025-03-15T23:12:34.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612760,0,0,2025-03-15T23:12:34Z,100000,False,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,Left Corner 3,24+ Left,,,,,,9.0,,,,,,,,,,,,,,
12,PT11M18.00S,2025-03-15T23:12:57.4Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1628983,67.88764783180025,51.470588235294116,1610612760,0,3,2025-03-15T23:13:19Z,120000,False,7.0,249.0,1,right,S. Gilgeous-Alexander 24' 3PT step back (3 PTS),[1628983],1610612760.0,OKC,step back,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Above the Break 3,24+ Center,,,,24.95,Made,,3.0,,,,,,,,,,,,,
13,PT11M08.00S,2025-03-15T23:13:08.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1641709,11.12023653088042,45.83333333333333,1610612765,0,3,2025-03-16T00:14:06Z,130000,False,21.0,52.0,1,left,MISS A. Thompson cutting DUNK,[1641709],1610612765.0,DET,cutting,,,Thompson,A. Thompson,,,,,In The Paint (Non-RA),0-8 Center,,,,5.6,Missed,,,,,,,,,,,,,,,
15,PT11M06.00S,2025-03-15T23:13:10.2Z,1,REGULAR,rebound,defensive,[],1629652,,,1610612760,0,3,2025-03-15T23:19:52Z,150000,False,,,0,,L. Dort REBOUND (Off:0 Def:1),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,In The Paint (Non-RA),0-8 Center,,,,,,13.0,,1.0,1.0,0.0,,,,,,,,,,
50,PT11M05.00S,2025-03-15T23:13:14.0Z,1,REGULAR,turnover,bad pass,[],1629652,,,1610612760,0,3,2025-03-15T23:20:20Z,155000,False,,,0,,L. Dort bad pass TURNOVER (1 TO),"[1629652, 203501]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Left Center,1.0,Hardaway Jr.,203501.0,,,,,,,,,,,,,,,,,
