actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-12-20T00:10:47.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-20T00:10:47Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-12-20T00:10:52.3Z,1,REGULAR,jumpball,recovered,[],1641709,,,1610612765,0,0,2024-12-20T00:10:52Z,40000,False,,,0,,Jump Ball J. Duren vs. W. Kessler: Tip to A. Thompson,"[1641709, 1631105, 1631117]",1610612765.0,DET,startperiod,A. Thompson,1641709.0,Thompson,A. Thompson,Duren,1631105.0,Kessler,1631117.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2024-12-20T00:11:04.7Z,1,REGULAR,3pt,Jump Shot,[],203501,14.931011826544022,4.411764705882353,1610612765,3,0,2024-12-20T00:11:26Z,70000,False,228.0,88.0,1,left,T. Hardaway Jr. 24' 3PT  (3 PTS) (T. Harris 1 AST),"[203501, 202699]",1610612765.0,DET,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Right Corner 3,24+ Right,24.43,Made,3.0,T. Harris,202699.0,1.0,,,,,,,,,,,,,,
9,PT11M21.00S,2024-12-20T00:11:25.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628381,88.38699080157687,37.99019607843137,1610612762,3,2,2024-12-20T00:11:47Z,90000,False,-60.0,57.0,1,right,J. Collins 8' turnaround Jump Shot (2 PTS),[1628381],1610612762.0,UTA,turnaround,,,Collins,J. Collins,,,,,In The Paint (Non-RA),8-16 Left,8.26,Made,2.0,,,,,,,,,,,,,,,,,
10,PT11M12.00S,2024-12-20T00:11:36.3Z,1,REGULAR,2pt,Jump Shot,[],1641709,12.171484888304862,32.84313725490196,1610612765,3,2,2024-12-20T00:12:17Z,100000,False,86.0,62.0,1,left,MISS A. Thompson 10' driving floating Shot,[1641709],1610612765.0,DET,driving floating,,,Thompson,A. Thompson,,,,,Mid-Range,8-16 Right,10.58,Missed,,,,,,,,,,,,,,,,,,
11,PT11M09.00S,2024-12-20T00:11:39.3Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612762,3,2,2024-12-20T00:12:17Z,110000,False,,,0,,J. Collins REBOUND (Off:0 Def:1),[1628381],1610612762.0,UTA,,,,Collins,J. Collins,,,,,Mid-Range,8-16 Right,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,
12,PT10M53.00S,2024-12-20T00:11:53.4Z,1,REGULAR,turnover,bad pass,[],1629012,,,1610612762,3,2,2024-12-20T00:11:59Z,120000,False,,,0,,C. Sexton bad pass TURNOVER (1 TO),"[1629012, 1631105]",1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,1.0,Duren,1631105.0,,,,,,,
13,PT10M53.00S,2024-12-20T00:11:53.4Z,1,REGULAR,steal,,[],1631105,,,1610612765,3,2,2024-12-20T00:11:55Z,130000,False,,,0,,J. Duren STEAL (1 STL),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
14,PT10M39.00S,2024-12-20T00:12:08.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1630595,6.915243101182654,42.8921568627451,1610612765,3,2,2024-12-20T00:13:54Z,140000,False,36.0,13.0,1,left,MISS C. Cunningham driving DUNK - blocked,"[1630595, 1628374]",1610612765.0,DET,driving,,,Cunningham,C. Cunningham,,,,,Restricted Area,0-8 Center,3.76,Missed,,,,,,,,,,,,Markkanen,1628374.0,,,,,
15,PT10M39.00S,2024-12-20T00:12:08.8Z,1,REGULAR,block,,[],1628374,,,1610612765,3,2,2024-12-20T00:12:11Z,150000,False,,,0,,L. Markkanen BLOCK (1 BLK),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
16,PT10M38.00S,2024-12-20T00:12:09.8Z,1,REGULAR,rebound,defensive,[],1631117,,,1610612762,3,2,2024-12-20T00:13:54Z,160000,False,,,0,,W. Kessler REBOUND (Off:0 Def:1),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Restricted Area,0-8 Center,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,
17,PT10M25.00S,2024-12-20T00:12:22.1Z,1,REGULAR,foul,personal,['2freethrow'],1631105,,,1610612762,3,2,2024-12-20T00:14:27Z,170000,False,,,0,,J. Duren shooting personal FOUL (1 PF) (Markkanen 2 FT),"[1631105, 1628374]",1610612765.0,DET,shooting,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,201638.0,1.0,0.0,Markkanen,1628374.0
19,PT10M25.00S,2024-12-20T00:12:52.2Z,1,REGULAR,freethrow,1 of 2,[],1628374,,,1610612762,3,3,2024-12-20T00:14:31Z,190000,False,,,0,,L. Markkanen Free Throw 1 of 2 (1 PTS),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
20,PT10M25.00S,2024-12-20T00:12:52.2Z,1,REGULAR,freethrow,2 of 2,[],1628374,,,1610612762,3,4,2024-12-20T00:14:31Z,200000,False,,,0,,L. Markkanen Free Throw 2 of 2 (2 PTS),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
21,PT10M06.00S,2024-12-20T00:13:33.7Z,1,REGULAR,turnover,out-of-bounds,[],1631105,,,1610612765,3,4,2024-12-20T00:13:41Z,210000,False,,,0,,J. Duren lost ball out-of-bounds TURNOVER (1 TO),[1631105],1610612765.0,DET,lost ball,,,Duren,J. Duren,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1.0,,,,,201638.0,,,,
22,PT09M50.00S,2024-12-20T00:13:55.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628374,84.97043363994744,96.32352941176471,1610612762,3,7,2024-12-20T00:15:10Z,220000,False,232.0,89.0,1,right,L. Markkanen 24' 3PT  (5 PTS) (W. Kessler 1 AST),"[1628374, 1631117]",1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Right Corner 3,24+ Right,24.8,Made,5.0,W. Kessler,1631117.0,1.0,,,,,,,,,,,,,,
24,PT09M39.00S,2024-12-20T00:14:13.7Z,1,REGULAR,violation,kicked ball,[],1631117,,,1610612765,3,7,2024-12-20T00:14:49Z,240000,False,,,0,,W. Kessler kicked ball VIOLATION,[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,,,,,,,,,,,,,,,,,,1830.0,,,,
