actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-02-02T20:11:02.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-02-02T20:11:02Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2025-02-02T20:11:04.5Z,1,REGULAR,jumpball,recovered,[],1630245,,,1610612741,0,0,2025-02-02T20:11:04Z,40000,False,,,0,,Jump Ball N. Vučević vs. J. Duren: Tip to A. Dosunmu,"[1630245, 202696, 1631105]",1610612741.0,CHI,startperiod,A. Dosunmu,1630245.0,Dosunmu,A. Dosunmu,Vučević,202696.0,Duren,1631105.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2025-02-02T20:11:19.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629632,89.04402102496715,39.950980392156865,1610612741,0,0,2025-02-02T20:11:27Z,70000,False,-50.0,50.0,1,right,MISS C. White 7' driving Layup - blocked,"[1629632, 202699]",1610612741.0,CHI,driving,,,White,C. White,,,,,In The Paint (Non-RA),0-8 Center,7.12,Missed,Harris,202699.0,,,,,,,,,,,,,,,,
8,PT11M44.00S,2025-02-02T20:11:19.3Z,1,REGULAR,block,,[],202699,,,1610612741,0,0,2025-02-02T20:11:21Z,80000,False,,,0,,T. Harris BLOCK (1 BLK),[202699],1610612765.0,DET,,,,Harris,T. Harris,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M44.00S,2025-02-02T20:11:19.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612741,0,0,2025-02-02T20:11:27Z,90000,False,,,0,,TEAM offensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,7.0,,,,,,,,,,,,,,,
11,PT11M39.00S,2025-02-02T20:11:38.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628366,70.77858081471747,74.26470588235294,1610612741,0,3,2025-02-02T20:11:44Z,110000,False,121.0,222.0,1,right,L. Ball 25' 3PT  (3 PTS) (A. Dosunmu 1 AST),"[1628366, 1630245]",1610612741.0,CHI,,,,Ball,L. Ball,,,,,Above the Break 3,24+ Right Center,25.32,Made,,,,3.0,A. Dosunmu,1630245.0,1.0,,,,,,,,,,,
13,PT11M15.00S,2025-02-02T20:12:02.2Z,1,REGULAR,2pt,Jump Shot,[],1630595,14.536793692509855,74.50980392156863,1610612765,0,3,2025-02-02T20:12:09Z,130000,False,-123.0,84.0,1,left,MISS C. Cunningham 14' pullup Shot,[1630595],1610612765.0,DET,pullup,,,Cunningham,C. Cunningham,,,,,Mid-Range,8-16 Left,14.86,Missed,,,,,,,,,,,,,,,,,,
14,PT11M13.00S,2025-02-02T20:12:04.2Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612741,0,3,2025-02-02T20:12:09Z,140000,False,,,0,,J. Giddey REBOUND (Off:0 Def:1),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Mid-Range,8-16 Left,,,,,13.0,,,,,1.0,1.0,0.0,,,,,,,,
15,PT10M56.00S,2025-02-02T20:12:21.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202696,93.9060446780552,47.05882352941176,1610612741,0,5,2025-02-02T20:13:15Z,150000,False,-15.0,5.0,1,right,N. Vučević reverse Layup (2 PTS),[202696],1610612741.0,CHI,reverse,,,Vučević,N. Vučević,,,,,Restricted Area,0-8 Center,1.55,Made,,,,2.0,,,,,,,,,,,,,,
16,PT10M41.00S,2025-02-02T20:12:35.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203501,8.229303547963205,54.41176470588235,1610612765,2,5,2025-02-02T20:12:39Z,160000,False,-22.0,25.0,1,left,T. Hardaway Jr. driving Layup (2 PTS) (C. Cunningham 1 AST),"[203501, 1630595]",1610612765.0,DET,driving,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Restricted Area,0-8 Center,3.33,Made,,,,2.0,C. Cunningham,1630595.0,1.0,,,,,,,,,,,
18,PT10M32.00S,2025-02-02T20:12:44.9Z,1,REGULAR,3pt,Jump Shot,[],1629632,78.40013140604468,89.4607843137255,1610612741,2,8,2025-02-02T20:12:50Z,180000,False,197.0,151.0,1,right,C. White 24' 3PT  (3 PTS) (N. Vučević 1 AST),"[1629632, 202696]",1610612741.0,CHI,,,,White,C. White,,,,,Above the Break 3,24+ Right Center,24.81,Made,,,,3.0,N. Vučević,202696.0,1.0,,,,,,,,,,,
20,PT10M31.00S,2025-02-02T20:12:50.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612765,2,8,2025-02-02T20:12:50Z,200000,False,,,0,,DET Timeout,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,PT10M20.00S,2025-02-02T20:15:50.4Z,1,REGULAR,2pt,Jump Shot,[],202699,13.354139290407357,30.88235294117647,1610612765,4,8,2025-02-02T20:15:57Z,210000,False,96.0,73.0,1,left,T. Harris 12' Jump Shot (2 PTS) (C. Cunningham 2 AST),"[202699, 1630595]",1610612765.0,DET,,,,Harris,T. Harris,,,,,Mid-Range,8-16 Right,12.03,Made,,,,2.0,C. Cunningham,1630595.0,2.0,,,,,,,,,,,
23,PT10M05.00S,2025-02-02T20:16:05.3Z,1,REGULAR,2pt,Jump Shot,[],1630581,88.51839684625493,28.921568627450984,1610612741,4,8,2025-02-02T20:16:46Z,230000,False,-105.0,55.0,1,right,MISS J. Giddey 11' driving floating Shot,[1630581],1610612741.0,CHI,driving floating,,,Giddey,J. Giddey,,,,,Mid-Range,8-16 Left,11.91,Missed,,,,,,,,,,,,,,,,,,
24,PT10M04.00S,2025-02-02T20:16:06.3Z,1,REGULAR,rebound,defensive,[],1641709,,,1610612765,4,8,2025-02-02T20:16:12Z,240000,False,,,0,,A. Thompson REBOUND (Off:0 Def:1),[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,Mid-Range,8-16 Left,,,,,23.0,,,,,1.0,1.0,0.0,,,,,,,,
25,PT09M58.00S,2025-02-02T20:16:13.1Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",202699,7.178055190538765,51.470588235294116,1610612765,6,8,2025-02-02T20:19:06Z,250000,False,-7.0,15.0,1,left,T. Harris running DUNK (4 PTS) (A. Thompson 1 AST),"[202699, 1641709]",1610612765.0,DET,running,,,Harris,T. Harris,,,,,Restricted Area,0-8 Center,1.67,Made,,,,4.0,A. Thompson,1641709.0,1.0,,,,,,,,,,,
27,PT09M46.00S,2025-02-02T20:16:23.8Z,1,REGULAR,3pt,Jump Shot,[],1630581,93.64323258869908,95.34313725490196,1610612741,6,8,2025-02-02T20:16:28Z,270000,False,227.0,7.0,1,right,MISS J. Giddey 3PT,[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Right Corner 3,24+ Right,22.68,Missed,,,,,,,,,,,,,,,,,,
28,PT09M45.00S,2025-02-02T20:16:24.8Z,1,REGULAR,rebound,defensive,[],1631105,,,1610612765,6,8,2025-02-02T20:16:28Z,280000,False,,,0,,J. Duren REBOUND (Off:0 Def:1),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Right Corner 3,24+ Right,,,,,27.0,,,,,1.0,1.0,0.0,,,,,,,,
30,PT09M33.00S,2025-02-02T20:16:52.3Z,1,REGULAR,3pt,Jump Shot,[],203501,28.728646517739815,75.49019607843137,1610612765,6,8,2025-02-02T20:16:56Z,300000,False,-127.0,218.0,1,left,MISS T. Hardaway Jr. 25' 3PT,[203501],1610612765.0,DET,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Above the Break 3,24+ Left Center,25.21,Missed,,,,,,,,,,,,,,,,,,
31,PT09M30.00S,2025-02-02T20:16:55.3Z,1,REGULAR,rebound,defensive,[],1630245,,,1610612741,6,8,2025-02-02T20:16:56Z,310000,False,,,0,,A. Dosunmu REBOUND (Off:0 Def:1),[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,Above the Break 3,24+ Left Center,,,,,30.0,,,,,1.0,1.0,0.0,,,,,,,,
32,PT09M07.00S,2025-02-02T20:17:18.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629632,91.67214191852825,57.59803921568627,1610612741,6,8,2025-02-02T20:17:23Z,320000,False,38.0,26.0,1,right,MISS C. White driving Layup,[1629632],1610612741.0,CHI,driving,,,White,C. White,,,,,In The Paint (Non-RA),0-8 Center,4.59,Missed,,,,,,,,,,,,,,,,,,
33,PT09M05.00S,2025-02-02T20:17:20.8Z,1,REGULAR,rebound,defensive,[],1631105,,,1610612765,6,8,2025-02-02T20:17:23Z,330000,False,,,0,,J. Duren REBOUND (Off:0 Def:2),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,In The Paint (Non-RA),0-8 Center,,,,,32.0,,,,,2.0,2.0,0.0,,,,,,,,
34,PT08M58.00S,2025-02-02T20:17:26.8Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630595,8.754927726675426,53.18627450980392,1610612765,6,8,2025-02-02T20:21:48Z,340000,False,-16.0,30.0,1,left,MISS C. Cunningham running Layup,[1630595],1610612765.0,DET,running,,,Cunningham,C. Cunningham,,,,,Restricted Area,0-8 Center,3.38,Missed,,,,,,,,,,,,,,,,,,
35,PT08M54.00S,2025-02-02T20:17:30.8Z,1,REGULAR,rebound,offensive,[],1641709,,,1610612765,6,8,2025-02-02T20:21:48Z,350000,False,,,0,,A. Thompson REBOUND (Off:1 Def:1),[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,,,,,34.0,,,,,2.0,1.0,1.0,,,,,,,,
36,PT08M54.00S,2025-02-02T20:17:30.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1641709,5.590000152587891,50.0,1610612765,6,8,2025-02-02T20:17:30Z,360000,False,0.0,0.0,1,left,MISS A. Thompson tip Layup,[1641709],1610612765.0,DET,tip,,,Thompson,A. Thompson,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,,
37,PT08M53.00S,2025-02-02T20:17:31.0Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612741,6,8,2025-02-02T20:17:31Z,370000,False,,,0,,J. Giddey REBOUND (Off:0 Def:2),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Mid-Range,8-16 Left,,,,,36.0,,,,,2.0,2.0,0.0,,,,,,,,
38,PT08M50.00S,2025-02-02T20:17:34.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630245,84.1819973718791,94.85294117647058,1610612741,6,11,2025-02-02T20:17:47Z,380000,False,224.0,96.0,1,right,A. Dosunmu 24' 3PT running (3 PTS) (L. Ball 1 AST),"[1630245, 1628366]",1610612741.0,CHI,running,,,Dosunmu,A. Dosunmu,,,,,Above the Break 3,24+ Right Center,24.41,Made,,,,3.0,L. Ball,1628366.0,1.0,,,,,,,,,,,
40,PT08M35.00S,2025-02-02T20:17:49.2Z,1,REGULAR,3pt,Jump Shot,[],203501,33.459264126149804,49.01960784313725,1610612765,6,11,2025-02-02T20:17:55Z,400000,False,5.0,262.0,1,left,MISS T. Hardaway Jr. 26' 3PT,[203501],1610612765.0,DET,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Above the Break 3,24+ Center,26.2,Missed,,,,,,,,,,,,,,,,,,
41,PT08M33.00S,2025-02-02T20:17:51.2Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,6,11,2025-02-02T20:17:55Z,410000,False,,,0,,N. Vučević REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,Above the Break 3,24+ Center,,,,,40.0,,,,,1.0,1.0,0.0,,,,,,,,
42,PT08M29.00S,2025-02-02T20:17:56.5Z,1,REGULAR,turnover,lost ball,[],1630245,,,1610612741,6,11,2025-02-02T20:18:01Z,420000,False,,,0,,A. Dosunmu lost ball TURNOVER (1 TO),"[1630245, 1641709]",1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,1.0,Thompson,1641709.0,,,,,
43,PT08M29.00S,2025-02-02T20:17:56.5Z,1,REGULAR,steal,,[],1641709,,,1610612765,6,11,2025-02-02T20:32:28Z,430000,False,,,0,,A. Thompson STEAL (1 STL),[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
44,PT08M29.00S,2025-02-02T20:18:05.5Z,1,REGULAR,foul,personal,['1freethrow'],1630581,,,1610612765,6,11,2025-02-02T20:55:56Z,440000,False,,,0,,J. Giddey transition take personal FOUL (1 PF) (Harris 1 FT),"[1630581, 202699]",1610612741.0,CHI,transition take,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,1179.0,1.0,0.0,Harris,202699.0
46,PT08M29.00S,2025-02-02T20:18:40.7Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],1630595,,,1610612765,6,11,2025-02-02T20:18:40Z,460000,False,,,0,,MISS C. Cunningham transition take Free Throw 1 of 1,[1630595],1610612765.0,DET,transition take,,,Cunningham,C. Cunningham,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
