actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-11-10T20:10:45.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-10T20:10:45Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-11-10T20:10:49.8Z,1,REGULAR,jumpball,recovered,[],1630595,,,1610612765,0,0,2024-11-10T20:10:49Z,40000,False,,,0,,Jump Ball I. Stewart vs. A. Sengun: Tip to C. Cunningham,"[1630595, 1630191, 1630578]",1610612765.0,DET,startperiod,C. Cunningham,1630595.0,Cunningham,C. Cunningham,Stewart,1630191.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2024-11-10T20:11:04.2Z,1,REGULAR,2pt,Jump Shot,[],203501,11.383048620236531,31.372549019607842,1610612765,0,0,2024-11-10T20:11:26Z,70000,False,93.0,55.0,1,left,MISS T. Hardaway Jr. 10' driving floating Shot,[203501],1610612765.0,DET,driving floating,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Mid-Range,8-16 Right,10.79,Missed,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2024-11-10T20:11:06.2Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,0,0,2024-11-10T20:11:10Z,80000,False,,,0,,J. Green REBOUND (Off:0 Def:1),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Mid-Range,8-16 Right,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M34.00S,2024-11-10T20:11:10.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628415,95.87713534822602,96.07843137254902,1610612745,0,0,2024-11-10T20:11:18Z,90000,False,230.0,-14.0,1,right,MISS D. Brooks running 3PT,[1628415],1610612745.0,HOU,running,,,Brooks,D. Brooks,,,,,Right Corner 3,24+ Right,23.08,Missed,,,,,,,,,,,,,,,,,,
10,PT11M31.00S,2024-11-10T20:11:13.7Z,1,REGULAR,rebound,offensive,[],1630578,,,1610612745,0,0,2024-11-10T20:11:13Z,100000,False,,,0,,A. Sengun REBOUND (Off:1 Def:0),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Right Corner 3,24+ Right,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,
11,PT11M29.00S,2024-11-10T20:11:16.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627832,81.2910643889619,3.9215686274509802,1610612745,0,0,2024-11-10T20:11:21Z,110000,False,-230.0,123.0,1,right,MISS F. VanVleet 26' 3PT,[1627832],1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Left Center,26.14,Missed,,,,,,,,,,,,,,,,,,
12,PT11M26.00S,2024-11-10T20:11:19.1Z,1,REGULAR,rebound,offensive,[],1631095,,,1610612745,0,0,2024-11-10T20:11:19Z,120000,False,,,0,,J. Smith Jr. REBOUND (Off:1 Def:0),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Left Center,,,11.0,1.0,0.0,1.0,,,,,,,,,,,,,,
13,PT11M25.00S,2024-11-10T20:11:20.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1631095,79.97700394218134,35.049019607843135,1610612745,0,0,2024-11-10T20:12:11Z,130000,False,-75.0,136.0,1,right,MISS J. Smith Jr. 15' fadeaway Shot,[1631095],1610612745.0,HOU,fadeaway,,,Smith Jr.,J. Smith Jr.,,,,,In The Paint (Non-RA),8-16 Center,15.5,Missed,,,,,,,,,,,,,,,,,,
14,PT11M22.00S,2024-11-10T20:11:23.4Z,1,REGULAR,rebound,defensive,[],1630595,,,1610612765,0,0,2024-11-10T20:11:24Z,140000,False,,,0,,C. Cunningham REBOUND (Off:0 Def:1),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,In The Paint (Non-RA),8-16 Center,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
