actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-01-18T01:10:23.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-18T01:10:23Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2025-01-18T01:10:27.9Z,1,REGULAR,jumpball,recovered,[],1641718,,,1610612762,0,0,2025-01-18T01:10:27Z,40000,False,,,0,,Jump Ball D. Eubanks vs. D. Theis: Tip to K. George,"[1641718, 1629234, 1628464]",1610612762.0,UTA,startperiod,K. George,1641718.0,George,K. George,Eubanks,1629234.0,Theis,1628464.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2025-01-18T01:10:35.9Z,1,REGULAR,turnover,bad pass,[],1629234,,,1610612762,0,0,2025-01-18T01:11:10Z,70000,False,,,0,,D. Eubanks bad pass TURNOVER (1 TO),"[1629234, 1630530]",1610612762.0,UTA,,,,Eubanks,D. Eubanks,,,,,Mid-Range,16-24 Right Center,1.0,Murphy III,1630530.0,,,,,,,,,,,,,,,,,
8,PT11M48.00S,2025-01-18T01:10:35.9Z,1,REGULAR,steal,,[],1630530,,,1610612740,0,0,2025-01-18T01:10:37Z,80000,False,,,0,,T. Murphy III STEAL (1 STL),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
9,PT11M30.00S,2025-01-18T01:10:54.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629627,9.937582128777924,42.8921568627451,1610612740,0,0,2025-01-18T01:11:35Z,90000,False,36.0,41.0,1,left,MISS Z. Williamson driving Layup,[1629627],1610612740.0,NOP,driving,,,Williamson,Z. Williamson,,,,,In The Paint (Non-RA),0-8 Center,,,,5.42,Missed,,,,,,,,,,,,,,,
10,PT11M28.00S,2025-01-18T01:10:56.7Z,1,REGULAR,rebound,defensive,[],1629234,,,1610612762,0,0,2025-01-18T01:11:35Z,100000,False,,,0,,D. Eubanks REBOUND (Off:0 Def:1),[1629234],1610612762.0,UTA,,,,Eubanks,D. Eubanks,,,,,In The Paint (Non-RA),0-8 Center,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M19.00S,2025-01-18T01:11:05.3Z,1,REGULAR,3pt,Jump Shot,[],1629004,69.72733245729303,81.61764705882352,1610612762,0,3,2025-01-18T01:11:51Z,110000,False,158.0,232.0,1,right,S. Mykhailiuk 28' 3PT  (3 PTS) (C. Sexton 1 AST),"[1629004, 1629012]",1610612762.0,UTA,,,,Mykhailiuk,S. Mykhailiuk,,,,,Above the Break 3,24+ Right Center,,,,28.08,Made,,,,,3.0,C. Sexton,1629012.0,1.0,,,,,,,
13,PT11M02.00S,2025-01-18T01:11:22.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630530,13.009198423127472,55.553002450980394,1610612740,0,3,2025-01-18T01:12:11Z,130000,False,-28.0,70.0,1,left,MISS T. Murphy III 7' driving floating Shot,[1630530],1610612740.0,NOP,driving floating,,,Murphy III,T. Murphy III,,,,,In The Paint (Non-RA),0-8 Center,,,,7.51,Missed,,,,,,,,,,,,,,,
14,PT10M59.00S,2025-01-18T01:11:25.1Z,1,REGULAR,rebound,defensive,[],1629012,,,1610612762,0,3,2025-01-18T01:12:11Z,140000,False,,,0,,C. Sexton REBOUND (Off:0 Def:1),[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,
15,PT10M56.00S,2025-01-18T01:11:29.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629004,64.56964520367937,28.898590686274503,1610612762,0,3,2025-01-18T01:12:37Z,150000,False,-106.0,281.0,1,right,MISS S. Mykhailiuk 29' running 3PT,[1629004],1610612762.0,UTA,running,,,Mykhailiuk,S. Mykhailiuk,,,,,Above the Break 3,24+ Left Center,,,,29.97,Missed,,,,,,,,,,,,,,,
16,PT10M53.00S,2025-01-18T01:11:32.0Z,1,REGULAR,rebound,defensive,[],203468,,,1610612740,0,3,2025-01-18T01:12:37Z,160000,False,,,0,,C. McCollum REBOUND (Off:0 Def:1),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Left Center,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,
17,PT10M41.00S,2025-01-18T01:11:44.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,5.781865965834427,58.455882352941174,1610612740,0,3,2025-01-18T01:13:47Z,170000,False,-42.0,2.0,1,left,MISS Z. Williamson cutting Layup,[1629627],1610612740.0,NOP,cutting,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,,,,4.23,Missed,,,,,,,,,,,,,,,
19,PT10M39.00S,2025-01-18T01:11:46.2Z,1,REGULAR,rebound,offensive,[],1629627,,,1610612740,0,3,2025-01-18T01:13:47Z,190000,False,,,0,,Z. Williamson REBOUND (Off:1 Def:0),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,,,,,,17.0,1.0,0.0,1.0,,,,,,,,,,,
20,PT10M39.00S,2025-01-18T01:11:47.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629627,8.015768725361369,50.98422181372549,1610612740,0,3,2025-01-18T01:14:24Z,200000,False,-5.0,23.0,1,left,MISS Z. Williamson putback Layup - blocked,"[1629627, 1629004]",1610612740.0,NOP,putback,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,,,,2.33,Missed,,,,,,,,,Mykhailiuk,1629004.0,,,,,
21,PT10M39.00S,2025-01-18T01:11:47.3Z,1,REGULAR,block,,[],1629004,,,1610612740,0,3,2025-01-18T01:11:54Z,210000,False,,,0,,S. Mykhailiuk BLOCK (1 BLK),[1629004],1610612762.0,UTA,,,,Mykhailiuk,S. Mykhailiuk,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
22,PT10M38.00S,2025-01-18T01:11:48.3Z,1,REGULAR,rebound,offensive,[],1629627,,,1610612740,0,3,2025-01-18T01:14:24Z,220000,False,,,0,,Z. Williamson REBOUND (Off:2 Def:0),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,,,,,,20.0,2.0,0.0,2.0,,,,,,,,,,,
23,PT10M37.00S,2025-01-18T01:11:51.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629627,7.490144546649148,55.49172794117647,1610612740,0,3,2025-01-18T01:14:45Z,230000,False,-27.0,18.0,1,left,MISS Z. Williamson putback Layup,[1629627],1610612740.0,NOP,putback,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,,,,3.28,Missed,,,,,,,,,,,,,,,
24,PT10M36.00S,2025-01-18T01:11:52.3Z,1,REGULAR,rebound,offensive,[],1629627,,,1610612740,0,3,2025-01-18T01:14:39Z,240000,False,,,0,,Z. Williamson REBOUND (Off:3 Def:0),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,,,,,,23.0,3.0,0.0,3.0,,,,,,,,,,,
26,PT10M26.00S,2025-01-18T01:12:17.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203468,11.908672798948752,3.1862745098039214,1610612740,3,3,2025-01-18T01:12:21Z,260000,False,234.0,59.0,1,left,C. McCollum 24' 3PT pullup (3 PTS) (D. Murray 1 AST),"[203468, 1627749]",1610612740.0,NOP,pullup,,,McCollum,C. McCollum,,,,,Right Corner 3,24+ Right,,,,24.15,Made,,,,,3.0,D. Murray,1627749.0,1.0,,,,,,,
28,PT10M14.00S,2025-01-18T01:12:32.4Z,1,REGULAR,turnover,out-of-bounds,[],1629004,,,1610612762,3,3,2025-01-18T01:12:39Z,280000,False,,,0,,S. Mykhailiuk step out-of-bounds TURNOVER (1 TO),[1629004],1610612762.0,UTA,step,,,Mykhailiuk,S. Mykhailiuk,,,,,Above the Break 3,24+ Left Center,1.0,,,,,,,,,,,,,,,1830.0,,,,
29,PT10M01.00S,2025-01-18T01:12:50.6Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1627749,21.419185282523003,45.3201593137255,1610612740,3,3,2025-01-18T01:15:46Z,290000,False,23.0,149.0,1,left,MISS D. Murray 15' pullup Shot,[1627749],1610612740.0,NOP,pullup,,,Murray,D. Murray,,,,,Mid-Range,8-16 Center,,,,15.06,Missed,,,,,,,,,,,,,,,
30,PT09M59.00S,2025-01-18T01:12:52.6Z,1,REGULAR,rebound,offensive,[],1628464,,,1610612740,3,3,2025-01-18T01:15:46Z,300000,False,,,0,,D. Theis REBOUND (Off:1 Def:0),[1628464],1610612740.0,NOP,,,,Theis,D. Theis,,,,,Mid-Range,8-16 Center,,,,,,29.0,1.0,0.0,1.0,,,,,,,,,,,
31,PT09M59.00S,2025-01-18T01:12:55.2Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint', 'fromturnover']",1628464,8.672798948751648,51.57015931372549,1610612740,3,3,2025-01-18T01:15:57Z,310000,False,-8.0,29.0,1,left,MISS D. Theis tip Layup,[1628464],1610612740.0,NOP,tip,,,Theis,D. Theis,,,,,Restricted Area,0-8 Center,,,,3.01,Missed,,,,,,,,,,,,,,,
32,PT09M57.00S,2025-01-18T01:12:57.2Z,1,REGULAR,rebound,offensive,[],1629627,,,1610612740,3,3,2025-01-18T01:15:57Z,320000,False,,,0,,Z. Williamson REBOUND (Off:4 Def:0),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,,,,,,31.0,4.0,0.0,4.0,,,,,,,,,,,
33,PT09M54.00S,2025-01-18T01:12:57.7Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",203468,31.52102496714849,18.11427696078431,1610612740,6,3,2025-01-18T01:16:13Z,330000,False,159.0,244.0,1,left,C. McCollum 29' 3PT  (6 PTS) (Z. Williamson 1 AST),"[203468, 1629627]",1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Right Center,,,,29.13,Made,,,,,6.0,Z. Williamson,1629627.0,1.0,,,,,,,
35,PT09M33.00S,2025-01-18T01:13:16.7Z,1,REGULAR,3pt,Jump Shot,[],1641718,69.99014454664915,70.34313725490196,1610612762,6,6,2025-01-18T01:13:21Z,350000,False,102.0,230.0,1,right,K. George 25' 3PT pullup (3 PTS) (D. Eubanks 1 AST),"[1641718, 1629234]",1610612762.0,UTA,pullup,,,George,K. George,,,,,Above the Break 3,24+ Right Center,,,,25.11,Made,,,,,3.0,D. Eubanks,1629234.0,1.0,,,,,,,
36,PT09M16.00S,2025-01-18T01:13:36.3Z,1,REGULAR,foul,personal,['2freethrow'],1642262,,,1610612740,6,6,2025-01-18T01:16:43Z,360000,False,,,0,,C. Williams shooting personal FOUL (1 PF) (Theis 2 FT),"[1642262, 1628464]",1610612762.0,UTA,shooting,,,Williams,C. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1830.0,1.0,0.0,Theis,1628464.0
39,PT09M16.00S,2025-01-18T01:14:01.8Z,1,REGULAR,freethrow,1 of 2,[],1628464,,,1610612740,7,6,2025-01-18T01:14:01Z,380000,False,,,0,,D. Theis Free Throw 1 of 2 (1 PTS),[1628464],1610612740.0,NOP,,,,Theis,D. Theis,,,,,,,,,,,Made,,,,,1.0,,,,,,,,,,
40,PT09M16.00S,2025-01-18T01:14:24.1Z,1,REGULAR,freethrow,2 of 2,[],1628464,,,1610612740,8,6,2025-01-18T01:14:24Z,390000,False,,,0,,D. Theis Free Throw 2 of 2 (2 PTS),[1628464],1610612740.0,NOP,,,,Theis,D. Theis,,,,,,,,,,,Made,,,,,2.0,,,,,,,,,,
41,PT08M57.00S,2025-01-18T01:14:51.0Z,1,REGULAR,2pt,Jump Shot,[],1641718,96.84625492772668,87.23192401960785,1610612762,8,6,2025-01-18T01:17:21Z,400000,False,186.0,-23.0,1,right,MISS K. George 18' step back Shot,[1641718],1610612762.0,UTA,step back,,,George,K. George,,,,,Mid-Range,16-24 Right,,,,18.76,Missed,,,,,,,,,,,,,,,
