actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-11-05T02:30:26.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-05T02:30:26Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2024-11-05T02:30:31.3Z,1,REGULAR,jumpball,recovered,[],1630166,,,1610612757,0,0,2024-11-05T02:30:31Z,40000,False,,,0,,Jump Ball D. Ayton vs. Y. Missi: Tip to D. Avdija,"[1630166, 1629028, 1642274]",1610612757.0,POR,startperiod,D. Avdija,1630166.0,Avdija,D. Avdija,Ayton,1629028.0,Missi,1642274.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2024-11-05T02:30:42.0Z,1,REGULAR,3pt,Jump Shot,[],1629014,17.0335085413929,93.87254901960785,1610612757,0,0,2024-11-05T02:30:50Z,70000,False,-219.0,108.0,1,left,MISS A. Simons 24' 3PT,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,Above the Break 3,24+ Left Center,24.44,Missed,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2024-11-05T02:30:49.0Z,1,REGULAR,rebound,defensive,[],1642274,,,1610612740,0,0,2024-11-05T02:30:50Z,80000,False,,,0,,Y. Missi REBOUND (Off:0 Def:1),[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M23.00S,2024-11-05T02:31:01.3Z,1,REGULAR,2pt,Jump Shot,[],1627742,78.13731931668858,52.69607843137255,1610612740,2,0,2024-11-05T02:31:11Z,90000,False,13.0,153.0,1,right,B. Ingram 15' pullup Jump Shot (2 PTS) (Y. Missi 1 AST),"[1627742, 1642274]",1610612740.0,NOP,pullup,,,Ingram,B. Ingram,,,,,Mid-Range,8-16 Center,15.36,Made,,,,,2.0,Y. Missi,1642274.0,1.0,,,,,,,,,,
11,PT11M13.00S,2024-11-05T02:31:12.2Z,1,REGULAR,3pt,Jump Shot,[],1641739,25.18068331143233,14.460784313725492,1610612757,2,0,2024-11-05T02:31:50Z,110000,False,178.0,184.0,1,left,MISS T. Camara 25' pullup 3PT,[1641739],1610612757.0,POR,pullup,,,Camara,T. Camara,,,,,Above the Break 3,24+ Right Center,25.59,Missed,,,,,,,,,,,,,,,,,,
12,PT11M07.00S,2024-11-05T02:31:18.2Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612740,2,0,2024-11-05T02:31:19Z,120000,False,,,0,,B. Ingram REBOUND (Off:0 Def:1),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Right Center,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT11M04.00S,2024-11-05T02:31:21.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630526,93.64323258869908,45.588235294117645,1610612740,4,0,2024-11-05T02:31:29Z,130000,False,-22.0,7.0,1,right,J. Robinson-Earl running Layup (2 PTS) (B. Ingram 1 AST),"[1630526, 1627742]",1610612740.0,NOP,running,,,Robinson-Earl,J. Robinson-Earl,,,,,Restricted Area,0-8 Center,2.33,Made,,,,,2.0,B. Ingram,1627742.0,1.0,,,,,,,,,,
15,PT10M46.00S,2024-11-05T02:31:39.7Z,1,REGULAR,3pt,Jump Shot,[],203924,25.312089356110377,14.460784313725492,1610612757,4,0,2024-11-05T02:31:44Z,150000,False,178.0,185.0,1,left,MISS J. Grant 25' 3PT,[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,Above the Break 3,24+ Right Center,25.68,Missed,,,,,,,,,,,,,,,,,,
16,PT10M42.00S,2024-11-05T02:31:43.7Z,1,REGULAR,rebound,defensive,[],1630527,,,1610612740,4,0,2024-11-05T02:31:44Z,160000,False,,,0,,B. Boston Jr. REBOUND (Off:0 Def:1),[1630527],1610612740.0,NOP,,,,Boston Jr.,B. Boston Jr.,,,,,Above the Break 3,24+ Right Center,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,
17,PT10M34.00S,2024-11-05T02:31:51.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630527,83.919185282523,46.81372549019608,1610612740,4,0,2024-11-05T02:31:56Z,170000,False,-16.0,99.0,1,right,MISS B. Boston Jr. 10' pullup Shot,[1630527],1610612740.0,NOP,pullup,,,Boston Jr.,B. Boston Jr.,,,,,In The Paint (Non-RA),8-16 Center,10.0,Missed,,,,,,,,,,,,,,,,,,
18,PT10M31.00S,2024-11-05T02:31:54.1Z,1,REGULAR,rebound,defensive,[],1630166,,,1610612757,4,0,2024-11-05T02:31:56Z,180000,False,,,0,,D. Avdija REBOUND (Off:0 Def:1),[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,In The Paint (Non-RA),8-16 Center,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,,
19,PT10M23.00S,2024-11-05T02:32:01.9Z,1,REGULAR,3pt,Jump Shot,[],1641739,5.469776609724048,3.1862745098039214,1610612757,4,3,2024-11-05T02:32:07Z,190000,False,234.0,-1.0,1,left,T. Camara 3PT  (3 PTS) (D. Avdija 1 AST),"[1641739, 1630166]",1610612757.0,POR,,,,Camara,T. Camara,,,,,Right Corner 3,24+ Right,23.41,Made,,,,,3.0,D. Avdija,1630166.0,1.0,,,,,,,,,,
21,PT10M05.00S,2024-11-05T02:32:19.8Z,1,REGULAR,3pt,Jump Shot,[],1627742,71.17279894875165,21.07843137254902,1610612740,4,3,2024-11-05T02:32:26Z,210000,False,-145.0,218.0,1,right,MISS B. Ingram 26' 3PT,[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Left Center,26.2,Missed,,,,,,,,,,,,,,,,,,
22,PT10M03.00S,2024-11-05T02:32:21.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612757,4,3,2024-11-05T02:32:26Z,220000,False,,,0,,TEAM defensive REBOUND,[],1610612757.0,POR,,,,,,,,,,Above the Break 3,24+ Left Center,,,21.0,,,,,,,,,,,,,,,,,
24,PT09M49.00S,2024-11-05T02:32:44.9Z,1,REGULAR,3pt,Jump Shot,[],203924,28.465834428383708,22.058823529411764,1610612757,4,3,2024-11-05T02:32:50Z,240000,False,140.0,215.0,1,left,MISS J. Grant 25' 3PT,[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,Above the Break 3,24+ Right Center,25.65,Missed,,,,,,,,,,,,,,,,,,
25,PT09M44.00S,2024-11-05T02:32:49.9Z,1,REGULAR,rebound,defensive,[],1630527,,,1610612740,4,3,2024-11-05T02:32:50Z,250000,False,,,0,,B. Boston Jr. REBOUND (Off:0 Def:2),[1630527],1610612740.0,NOP,,,,Boston Jr.,B. Boston Jr.,,,,,Above the Break 3,24+ Right Center,,,24.0,2.0,2.0,0.0,,,,,,,,,,,,,,
26,PT09M41.00S,2024-11-05T02:32:52.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627742,93.64323258869908,53.67647058823529,1610612740,6,3,2024-11-05T02:33:02Z,260000,False,18.0,7.0,1,right,B. Ingram running Layup (4 PTS) (B. Boston Jr. 1 AST),"[1627742, 1630527]",1610612740.0,NOP,running,,,Ingram,B. Ingram,,,,,Restricted Area,0-8 Center,1.98,Made,,,,,4.0,B. Boston Jr.,1630527.0,1.0,,,,,,,,,,
28,PT09M31.00S,2024-11-05T02:33:08.0Z,1,REGULAR,foul,personal,[],1630631,,,1610612757,6,3,2024-11-05T02:33:18Z,280000,False,,,0,,J. Alvarado personal FOUL (1 PF),"[1630631, 1630166]",1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,203593.0,1.0,0.0,Avdija,1630166.0,,,,,
