actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-12-08T00:10:28.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-08T00:10:28Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2024-12-08T00:10:30.5Z,1,REGULAR,jumpball,recovered,[],1628983,,,1610612760,0,0,2024-12-08T00:10:30Z,40000,False,,,0,,Jump Ball I. Hartenstein vs. Y. Missi: Tip to S. Gilgeous-Alexander,"[1628983, 1628392, 1642274]",1610612760.0,OKC,startperiod,S. Gilgeous-Alexander,1628983.0,Gilgeous-Alexander,S. Gilgeous-Alexander,Hartenstein,1628392.0,Missi,1642274.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2024-12-08T00:10:41.1Z,1,REGULAR,turnover,bad pass,[],1641717,,,1610612760,0,0,2024-12-08T00:10:45Z,70000,False,,,0,,C. Wallace bad pass TURNOVER (1 TO),"[1641717, 1627742]",1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,Mid-Range,8-16 Left,1.0,Ingram,1627742.0,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2024-12-08T00:10:41.1Z,1,REGULAR,steal,,[],1627742,,,1610612740,0,0,2024-12-08T00:10:43Z,80000,False,,,0,,B. Ingram STEAL (1 STL),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
9,PT11M38.00S,2024-12-08T00:10:46.4Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",203468,72.09264126149803,17.15686274509804,1610612740,0,0,2024-12-08T00:10:52Z,90000,False,-164.0,210.0,1,right,MISS C. McCollum 26' running 3PT,[203468],1610612740.0,NOP,running,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Left Center,,,,26.64,Missed,,,,,,,,,,,,,,,
10,PT11M36.00S,2024-12-08T00:10:48.4Z,1,REGULAR,rebound,defensive,[],1641717,,,1610612760,0,0,2024-12-08T00:10:52Z,100000,False,,,0,,C. Wallace REBOUND (Off:0 Def:1),[1641717],1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,Above the Break 3,24+ Left Center,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M28.00S,2024-12-08T00:10:57.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628983,5.863994743758213,46.81372549019608,1610612760,0,2,2024-12-08T00:11:01Z,110000,False,16.0,3.0,1,left,S. Gilgeous-Alexander driving Layup (2 PTS),[1628983],1610612760.0,OKC,driving,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,,,,1.61,Made,,,,,2.0,,,,,,,,,,
12,PT11M04.00S,2024-12-08T00:11:20.6Z,1,REGULAR,3pt,Jump Shot,[],1630529,70.90998685939553,23.284313725490197,1610612740,0,2,2024-12-08T00:11:24Z,120000,False,-134.0,221.0,1,right,MISS H. Jones 25' 3PT,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Above the Break 3,24+ Left Center,,,,25.82,Missed,,,,,,,,,,,,,,,
13,PT11M01.00S,2024-12-08T00:11:23.6Z,1,REGULAR,rebound,defensive,[],1641717,,,1610612760,0,2,2024-12-08T00:11:24Z,130000,False,,,0,,C. Wallace REBOUND (Off:0 Def:2),[1641717],1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,Above the Break 3,24+ Left Center,,,,,,12.0,2.0,2.0,0.0,,,,,,,,,,,
14,PT10M46.00S,2024-12-08T00:11:39.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628392,9.937582128777924,47.30392156862745,1610612760,0,2,2024-12-08T00:11:43Z,140000,False,13.0,41.0,1,left,MISS I. Hartenstein driving Layup,[1628392],1610612760.0,OKC,driving,,,Hartenstein,I. Hartenstein,,,,,Restricted Area,0-8 Center,,,,4.31,Missed,,,,,,,,,,,,,,,
