actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-01-16T01:10:30.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-16T01:10:30Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-01-16T01:10:40.3Z,1,REGULAR,jumpball,recovered,[],0,,,1610612742,0,0,2025-01-16T01:10:40Z,40000,False,,,0,,Jump Ball D. Gafford vs. Y. Missi: Tip to Team (DAL),"[1629655, 1642274]",1610612742.0,DAL,startperiod,Team (DAL),Gafford,1629655.0,Missi,1642274.0,,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2025-01-16T01:11:00.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629023,5.601182654402102,45.34313725490196,1610612742,0,2,2025-01-16T01:11:05Z,80000,False,23.0,0.0,1,left,P. Washington cutting Layup (2 PTS) (N. Marshall 1 AST),"[1629023, 1630230]",1610612742.0,DAL,cutting,,,,,,Restricted Area,0-8 Center,2.33,Made,2.0,Washington,P. Washington,N. Marshall,1630230.0,1.0,,,,,,,,,,,,,,
10,PT11M24.00S,2025-01-16T01:11:21.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1642274,93.64323258869908,49.50980392156863,1610612740,2,2,2025-01-16T01:11:26Z,100000,False,-2.0,7.0,1,right,Y. Missi cutting DUNK (2 PTS) (D. Murray 1 AST),"[1642274, 1627749]",1610612740.0,NOP,cutting,,,,,,Restricted Area,0-8 Center,0.77,Made,2.0,Missi,Y. Missi,D. Murray,1627749.0,1.0,,,,,,,,,,,,,,
12,PT11M12.00S,2025-01-16T01:11:42.2Z,1,REGULAR,foul,personal,['2freethrow'],1630530,,,1610612742,2,2,2025-01-16T01:11:53Z,120000,False,,,0,,T. Murphy III shooting personal FOUL (1 PF) (Washington 2 FT),"[1630530, 1629023]",1610612740.0,NOP,shooting,,,,,,In The Paint (Non-RA),0-8 Center,,,,Murphy III,T. Murphy III,,,,204058.0,1.0,0.0,Washington,1629023.0,,,,,,,,,
14,PT11M12.00S,2025-01-16T01:12:02.1Z,1,REGULAR,freethrow,1 of 2,[],1629023,,,1610612742,2,3,2025-01-16T01:12:02Z,140000,False,,,0,,P. Washington Free Throw 1 of 2 (3 PTS),[1629023],1610612742.0,DAL,,,,,,,,,,Made,3.0,Washington,P. Washington,,,,,,,,,,,,,,,,,
15,PT11M12.00S,2025-01-16T01:12:20.0Z,1,REGULAR,freethrow,2 of 2,[],1629023,,,1610612742,2,4,2025-01-16T01:12:20Z,150000,False,,,0,,P. Washington Free Throw 2 of 2 (4 PTS),[1629023],1610612742.0,DAL,,,,,,,,,,Made,4.0,Washington,P. Washington,,,,,,,,,,,,,,,,,
16,PT11M00.00S,2025-01-16T01:12:33.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642274,91.01511169513797,49.50980392156863,1610612740,2,4,2025-01-16T01:12:49Z,160000,False,-2.0,32.0,1,right,MISS Y. Missi cutting Layup,[1642274],1610612740.0,NOP,cutting,,,,,,Restricted Area,0-8 Center,3.21,Missed,,Missi,Y. Missi,,,,,,,,,,,,,,,,,
17,PT10M56.00S,2025-01-16T01:12:37.0Z,1,REGULAR,rebound,offensive,[],1642274,,,1610612740,2,4,2025-01-16T01:12:49Z,170000,False,,,0,,Y. Missi REBOUND (Off:1 Def:0),[1642274],1610612740.0,NOP,,,,,,,Restricted Area,0-8 Center,,,,Missi,Y. Missi,,,,,,,,,16.0,1.0,0.0,1.0,,,,,
18,PT10M56.00S,2025-01-16T01:12:37.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1642274,94.40999984741211,50.0,1610612740,4,4,2025-01-16T01:12:37Z,180000,False,0.0,0.0,1,right,Y. Missi tip Layup (4 PTS),[1642274],1610612740.0,NOP,tip,,,,,,Mid-Range,8-16 Left,0.0,Made,4.0,Missi,Y. Missi,,,,,,,,,,,,,,,,,
19,PT10M40.00S,2025-01-16T01:12:54.2Z,1,REGULAR,3pt,Jump Shot,[],1629023,3.892904073587385,95.34313725490196,1610612742,4,4,2025-01-16T01:13:02Z,190000,False,-227.0,-16.0,1,left,MISS P. Washington 3PT,[1629023],1610612742.0,DAL,,,,,,,Left Corner 3,24+ Left,22.73,Missed,,Washington,P. Washington,,,,,,,,,,,,,,,,,
20,PT10M36.00S,2025-01-16T01:12:58.2Z,1,REGULAR,rebound,offensive,[],203915,,,1610612742,4,4,2025-01-16T01:13:02Z,200000,False,,,0,,S. Dinwiddie REBOUND (Off:1 Def:0),[203915],1610612742.0,DAL,,,,,,,Left Corner 3,24+ Left,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,19.0,1.0,0.0,1.0,,,,,
21,PT10M36.00S,2025-01-16T01:13:02.9Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612742,4,4,2025-01-16T01:13:09Z,210000,False,,,0,,DAL shot clock Team TURNOVER,[],1610612742.0,DAL,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,204058.0,,,,,,,,,,,,,
22,PT10M27.00S,2025-01-16T01:13:21.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630530,71.17279894875165,18.38235294117647,1610612740,7,4,2025-01-16T01:13:27Z,220000,False,-158.0,218.0,1,right,T. Murphy III 26' 3PT  (3 PTS) (D. Murray 2 AST),"[1630530, 1627749]",1610612740.0,NOP,,,,,,,Above the Break 3,24+ Left Center,26.97,Made,3.0,Murphy III,T. Murphy III,D. Murray,1627749.0,2.0,,,,,,,,,,,,,,
24,PT10M15.00S,2025-01-16T01:13:32.9Z,1,REGULAR,3pt,Jump Shot,[],203915,28.07161629434954,79.16666666666666,1610612742,7,4,2025-01-16T01:13:37Z,240000,False,-146.0,211.0,1,left,MISS S. Dinwiddie 25' pullup 3PT,[203915],1610612742.0,DAL,pullup,,,,,,Above the Break 3,24+ Left Center,25.68,Missed,,Dinwiddie,S. Dinwiddie,,,,,,,,,,,,,,,,,
25,PT10M13.00S,2025-01-16T01:13:34.9Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612740,7,4,2025-01-16T01:13:37Z,250000,False,,,0,,D. Murray REBOUND (Off:0 Def:1),[1627749],1610612740.0,NOP,,,,,,,Above the Break 3,24+ Left Center,,,,Murray,D. Murray,,,,,,,,,24.0,1.0,1.0,0.0,,,,,
26,PT10M08.00S,2025-01-16T01:13:41.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627749,67.36202365308804,46.81372549019608,1610612740,10,4,2025-01-16T01:14:31Z,260000,False,-16.0,254.0,1,right,D. Murray 25' 3PT running pullup (3 PTS),[1627749],1610612740.0,NOP,running pullup,,,,,,Above the Break 3,24+ Center,25.48,Made,3.0,Murray,D. Murray,,,,,,,,,,,,,,,,,
27,PT09M56.00S,2025-01-16T01:13:52.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629655,7.178055190538765,50.245098039215684,1610612742,10,6,2025-01-16T01:13:58Z,270000,False,-1.0,15.0,1,left,D. Gafford Hook (2 PTS) (S. Dinwiddie 1 AST),"[1629655, 203915]",1610612742.0,DAL,,,,,,,Restricted Area,0-8 Center,1.5,Made,2.0,Gafford,D. Gafford,S. Dinwiddie,203915.0,1.0,,,,,,,,,,,,,,
30,PT09M42.00S,2025-01-16T01:14:20.5Z,1,REGULAR,2pt,Jump Shot,[],1627749,75.50919842312747,64.4607843137255,1610612740,10,6,2025-01-16T01:14:25Z,300000,False,72.0,178.0,1,right,MISS D. Murray 19' pullup Shot,[1627749],1610612740.0,NOP,pullup,,,,,,Mid-Range,16-24 Right Center,19.18,Missed,,Murray,D. Murray,,,,,,,,,,,,,,,,,
31,PT09M37.00S,2025-01-16T01:14:25.5Z,1,REGULAR,rebound,defensive,[],1629655,,,1610612742,10,6,2025-01-16T01:14:25Z,310000,False,,,0,,D. Gafford REBOUND (Off:0 Def:1),[1629655],1610612742.0,DAL,,,,,,,Mid-Range,16-24 Right Center,,,,Gafford,D. Gafford,,,,,,,,,30.0,1.0,1.0,0.0,,,,,
32,PT09M25.00S,2025-01-16T01:14:36.7Z,1,REGULAR,turnover,bad pass,[],202691,,,1610612742,10,6,2025-01-16T01:14:42Z,320000,False,,,0,,K. Thompson bad pass TURNOVER (1 TO),"[202691, 203468]",1610612742.0,DAL,,,,,,,Restricted Area,0-8 Center,,,,Thompson,K. Thompson,,,,,,,,,,,,,1.0,McCollum,203468.0,,
33,PT09M25.00S,2025-01-16T01:14:36.7Z,1,REGULAR,steal,,[],203468,,,1610612740,10,6,2025-01-16T01:14:40Z,330000,False,,,0,,C. McCollum STEAL (1 STL),[203468],1610612740.0,NOP,,,,,,,Restricted Area,0-8 Center,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,
34,PT09M18.00S,2025-01-16T01:14:43.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203468,93.38042049934296,53.431372549019606,1610612740,12,6,2025-01-16T01:14:49Z,340000,False,17.0,10.0,1,right,C. McCollum running Layup (2 PTS),[203468],1610612740.0,NOP,running,,,,,,Restricted Area,0-8 Center,1.97,Made,2.0,McCollum,C. McCollum,,,,,,,,,,,,,,,,,
35,PT09M01.00S,2025-01-16T01:15:00.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629655,14.799605781865965,49.01960784313725,1610612742,12,8,2025-01-16T01:15:56Z,350000,False,5.0,87.0,1,left,D. Gafford 8' floating Jump Shot (4 PTS),[1629655],1610612742.0,DAL,floating,,,,,,In The Paint (Non-RA),8-16 Center,8.67,Made,4.0,Gafford,D. Gafford,,,,,,,,,,,,,,,,,
36,PT08M51.00S,2025-01-16T01:15:10.4Z,1,REGULAR,turnover,bad pass,[],1627749,,,1610612740,12,8,2025-01-16T01:15:28Z,360000,False,,,0,,D. Murray bad pass TURNOVER (1 TO),"[1627749, 203915]",1610612740.0,NOP,,,,,,,Mid-Range,8-16 Center,,,,Murray,D. Murray,,,,,,,,,,,,,1.0,Dinwiddie,203915.0,,
