actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-02-14T01:10:39.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-02-14T01:10:39Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2025-02-14T01:10:42.8Z,1,REGULAR,jumpball,recovered,[],203897,,,1610612758,0,0,2025-02-14T01:10:42Z,40000,False,,,0,,Jump Ball D. Sabonis vs. Y. Missi: Tip to Z. LaVine,"[203897, 1627734, 1642274]",1610612758.0,SAC,startperiod,Z. LaVine,203897.0,LaVine,Z. LaVine,Sabonis,1627734.0,Missi,1642274.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2025-02-14T01:10:54.3Z,1,REGULAR,turnover,out-of-bounds,[],1628370,,,1610612758,0,0,2025-02-14T01:11:09Z,70000,False,,,0,,M. Monk bad pass out-of-bounds TURNOVER (1 TO),[1628370],1610612758.0,SAC,bad pass,,,Monk,M. Monk,,,,,Above the Break 3,24+ Right Center,1630886.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2025-02-14T01:11:12.2Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630530,94.08672798948751,10.317095588235293,1610612740,0,0,2025-02-14T01:11:37Z,80000,False,-198.0,3.0,1,right,MISS T. Murphy III 19' Jump Shot,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Mid-Range,16-24 Left,,,19.84,Missed,,,,,,,,,,,,,,,,
9,PT11M30.00S,2025-02-14T01:11:17.2Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,0,0,2025-02-14T01:11:19Z,90000,False,,,0,,D. Sabonis REBOUND (Off:0 Def:1),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Left Corner 3,24+ Left,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,
10,PT11M21.00S,2025-02-14T01:11:25.0Z,1,REGULAR,3pt,Jump Shot,[],203897,6.1268068331143235,2.941176470588235,1610612758,0,0,2025-02-14T01:11:30Z,100000,False,235.0,5.0,1,left,MISS Z. LaVine 3PT,[203897],1610612758.0,SAC,,,,LaVine,Z. LaVine,,,,,Right Corner 3,24+ Right,,,23.54,Missed,,,,,,,,,,,,,,,,
11,PT11M17.00S,2025-02-14T01:11:29.0Z,1,REGULAR,rebound,defensive,[],1642274,,,1610612740,0,0,2025-02-14T01:11:30Z,110000,False,,,0,,Y. Missi REBOUND (Off:0 Def:1),[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,Right Corner 3,24+ Right,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,
12,PT11M05.00S,2025-02-14T01:11:41.4Z,1,REGULAR,3pt,Jump Shot,[],1629750,70.51576872536137,27.205882352941174,1610612740,3,0,2025-02-14T01:11:45Z,120000,False,-114.0,225.0,1,right,J. Green 25' 3PT  (3 PTS) (T. Murphy III 1 AST),"[1629750, 1630530]",1610612740.0,NOP,,,,Green,J. Green,,,,,Above the Break 3,24+ Left Center,,,25.2,Made,,,,,3.0,T. Murphy III,1630530.0,1.0,,,,,,,,
14,PT10M50.00S,2025-02-14T01:11:56.5Z,1,REGULAR,3pt,Jump Shot,[],1628370,27.414586070959263,20.588235294117645,1610612758,3,3,2025-02-14T01:12:03Z,140000,False,147.0,205.0,1,left,M. Monk 25' 3PT  (3 PTS) (Z. LaVine 1 AST),"[1628370, 203897]",1610612758.0,SAC,,,,Monk,M. Monk,,,,,Above the Break 3,24+ Right Center,,,25.25,Made,,,,,3.0,Z. LaVine,203897.0,1.0,,,,,,,,
16,PT10M29.00S,2025-02-14T01:12:16.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630631,91.80354796320631,50.73529411764706,1610612740,5,3,2025-02-14T01:12:26Z,160000,False,4.0,25.0,1,right,J. Alvarado driving finger roll Layup (2 PTS),[1630631],1610612740.0,NOP,driving finger roll,,,Alvarado,J. Alvarado,,,,,Restricted Area,0-8 Center,,,2.48,Made,,,,,2.0,,,,,,,,,,,
