actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-11-12T01:10:51.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-12T01:10:51Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-11-12T01:10:55.5Z,1,REGULAR,jumpball,recovered,[],1627742,,,1610612740,0,0,2024-11-12T01:10:55Z,40000,False,,,0,,Jump Ball Y. Missi vs. N. Claxton: Tip to B. Ingram,"[1627742, 1642274, 1629651]",1610612740.0,NOP,startperiod,B. Ingram,1627742.0,Ingram,B. Ingram,Missi,1642274.0,Claxton,1629651.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2024-11-12T01:11:07.5Z,1,REGULAR,3pt,Jump Shot,[],1627742,68.01905387647832,41.17647058823529,1610612740,0,0,2024-11-12T04:44:46Z,70000,False,-44.0,248.0,1,right,MISS B. Ingram 25' 3PT,[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Center,25.2,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2024-11-12T01:11:12.5Z,1,REGULAR,rebound,defensive,[],203471,,,1610612751,0,0,2024-11-12T01:11:20Z,80000,False,,,0,,D. Schröder REBOUND (Off:0 Def:1),[203471],1610612751.0,BKN,,,,Schröder,D. Schröder,,,,,Above the Break 3,24+ Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M22.00S,2024-11-12T01:11:29.2Z,1,REGULAR,turnover,bad pass,[],1630560,,,1610612751,0,0,2024-11-12T01:11:35Z,90000,False,,,0,,C. Thomas bad pass TURNOVER (1 TO),"[1630560, 1630631]",1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,1.0,Alvarado,1630631.0,,,,,,,,,,,
10,PT11M22.00S,2024-11-12T01:11:29.2Z,1,REGULAR,steal,,[],1630631,,,1610612740,0,0,2024-11-12T01:11:31Z,100000,False,,,0,,J. Alvarado STEAL (1 STL),[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M05.00S,2024-11-12T01:11:46.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630530,88.78120893561103,47.30392156862745,1610612740,0,0,2024-11-12T01:12:02Z,110000,False,-13.0,53.0,1,right,MISS T. Murphy III driving Layup,[1630530],1610612740.0,NOP,driving,,,Murphy III,T. Murphy III,,,,,In The Paint (Non-RA),0-8 Center,5.47,Missed,,,,,,,,,,,,,,,,,,
12,PT11M02.00S,2024-11-12T01:11:49.6Z,1,REGULAR,rebound,offensive,[],1630530,,,1610612740,0,0,2024-11-12T01:12:02Z,120000,False,,,0,,T. Murphy III REBOUND (Off:1 Def:0),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,In The Paint (Non-RA),0-8 Center,,,11.0,1.0,0.0,1.0,,,,,,,,,,,,,,
13,PT11M01.00S,2024-11-12T01:11:50.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630530,89.83245729303549,59.31372549019608,1610612740,0,0,2024-11-12T01:12:10Z,130000,False,47.0,43.0,1,right,MISS T. Murphy III 6' putback Layup,[1630530],1610612740.0,NOP,putback,,,Murphy III,T. Murphy III,,,,,In The Paint (Non-RA),0-8 Center,6.35,Missed,,,,,,,,,,,,,,,,,,
14,PT10M59.00S,2024-11-12T01:11:52.0Z,1,REGULAR,rebound,defensive,[],1630533,,,1610612751,0,0,2024-11-12T01:12:10Z,140000,False,,,0,,Z. Williams REBOUND (Off:0 Def:1),[1630533],1610612751.0,BKN,,,,Williams,Z. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT10M50.00S,2024-11-12T01:12:04.4Z,1,REGULAR,turnover,traveling,[],1630533,,,1610612751,0,0,2024-11-12T01:12:24Z,150000,False,,,0,,Z. Williams traveling TURNOVER (1 TO),[1630533],1610612751.0,BKN,,,,Williams,Z. Williams,,,,,Above the Break 3,24+ Left Center,,,,,,,1.0,,,1151.0,,,,,,,,,,
16,PT10M34.00S,2024-11-12T01:12:30.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627742,95.3515111695138,95.83333333333334,1610612740,0,0,2024-11-12T01:12:36Z,160000,False,229.0,-9.0,1,right,MISS B. Ingram 3PT,[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Right Corner 3,24+ Right,22.94,Missed,,,,,,,,,,,,,,,,,,
17,PT10M31.00S,2024-11-12T01:12:33.1Z,1,REGULAR,rebound,defensive,[],1630560,,,1610612751,0,0,2024-11-12T01:12:36Z,170000,False,,,0,,C. Thomas REBOUND (Off:0 Def:1),[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,Right Corner 3,24+ Right,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,
18,PT10M17.00S,2024-11-12T01:12:47.2Z,1,REGULAR,3pt,Jump Shot,[],203471,28.86005256241787,78.18627450980392,1610612751,0,0,2024-11-12T01:12:52Z,180000,False,-141.0,219.0,1,left,MISS D. Schröder 26' 3PT,[203471],1610612751.0,BKN,,,,Schröder,D. Schröder,,,,,Above the Break 3,24+ Left Center,26.02,Missed,,,,,,,,,,,,,,,,,,
19,PT10M14.00S,2024-11-12T01:12:50.2Z,1,REGULAR,rebound,defensive,[],1642274,,,1610612740,0,0,2024-11-12T01:12:52Z,190000,False,,,0,,Y. Missi REBOUND (Off:0 Def:1),[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,Above the Break 3,24+ Left Center,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,,
20,PT10M04.00S,2024-11-12T01:13:00.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642274,88.78120893561103,51.225490196078425,1610612740,0,0,2024-11-12T01:13:15Z,200000,False,6.0,53.0,1,right,MISS Y. Missi cutting Layup - blocked,"[1642274, 1629651]",1610612740.0,NOP,cutting,,,Missi,Y. Missi,,,,,In The Paint (Non-RA),0-8 Center,5.33,Missed,,,,,,,,,Claxton,1629651.0,,,,,,,,
21,PT10M04.00S,2024-11-12T01:13:00.0Z,1,REGULAR,block,,[],1629651,,,1610612740,0,0,2024-11-12T01:13:03Z,210000,False,,,0,,N. Claxton BLOCK (1 BLK),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
