actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-11-17T01:10:26.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-17T01:10:26Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-11-17T01:10:29.9Z,1,REGULAR,jumpball,recovered,[],2544,,,1610612747,0,0,2024-11-17T01:10:29Z,40000,False,,,0,,Jump Ball A. Davis vs. Y. Missi: Tip to L. James,"[2544, 203076, 1642274]",1610612747.0,LAL,startperiod,L. James,2544.0,James,L. James,Davis,203076.0,Missi,1642274.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2024-11-17T01:10:37.0Z,1,REGULAR,3pt,Jump Shot,[],1642261,32.933639947437584,49.754901960784316,1610612747,0,0,2024-11-17T01:10:41Z,70000,False,1.0,257.0,1,left,MISS D. Knecht 25' 3PT,[1642261],1610612747.0,LAL,,,,Knecht,D. Knecht,,,,,Above the Break 3,24+ Center,25.71,Missed,,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2024-11-17T01:10:40.0Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612740,0,0,2024-11-17T01:10:41Z,80000,False,,,0,,B. Ingram REBOUND (Off:0 Def:1),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M39.00S,2024-11-17T01:10:49.5Z,1,REGULAR,foul,personal,['2freethrow'],1631108,,,1610612740,0,0,2024-11-17T01:11:03Z,90000,False,,,0,,M. Christie shooting personal FOUL (1 PF) (Ingram 2 FT),"[1631108, 1627742]",1610612747.0,LAL,shooting,,,Christie,M. Christie,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,2530.0,1.0,0.0,Ingram,1627742.0,,,,,,,,,
11,PT11M39.00S,2024-11-17T01:11:14.9Z,1,REGULAR,freethrow,1 of 2,[],1627742,,,1610612740,0,0,2024-11-17T01:11:14Z,110000,False,,,0,,MISS B. Ingram Free Throw 1 of 2,[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
12,PT11M39.00S,2024-11-17T01:11:14.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612740,0,0,2024-11-17T01:11:14Z,120000,False,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,
13,PT11M39.00S,2024-11-17T01:11:37.2Z,1,REGULAR,freethrow,2 of 2,[],1627742,,,1610612740,1,0,2024-11-17T01:11:37Z,130000,False,,,0,,B. Ingram Free Throw 2 of 2 (1 PTS),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,Made,,,,,,,,,,1.0,,,,,,,,
14,PT11M28.00S,2024-11-17T01:11:49.7Z,1,REGULAR,turnover,bad pass,[],203076,,,1610612747,1,0,2024-11-17T01:11:54Z,140000,False,,,0,,A. Davis bad pass TURNOVER (1 TO),"[203076, 1627742]",1610612747.0,LAL,,,,Davis,A. Davis,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,1.0,Ingram,1627742.0,,,,,
15,PT11M28.00S,2024-11-17T01:11:49.7Z,1,REGULAR,steal,,[],1627742,,,1610612740,1,0,2024-11-17T01:11:51Z,150000,False,,,0,,B. Ingram STEAL (1 STL),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
