actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-03-30T23:10:29.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-30T23:10:29Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-03-30T23:10:31.6Z,1,REGULAR,jumpball,recovered,[],1628970,,,1610612766,0,0,2025-03-30T23:10:31Z,40000,False,,,0,,Jump Ball J. Nurkić vs. Y. Missi: Tip to M. Bridges,"[1628970, 203994, 1642274]",1610612766.0,CHA,startperiod,M. Bridges,1628970.0,Bridges,M. Bridges,Nurkić,203994.0,Missi,1642274.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2025-03-30T23:10:40.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629610,92.72339027595268,49.754901960784316,1610612766,0,2,2025-03-30T23:10:46Z,70000,False,-1.0,16.0,1,right,D. Jeffries cutting Layup (2 PTS) (M. Bridges 1 AST),"[1629610, 1628970]",1610612766.0,CHA,cutting,,,Jeffries,D. Jeffries,,,,,Restricted Area,0-8 Center,1.59,Made,2.0,M. Bridges,1628970.0,1.0,,,,,,,,,,,,,,
9,PT11M32.00S,2025-03-30T23:10:56.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203482,5.469776609724048,47.30392156862745,1610612740,2,2,2025-03-30T23:11:01Z,90000,False,13.0,-1.0,1,left,K. Olynyk driving Layup (2 PTS) (B. Brown 1 AST),"[203482, 1628971]",1610612740.0,NOP,driving,,,Olynyk,K. Olynyk,,,,,Restricted Area,0-8 Center,1.35,Made,2.0,B. Brown,1628971.0,1.0,,,,,,,,,,,,,,
10,PT11M21.00S,2025-03-30T23:11:07.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629610,94.03745072273325,50.49019607843137,1610612766,2,2,2025-03-30T23:11:11Z,100000,False,2.0,4.0,1,right,MISS D. Jeffries cutting DUNK,[1629610],1610612766.0,CHA,cutting,,,Jeffries,D. Jeffries,,,,,Restricted Area,0-8 Center,0.43,Missed,,,,,,,,,,,,,,,,,,
11,PT11M18.00S,2025-03-30T23:11:10.4Z,1,REGULAR,rebound,defensive,[],1641810,,,1610612740,2,2,2025-03-30T23:11:11Z,110000,False,,,0,,A. Reeves REBOUND (Off:0 Def:1),[1641810],1610612740.0,NOP,,,,Reeves,A. Reeves,,,,,Restricted Area,0-8 Center,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,
12,PT11M10.00S,2025-03-30T23:11:17.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628971,5.075558475689881,47.794117647058826,1610612740,2,2,2025-03-30T23:11:22Z,120000,False,11.0,-5.0,1,left,MISS B. Brown driving Layup,[1628971],1610612740.0,NOP,driving,,,Brown,B. Brown,,,,,Restricted Area,0-8 Center,1.2,Missed,,,,,,,,,,,,,,,,,,
13,PT11M07.00S,2025-03-30T23:11:20.7Z,1,REGULAR,rebound,defensive,[],1642354,,,1610612766,2,2,2025-03-30T23:11:22Z,130000,False,,,0,,K. Simpson REBOUND (Off:0 Def:1),[1642354],1610612766.0,CHA,,,,Simpson,K. Simpson,,,,,Restricted Area,0-8 Center,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,
14,PT11M04.00S,2025-03-30T23:11:24.9Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1642354,93.64323258869908,52.69607843137255,1610612766,2,2,2025-03-30T23:12:02Z,140000,False,13.0,7.0,1,right,MISS K. Simpson running Layup,[1642354],1610612766.0,CHA,running,,,Simpson,K. Simpson,,,,,Restricted Area,0-8 Center,1.53,Missed,,,,,,,,,,,,,,,,,,
15,PT11M02.00S,2025-03-30T23:11:26.9Z,1,REGULAR,rebound,defensive,[],1642274,,,1610612740,2,2,2025-03-30T23:11:29Z,150000,False,,,0,,Y. Missi REBOUND (Off:0 Def:1),[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,Restricted Area,0-8 Center,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,
16,PT10M47.00S,2025-03-30T23:11:41.3Z,1,REGULAR,turnover,bad pass,[],203482,,,1610612740,2,2,2025-03-30T23:11:45Z,160000,False,,,0,,K. Olynyk bad pass TURNOVER (1 TO),"[203482, 1628970]",1610612740.0,NOP,,,,Olynyk,K. Olynyk,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,1.0,Bridges,1628970.0,,,,,,,
17,PT10M47.00S,2025-03-30T23:11:41.3Z,1,REGULAR,steal,,[],1628970,,,1610612766,2,2,2025-03-30T23:11:42Z,170000,False,,,0,,M. Bridges STEAL (1 STL),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
18,PT10M43.00S,2025-03-30T23:11:45.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1642354,94.1688567674113,52.450980392156865,1610612766,2,4,2025-03-30T23:11:50Z,180000,False,12.0,2.0,1,right,K. Simpson running Layup (2 PTS) (M. Bridges 2 AST),"[1642354, 1628970]",1610612766.0,CHA,running,,,Simpson,K. Simpson,,,,,Restricted Area,0-8 Center,1.25,Made,2.0,M. Bridges,1628970.0,2.0,,,,,,,,,,,,,,
