actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-11-02T00:10:20.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-02T00:10:20Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2024-11-02T00:10:24.9Z,1,REGULAR,jumpball,recovered,[],1627783,,,1610612754,0,0,2024-11-02T00:10:24Z,40000,False,,,0,,Jump Ball M. Turner vs. Y. Missi: Tip to P. Siakam,"[1627783, 1626167, 1642274]",1610612754.0,IND,startperiod,P. Siakam,1627783.0,Siakam,P. Siakam,Turner,1626167.0,Missi,1642274.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M34.00S,2024-11-02T00:10:45.3Z,1,REGULAR,3pt,Jump Shot,[],1626167,66.96780551905388,48.77450980392157,1610612754,0,3,2024-11-02T00:10:50Z,70000,False,-6.0,258.0,1,right,M. Turner 25' 3PT  (3 PTS) (B. Mathurin 1 AST),"[1626167, 1631097]",1610612754.0,IND,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Center,25.81,Made,3.0,B. Mathurin,1631097.0,1.0,,,,,,,,,,,,,,
9,PT11M08.00S,2024-11-02T00:11:15.7Z,1,REGULAR,2pt,Jump Shot,[],1641722,21.76412614980289,44.6078431372549,1610612740,0,3,2024-11-02T00:11:59Z,90000,False,27.0,152.0,1,left,MISS J. Hawkins 15' fadeaway Shot,[1641722],1610612740.0,NOP,fadeaway,,,Hawkins,J. Hawkins,,,,,Mid-Range,8-16 Center,15.45,Missed,,,,,,,,,,,,,,,,,,
10,PT11M07.00S,2024-11-02T00:11:16.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612740,0,3,2024-11-02T00:14:33Z,100000,False,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,Mid-Range,8-16 Center,,,,,,,9.0,,,,,,,,,,,,,
11,PT11M06.00S,2024-11-02T00:11:23.0Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612740,0,3,2024-11-02T00:11:44Z,110000,False,,,0,,NOP shot clock Team TURNOVER,[],1610612740.0,NOP,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,2534.0,,,,,,,,,,,,
12,PT10M55.00S,2024-11-02T00:11:35.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1627783,84.36268068331142,48.494944852941174,1610612754,0,5,2024-11-02T00:11:51Z,120000,False,-8.0,94.0,1,right,P. Siakam 9' turnaround Jump Shot (2 PTS),[1627783],1610612754.0,IND,turnaround,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),8-16 Center,9.48,Made,2.0,,,,,,,,,,,,,,,,,
13,PT10M49.00S,2024-11-02T00:11:45.3Z,1,REGULAR,foul,personal,[],1627783,,,1610612740,0,5,2024-11-02T00:12:16Z,130000,False,,,0,,P. Siakam personal FOUL (1 PF),"[1627783, 1642274]",1610612754.0,IND,,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1628172.0,1.0,0.0,Missi,1642274.0,,,,,,,,
15,PT10M42.00S,2024-11-02T00:12:20.5Z,1,REGULAR,3pt,Jump Shot,[],1641722,28.597240473061763,22.30392156862745,1610612740,0,5,2024-11-02T00:12:26Z,150000,False,138.0,216.0,1,left,MISS J. Hawkins 25' 3PT,[1641722],1610612740.0,NOP,,,,Hawkins,J. Hawkins,,,,,Above the Break 3,24+ Right Center,25.68,Missed,,,,,,,,,,,,,,,,,,
16,PT10M39.00S,2024-11-02T00:12:23.5Z,1,REGULAR,rebound,defensive,[],1630174,,,1610612754,0,5,2024-11-02T00:12:26Z,160000,False,,,0,,A. Nesmith REBOUND (Off:0 Def:1),[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Above the Break 3,24+ Right Center,,,,,,,15.0,,,,,,1.0,1.0,0.0,,,,,
