actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,blockPlayerName,blockPersonId,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-03-07T01:10:26.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-07T01:10:26Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-03-07T01:10:28.9Z,1,REGULAR,jumpball,recovered,[],1629627,,,1610612740,0,0,2025-03-07T01:10:28Z,40000,False,,,0,,Jump Ball Y. Missi vs. A. Sengun: Tip to Z. Williamson,"[1629627, 1642274, 1630578]",1610612740.0,NOP,startperiod,Z. Williamson,1629627.0,Williamson,Z. Williamson,Missi,1642274.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2025-03-07T01:10:43.7Z,1,REGULAR,3pt,Jump Shot,[],203468,31.882391590013142,37.745098039215684,1610612740,0,0,2025-03-07T01:10:50Z,70000,False,61.0,247.0,1,left,MISS C. McCollum 25' 3PT,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Center,25.47,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2025-03-07T01:10:45.7Z,1,REGULAR,rebound,offensive,[],1630530,,,1610612740,0,0,2025-03-07T01:10:50Z,80000,False,,,0,,T. Murphy III REBOUND (Off:1 Def:0),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
10,PT11M31.00S,2025-03-07T01:11:36.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612740,0,0,2025-03-07T01:14:41Z,125000,False,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M25.00S,2025-03-07T01:14:46.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1642274,14.931011826544022,40.68627450980392,1610612740,2,0,2025-03-07T01:16:35Z,140000,False,47.0,88.0,1,left,Y. Missi 9' driving floating Jump Shot (2 PTS) (K. Olynyk 1 AST),"[1642274, 203482]",1610612740.0,NOP,driving floating,,,Missi,Y. Missi,,,,,In The Paint (Non-RA),8-16 Center,9.95,Made,,,,,2.0,K. Olynyk,203482.0,1.0,,,,,,,,,,
15,PT11M06.00S,2025-03-07T01:15:06.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630578,89.17542706964521,50.98039215686274,1610612745,2,2,2025-03-07T01:15:14Z,160000,False,5.0,49.0,1,right,A. Sengun turnaround Hook (2 PTS),[1630578],1610612745.0,HOU,turnaround,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),0-8 Center,4.95,Made,,,,,2.0,,,,,,,,,,,,,
17,PT10M49.00S,2025-03-07T01:15:32.3Z,1,REGULAR,foul,technical,['1freethrow'],1630578,,,1610612740,2,2,2025-03-07T01:16:05Z,180000,False,,,0,,A. Sengun defensive-3-second technical FOUL (1 Tech),[1630578],1610612745.0,HOU,defensive-3-second,,,Sengun,A. Sengun,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,1626301.0,0.0,1.0,,,,,,,
18,PT10M49.00S,2025-03-07T01:15:54.0Z,1,REGULAR,freethrow,1 of 1,[],1630530,,,1610612740,3,2,2025-03-07T01:15:54Z,190000,False,,,0,,T. Murphy III technical Free Throw 1 of 1 (1 PTS),[1630530],1610612740.0,NOP,technical,,,Murphy III,T. Murphy III,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
19,PT10M36.00S,2025-03-07T01:16:17.9Z,1,REGULAR,3pt,Jump Shot,[],1630530,31.09395532194481,69.85294117647058,1610612740,6,2,2025-03-07T01:16:25Z,200000,False,-99.0,240.0,1,left,T. Murphy III 25' 3PT step back (4 PTS),[1630530],1610612740.0,NOP,step back,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Left Center,25.95,Made,,,,,4.0,,,,,,,,,,,,,
