actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-11-04T00:10:26.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-04T00:10:26Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2024-11-04T00:11:14.9Z,1,REGULAR,jumpball,recovered,[],1629750,,,0,0,0,2024-11-04T00:11:14Z,40000,False,,,0,,Jump Ball Y. Missi vs. C. Capela: Tip to J. Green,"[1629750, 1642274, 203991]",1610612740.0,NOP,unclearpass,J. Green,1629750.0,Green,J. Green,Missi,1642274.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,,,
18,PT11M44.00S,2024-11-04T00:11:20.3Z,1,REGULAR,3pt,Jump Shot,[],1627742,72.32260183968462,22.794117647058826,1610612740,0,0,2024-11-04T00:12:42Z,65000,False,-136.0,208.0,1,right,MISS B. Ingram 24' 3PT,[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Left Center,24.83,Missed,,,,,,,,,,,,,,,,,,
19,PT11M43.00S,2024-11-04T00:11:21.3Z,1,REGULAR,rebound,defensive,[],1630552,,,1610612737,0,0,2024-11-04T00:12:42Z,67500,False,,,0,,J. Johnson REBOUND (Off:0 Def:1),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Above the Break 3,24+ Left Center,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,,
26,PT11M39.00S,2024-11-04T00:11:23.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1629027,7.802233902759525,51.22549019607843,1610612737,0,0,2024-11-04T00:13:12Z,68750,False,-6.0,21.0,1,left,MISS T. Young running Layup,[1629027],1610612737.0,ATL,running,,,Young,T. Young,,,,,Restricted Area,0-8 Center,2.17,Missed,,,,,,,,,,,,,,,,,,
27,PT11M38.00S,2024-11-04T00:11:24.0Z,1,REGULAR,rebound,offensive,[],1642258,,,1610612737,0,0,2024-11-04T00:14:14Z,69375,False,,,0,,Z. Risacher REBOUND (Off:1 Def:0),[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,Restricted Area,0-8 Center,,,26.0,1.0,0.0,1.0,,,,,,,,,,,,,,
30,PT11M36.00S,2024-11-04T00:11:24.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1642258,7.276609724047319,51.96078431372549,1610612737,0,2,2024-11-04T00:14:18Z,69687,False,-10.0,16.0,1,left,Z. Risacher putback Layup (2 PTS),[1642258],1610612737.0,ATL,putback,,,Risacher,Z. Risacher,,,,,Restricted Area,0-8 Center,1.87,Made,,,,,2.0,,,,,,,,,,,,,
7,PT11M18.00S,2024-11-04T00:11:25.7Z,1,REGULAR,2pt,Jump Shot,[],1641722,76.82325886990802,70.34313725490196,1610612740,0,2,2024-11-04T00:11:34Z,70000,False,102.0,165.0,1,right,MISS J. Hawkins 19' pullup Shot,[1641722],1610612740.0,NOP,pullup,,,Hawkins,J. Hawkins,,,,,Mid-Range,16-24 Right Center,19.42,Missed,,,,,,,,,,,,,,,,,,
8,PT11M16.00S,2024-11-04T00:11:27.7Z,1,REGULAR,rebound,defensive,[],1642258,,,1610612737,0,2,2024-11-04T00:11:34Z,80000,False,,,0,,Z. Risacher REBOUND (Off:1 Def:1),[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,Mid-Range,16-24 Right Center,,,7.0,2.0,1.0,1.0,,,,,,,,,,,,,,
9,PT11M05.00S,2024-11-04T00:11:39.5Z,1,REGULAR,3pt,Jump Shot,[],1642258,30.831143232588698,30.14705882352941,1610612737,0,2,2024-11-04T00:12:04Z,90000,False,99.0,237.0,1,left,MISS Z. Risacher 25' 3PT,[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,Above the Break 3,24+ Right Center,25.72,Missed,,,,,,,,,,,,,,,,,,
10,PT11M02.00S,2024-11-04T00:11:42.5Z,1,REGULAR,rebound,offensive,[],1630700,,,1610612737,0,2,2024-11-04T00:12:04Z,100000,False,,,0,,D. Daniels REBOUND (Off:1 Def:0),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Right Center,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,
