actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-01-08T01:10:41.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-08T01:10:41Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-01-08T01:10:44.4Z,1,REGULAR,jumpball,recovered,[],1630183,,,1610612750,0,0,2025-01-08T01:10:44Z,40000,False,,,0,,Jump Ball R. Gobert vs. Y. Missi: Tip to J. McDaniels,"[1630183, 203497, 1642274]",1610612750.0,MIN,startperiod,J. McDaniels,1630183.0,McDaniels,J. McDaniels,Gobert,203497.0,Missi,1642274.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2025-01-08T01:11:00.4Z,1,REGULAR,2pt,Jump Shot,[],203944,78.13731931668858,49.26470588235294,1610612750,0,2,2025-01-08T01:11:21Z,70000,False,-4.0,153.0,1,right,J. Randle 15' step back Jump Shot (2 PTS),[203944],1610612750.0,MIN,step back,,,Randle,J. Randle,,,,,Mid-Range,8-16 Center,15.3,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M23.00S,2025-01-08T01:11:17.5Z,1,REGULAR,3pt,Jump Shot,[],1627749,5.206964520367937,3.431372549019608,1610612740,0,2,2025-01-08T01:11:22Z,80000,False,233.0,-4.0,1,left,MISS D. Murray 3PT,[1627749],1610612740.0,NOP,,,,Murray,D. Murray,,,,,Right Corner 3,24+ Right,23.28,Missed,,,,,,,,,,,,,,,,,,
9,PT11M20.00S,2025-01-08T01:11:20.5Z,1,REGULAR,rebound,defensive,[],1630183,,,1610612750,0,2,2025-01-08T01:11:22Z,90000,False,,,0,,J. McDaniels REBOUND (Off:0 Def:1),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Right Corner 3,24+ Right,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M11.00S,2025-01-08T01:11:29.3Z,1,REGULAR,3pt,Jump Shot,[],1630162,83.919185282523,2.941176470588235,1610612750,0,5,2025-01-08T01:11:38Z,100000,False,-235.0,99.0,1,right,A. Edwards 25' 3PT step back (3 PTS) (D. DiVincenzo 1 AST),"[1630162, 1628978]",1610612750.0,MIN,step back,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Left Center,25.52,Made,3.0,,,,,D. DiVincenzo,1628978.0,1.0,,,,,,,,,,
12,PT10M58.00S,2025-01-08T01:11:41.4Z,1,REGULAR,3pt,Jump Shot,[],203468,27.677398160315374,75.98039215686273,1610612740,0,5,2025-01-08T01:11:46Z,120000,False,-130.0,208.0,1,left,MISS C. McCollum 24' pullup 3PT,[203468],1610612740.0,NOP,pullup,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Left Center,24.5,Missed,,,,,,,,,,,,,,,,,,
13,PT10M57.00S,2025-01-08T01:11:42.4Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,0,5,2025-01-08T01:11:46Z,130000,False,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Above the Break 3,24+ Left Center,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,
14,PT10M45.00S,2025-01-08T01:11:55.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203944,84.83902759526939,63.725490196078425,1610612750,0,7,2025-01-08T01:12:40Z,140000,False,69.0,90.0,1,right,J. Randle 11' turnaround fadeaway Jump Shot (4 PTS),[203944],1610612750.0,MIN,turnaround fadeaway,,,Randle,J. Randle,,,,,In The Paint (Non-RA),8-16 Right,11.32,Made,4.0,,,,,,,,,,,,,,,,,
15,PT10M27.00S,2025-01-08T01:12:15.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630529,6.389618922470433,50.98039215686274,1610612740,0,7,2025-01-08T01:12:27Z,150000,False,-5.0,8.0,1,left,MISS H. Jones driving Layup - blocked,"[1630529, 1630183]",1610612740.0,NOP,driving,,,Jones,H. Jones,,,,,Restricted Area,0-8 Center,0.9,Missed,,,,,,,,,McDaniels,1630183.0,,,,,,,,
16,PT10M27.00S,2025-01-08T01:12:15.4Z,1,REGULAR,block,,[],1630183,,,1610612740,0,7,2025-01-08T01:12:17Z,160000,False,,,0,,J. McDaniels BLOCK (1 BLK),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
17,PT10M26.00S,2025-01-08T01:12:16.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612740,0,7,2025-01-08T01:12:27Z,170000,False,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,Restricted Area,0-8 Center,,,,15.0,,,,,,,,,,,,,,,,
19,PT10M23.00S,2025-01-08T01:12:36.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",203468,13.61695137976347,52.69607843137255,1610612740,0,7,2025-01-08T01:12:41Z,190000,False,-13.0,75.0,1,left,MISS C. McCollum 7' driving floating Shot,[203468],1610612740.0,NOP,driving floating,,,McCollum,C. McCollum,,,,,In The Paint (Non-RA),0-8 Center,7.67,Missed,,,,,,,,,,,,,,,,,,
