actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-11-23T00:43:46.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-23T00:43:46Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-11-23T00:43:48.9Z,1,REGULAR,jumpball,recovered,[],1629750,,,1610612740,0,0,2024-11-23T00:43:48Z,40000,False,,,0,,Jump Ball D. Theis vs. T. Jackson-Davis: Tip to J. Green,"[1629750, 1628464, 1631218]",1610612740.0,NOP,startperiod,J. Green,1629750.0,Green,J. Green,Theis,1628464.0,Jackson-Davis,1631218.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2024-11-23T00:44:01.3Z,1,REGULAR,foul,personal,['2freethrow'],203952,,,1610612740,0,0,2024-11-23T00:44:16Z,70000,False,,,0,,A. Wiggins shooting personal FOUL (1 PF) (Ingram 2 FT),"[203952, 1627742]",1610612744.0,GSW,shooting,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),8-16 Center,202041.0,1.0,0.0,Ingram,1627742.0,,,,,,,,,,,,,,,
9,PT11M46.00S,2024-11-23T00:44:26.8Z,1,REGULAR,freethrow,1 of 2,[],1627742,,,1610612740,1,0,2024-11-23T00:44:26Z,90000,False,,,0,,B. Ingram Free Throw 1 of 2 (1 PTS),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M46.00S,2024-11-23T00:44:41.9Z,1,REGULAR,freethrow,2 of 2,[],1627742,,,1610612740,2,0,2024-11-23T00:44:41Z,100000,False,,,0,,B. Ingram Free Throw 2 of 2 (2 PTS),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
11,PT11M33.00S,2024-11-23T00:44:57.0Z,1,REGULAR,turnover,bad pass,[],203110,,,1610612744,2,0,2024-11-23T00:45:01Z,110000,False,,,0,,D. Green bad pass TURNOVER (1 TO),"[203110, 203901]",1610612744.0,GSW,,,,Green,D. Green,,,,,Mid-Range,16-24 Right Center,,,,,,,,1.0,Payton,203901.0,,,,,,,,,,
12,PT11M33.00S,2024-11-23T00:44:57.0Z,1,REGULAR,steal,,[],203901,,,1610612740,2,0,2024-11-23T00:44:59Z,120000,False,,,0,,E. Payton STEAL (1 STL),[203901],1610612740.0,NOP,,,,Payton,E. Payton,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
13,PT11M22.00S,2024-11-23T00:45:08.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203901,14.799605781865965,52.94117647058824,1610612740,4,0,2024-11-23T00:45:13Z,130000,False,-15.0,87.0,1,left,E. Payton 8' driving floating Jump Shot (2 PTS) (T. Murphy III 1 AST),"[203901, 1630530]",1610612740.0,NOP,driving floating,,,Payton,E. Payton,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Made,2.0,,,,8.78,T. Murphy III,1630530.0,1.0,,,,,,
15,PT11M09.00S,2024-11-23T00:45:20.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203110,88.38699080157687,53.92156862745098,1610612744,4,0,2024-11-23T00:45:26Z,150000,False,20.0,57.0,1,right,MISS D. Green 6' driving Hook,[203110],1610612744.0,GSW,driving,,,Green,D. Green,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,,,,6.0,,,,,,,,,
16,PT11M06.00S,2024-11-23T00:45:23.3Z,1,REGULAR,rebound,offensive,[],203110,,,1610612744,4,0,2024-11-23T00:45:23Z,160000,False,,,0,,D. Green REBOUND (Off:1 Def:0),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,15.0,1.0,0.0,1.0,,
