actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-01-04T01:11:18.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-04T01:11:18Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2025-01-04T01:11:22.9Z,1,REGULAR,jumpball,recovered,[],1642267,,,1610612764,0,0,2025-01-04T01:11:23Z,40000,False,,,0,,Jump Ball A. Sarr vs. Y. Missi: Tip to C. Carrington,"[1642267, 1642259, 1642274]",1610612764.0,WAS,startperiod,C. Carrington,1642267.0,Carrington,C. Carrington,Sarr,1642259.0,Missi,1642274.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2025-01-04T01:11:33.4Z,1,REGULAR,3pt,Jump Shot,[],1629673,28.203022339027594,78.43137254901961,1610612764,0,0,2025-01-04T01:11:40Z,70000,False,-142.0,213.0,1,left,MISS J. Poole 25' bank 3PT,[1629673],1610612764.0,WAS,bank,,,Poole,J. Poole,,,,,Above the Break 3,24+ Left Center,25.58,Missed,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2025-01-04T01:11:36.4Z,1,REGULAR,rebound,defensive,[],1642274,,,1610612740,0,0,2025-01-04T01:11:40Z,80000,False,,,0,,Y. Missi REBOUND (Off:0 Def:1),[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M36.00S,2025-01-04T01:11:42.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203468,93.11760840998686,55.63725490196079,1610612740,2,0,2025-01-04T01:12:07Z,90000,False,28.0,12.0,1,right,C. McCollum driving Layup (2 PTS) (T. Murphy III 1 AST),"[203468, 1630530]",1610612740.0,NOP,driving,,,McCollum,C. McCollum,,,,,Restricted Area,0-8 Center,3.07,Made,,,,,2.0,T. Murphy III,1630530.0,1.0,,,,,,,,,,
10,PT11M18.00S,2025-01-04T01:12:02.1Z,1,REGULAR,turnover,out-of-bounds,[],1642267,,,1610612764,2,0,2025-01-04T01:12:12Z,100000,False,,,0,,C. Carrington lost ball out-of-bounds TURNOVER (1 TO),[1642267],1610612764.0,WAS,lost ball,,,Carrington,C. Carrington,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1627964.0,1.0,,,,,,,,
11,PT11M02.00S,2025-01-04T01:12:30.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1642274,93.11760840998686,46.81372549019608,1610612740,4,0,2025-01-04T01:13:22Z,110000,False,-16.0,12.0,1,right,Y. Missi driving reverse Layup (2 PTS) (T. Murphy III 2 AST),"[1642274, 1630530]",1610612740.0,NOP,driving reverse,,,Missi,Y. Missi,,,,,Restricted Area,0-8 Center,2.0,Made,,,,,2.0,T. Murphy III,1630530.0,2.0,,,,,,,,,,
13,PT10M49.00S,2025-01-04T01:12:42.9Z,1,REGULAR,3pt,Jump Shot,[],1630551,28.86005256241787,77.45098039215686,1610612764,4,0,2025-01-04T01:12:47Z,130000,False,-137.0,219.0,1,left,MISS J. Champagnie 25' 3PT,[1630551],1610612764.0,WAS,,,,Champagnie,J. Champagnie,,,,,Above the Break 3,24+ Left Center,25.83,Missed,,,,,,,,,,,,,,,,,,
14,PT10M46.00S,2025-01-04T01:12:45.9Z,1,REGULAR,rebound,defensive,[],1642274,,,1610612740,4,0,2025-01-04T01:12:47Z,140000,False,,,0,,Y. Missi REBOUND (Off:0 Def:2),[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,Above the Break 3,24+ Left Center,,,13.0,2.0,2.0,0.0,,,,,,,,,,,,,,
15,PT10M36.00S,2025-01-04T01:12:55.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630530,80.50262812089356,38.970588235294116,1610612740,4,0,2025-01-04T01:13:03Z,150000,False,-55.0,131.0,1,right,MISS T. Murphy III 14' driving floating Shot,[1630530],1610612740.0,NOP,driving floating,,,Murphy III,T. Murphy III,,,,,In The Paint (Non-RA),8-16 Center,14.19,Missed,,,,,,,,,,,,,,,,,,
16,PT10M35.00S,2025-01-04T01:12:56.3Z,1,REGULAR,rebound,offensive,[],1642274,,,1610612740,4,0,2025-01-04T01:14:08Z,160000,False,,,0,,Y. Missi REBOUND (Off:1 Def:2),[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,In The Paint (Non-RA),8-16 Center,,,15.0,3.0,2.0,1.0,,,,,,,,,,,,,,
17,PT10M35.00S,2025-01-04T01:13:00.9Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1642274,94.40999984741211,50.0,1610612740,6,0,2025-01-04T01:14:11Z,170000,False,0.0,0.0,1,right,Y. Missi tip Layup (4 PTS),[1642274],1610612740.0,NOP,tip,,,Missi,Y. Missi,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,4.0,,,,,,,,,,,,,
