actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,turnoverTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-01-09T01:10:21.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-09T01:10:21Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2025-01-09T01:10:23.2Z,1,REGULAR,jumpball,recovered,[],1630166,,,1610612757,0,0,2025-01-09T01:10:23Z,40000,False,,,0,,Jump Ball D. Ayton vs. Y. Missi: Tip to D. Avdija,"[1630166, 1629028, 1642274]",1610612757.0,POR,startperiod,D. Avdija,1630166.0,Avdija,D. Avdija,Ayton,1629028.0,Missi,1642274.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2025-01-09T01:10:38.1Z,1,REGULAR,3pt,Jump Shot,[],1630166,69.59592641261499,74.75490196078431,1610612757,0,3,2025-01-09T01:10:42Z,70000,False,124.0,233.0,1,right,D. Avdija 26' 3PT  (3 PTS) (T. Camara 1 AST),"[1630166, 1641739]",1610612757.0,POR,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Right Center,26.41,Made,3.0,T. Camara,1641739.0,1.0,,,,,,,,,,,,,,
9,PT11M17.00S,2025-01-09T01:11:03.1Z,1,REGULAR,2pt,Jump Shot,[],1630526,3.3672798948751645,82.35294117647058,1610612740,2,3,2025-01-09T01:11:07Z,90000,False,-162.0,-21.0,1,left,J. Robinson-Earl 16' pullup Jump Shot (2 PTS) (D. Murray 1 AST),"[1630526, 1627749]",1610612740.0,NOP,pullup,,,Robinson-Earl,J. Robinson-Earl,,,,,Mid-Range,16-24 Left,16.31,Made,2.0,D. Murray,1627749.0,1.0,,,,,,,,,,,,,,
11,PT11M02.00S,2025-01-09T01:11:23.4Z,1,REGULAR,foul,personal,['2freethrow'],1630526,,,1610612757,2,3,2025-01-09T01:11:38Z,110000,False,,,0,,J. Robinson-Earl shooting personal FOUL (1 PF) (Ayton 2 FT),"[1630526, 1629028]",1610612740.0,NOP,shooting,,,Robinson-Earl,J. Robinson-Earl,,,,,Restricted Area,0-8 Center,,,,,,,1627534.0,1.0,0.0,Ayton,1629028.0,,,,,,,,,
13,PT11M02.00S,2025-01-09T01:11:42.5Z,1,REGULAR,freethrow,1 of 2,[],1629028,,,1610612757,2,3,2025-01-09T01:11:42Z,130000,False,,,0,,MISS D. Ayton Free Throw 1 of 2,[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
14,PT11M02.00S,2025-01-09T01:11:42.5Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612757,2,3,2025-01-09T01:11:42Z,140000,False,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,
15,PT11M02.00S,2025-01-09T01:11:54.7Z,1,REGULAR,freethrow,2 of 2,[],1629028,,,1610612757,2,4,2025-01-09T01:11:54Z,150000,False,,,0,,D. Ayton Free Throw 2 of 2 (1 PTS),[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
16,PT10M44.00S,2025-01-09T01:12:17.5Z,1,REGULAR,2pt,Jump Shot,[],203468,3.892904073587385,81.61764705882352,1610612740,4,4,2025-01-09T01:12:53Z,160000,False,-158.0,-16.0,1,left,C. McCollum 15' step back Jump Shot (2 PTS) (Y. Missi 1 AST),"[203468, 1642274]",1610612740.0,NOP,step back,,,McCollum,C. McCollum,,,,,Mid-Range,8-16 Left,15.89,Made,2.0,Y. Missi,1642274.0,1.0,,,,,,,,,,,,,,
17,PT10M33.00S,2025-01-09T01:12:29.1Z,1,REGULAR,2pt,Jump Shot,[],1630166,77.61169513797634,75.0,1610612757,4,6,2025-01-09T01:12:33Z,170000,False,125.0,158.0,1,right,D. Avdija 20' pullup Jump Shot (5 PTS) (A. Simons 1 AST),"[1630166, 1629014]",1610612757.0,POR,pullup,,,Avdija,D. Avdija,,,,,Mid-Range,16-24 Right Center,20.15,Made,5.0,A. Simons,1629014.0,1.0,,,,,,,,,,,,,,
