actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,turnoverTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
18,PT10M25.00S,2025-01-09T01:12:43.0Z,1,REGULAR,turnover,traveling,[],1630529,,,1610612740,4,6,2025-01-09T01:12:50Z,180000,False,,,0,,H. Jones traveling TURNOVER (1 TO),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Mid-Range,16-24 Right,,,,,,,202041.0,,,,,,1.0,,,,,,,
19,PT10M07.00S,2025-01-09T01:13:07.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1641739,93.51182654402102,46.32352941176471,1610612757,4,8,2025-01-09T01:13:14Z,190000,False,-18.0,8.0,1,right,T. Camara driving reverse Layup (2 PTS),[1641739],1610612757.0,POR,driving reverse,,,Camara,T. Camara,,,,,Restricted Area,0-8 Center,2.03,Made,2.0,,,,,,,,,,,,,,,,,
21,PT09M52.00S,2025-01-09T01:13:22.8Z,1,REGULAR,2pt,Jump Shot,[],1627749,19.004599211563733,68.62745098039215,1610612740,4,8,2025-01-09T01:13:27Z,210000,False,-93.0,126.0,1,left,MISS D. Murray 15' pullup Shot,[1627749],1610612740.0,NOP,pullup,,,Murray,D. Murray,,,,,Mid-Range,8-16 Left,15.67,Missed,,,,,,,,,,,,,,,,,,
22,PT09M49.00S,2025-01-09T01:13:25.8Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612757,4,8,2025-01-09T01:13:27Z,220000,False,,,0,,D. Ayton REBOUND (Off:0 Def:1),[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,21.0,,1.0,1.0,0.0,,,,
24,PT09M35.00S,2025-01-09T01:13:53.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630166,90.62089356110381,42.40196078431372,1610612757,4,10,2025-01-09T01:14:27Z,240000,False,-38.0,36.0,1,right,D. Avdija pullup bank Jump Shot (7 PTS) (D. Ayton 1 AST),"[1630166, 1629028]",1610612757.0,POR,pullup bank,,,Avdija,D. Avdija,,,,,In The Paint (Non-RA),0-8 Center,5.21,Made,7.0,D. Ayton,1629028.0,1.0,,,,,,,,,,,,,,
25,PT09M29.00S,2025-01-09T01:14:00.4Z,1,REGULAR,3pt,Jump Shot,[],203468,28.86005256241787,75.24509803921569,1610612740,4,10,2025-01-09T01:15:01Z,250000,False,-126.0,219.0,1,left,MISS C. McCollum 25' step back 3PT,[203468],1610612740.0,NOP,step back,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Left Center,25.26,Missed,,,,,,,,,,,,,,,,,,
26,PT09M26.00S,2025-01-09T01:14:03.4Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612757,4,10,2025-01-09T01:14:04Z,260000,False,,,0,,D. Ayton REBOUND (Off:0 Def:2),[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,25.0,,2.0,2.0,0.0,,,,
27,PT09M21.00S,2025-01-09T01:14:08.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630166,93.38042049934296,95.34313725490196,1610612757,4,10,2025-01-09T01:15:30Z,270000,False,227.0,10.0,1,right,MISS D. Avdija running 3PT,[1630166],1610612757.0,POR,running,,,Avdija,D. Avdija,,,,,Right Corner 3,24+ Right,22.69,Missed,,,,,,,,,,,,,,,,,,
28,PT09M18.00S,2025-01-09T01:14:11.8Z,1,REGULAR,rebound,defensive,[],1642274,,,1610612740,4,10,2025-01-09T01:14:15Z,280000,False,,,0,,Y. Missi REBOUND (Off:0 Def:1),[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,27.0,,1.0,1.0,0.0,,,,
29,PT09M11.00S,2025-01-09T01:14:18.7Z,1,REGULAR,3pt,Jump Shot,[],203468,27.414586070959263,79.90196078431373,1610612740,7,10,2025-01-09T01:14:25Z,290000,False,-150.0,205.0,1,left,C. McCollum 25' 3PT  (5 PTS) (D. Murray 2 AST),"[203468, 1627749]",1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Left Center,25.39,Made,5.0,D. Murray,1627749.0,2.0,,,,,,,,,,,,,,
31,PT09M00.00S,2025-01-09T01:14:32.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631101,92.32917214191852,50.0,1610612757,7,12,2025-01-09T01:14:41Z,310000,False,0.0,20.0,1,right,S. Sharpe driving finger roll Layup (2 PTS),[1631101],1610612757.0,POR,driving finger roll,,,Sharpe,S. Sharpe,,,,,Restricted Area,0-8 Center,1.96,Made,2.0,,,,,,,,,,,,,,,,,
32,PT09M00.00S,2025-01-09T01:14:35.2Z,1,REGULAR,foul,personal,['1freethrow'],1630529,,,1610612757,7,12,2025-01-09T01:14:53Z,320000,False,,,0,,H. Jones shooting personal FOUL (1 PF) (Sharpe 1 FT),"[1630529, 1631101]",1610612740.0,NOP,shooting,,,Jones,H. Jones,,,,,Restricted Area,0-8 Center,,,,,,,202901.0,1.0,0.0,Sharpe,1631101.0,,,,,,,,,
34,PT09M00.00S,2025-01-09T01:14:58.6Z,1,REGULAR,freethrow,1 of 1,[],1631101,,,1610612757,7,13,2025-01-09T01:14:58Z,340000,False,,,0,,S. Sharpe Free Throw 1 of 1 (3 PTS),[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
35,PT08M43.00S,2025-01-09T01:15:15.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1642274,7.835085413929041,46.32352941176471,1610612740,7,13,2025-01-09T01:15:21Z,350000,False,18.0,21.0,1,left,MISS Y. Missi turnaround Hook,[1642274],1610612740.0,NOP,turnaround,,,Missi,Y. Missi,,,,,Restricted Area,0-8 Center,2.8,Missed,,,,,,,,,,,,,,,,,,
36,PT08M42.00S,2025-01-09T01:15:16.8Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612757,7,13,2025-01-09T01:16:01Z,360000,False,,,0,,D. Ayton REBOUND (Off:0 Def:3),[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,35.0,,3.0,3.0,0.0,,,,
37,PT08M31.00S,2025-01-09T01:15:27.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629028,90.48948751642575,55.88235294117647,1610612757,7,13,2025-01-09T01:16:12Z,370000,False,29.0,37.0,1,right,MISS D. Ayton turnaround Hook,[1629028],1610612757.0,POR,turnaround,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),0-8 Center,4.72,Missed,,,,,,,,,,,,,,,,,,
38,PT08M30.00S,2025-01-09T01:15:28.6Z,1,REGULAR,rebound,defensive,[],1642274,,,1610612740,7,13,2025-01-09T01:16:22Z,380000,False,,,0,,Y. Missi REBOUND (Off:0 Def:2),[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,37.0,,2.0,2.0,0.0,,,,
39,PT08M27.00S,2025-01-09T01:15:35.7Z,1,REGULAR,foul,personal,[],1629028,,,1610612740,7,13,2025-01-09T01:15:50Z,390000,False,,,0,,D. Ayton personal FOUL (1 PF),"[1629028, 1642274]",1610612757.0,POR,,,,Ayton,D. Ayton,,,,,Above the Break 3,24+ Center,,,,,,,202041.0,1.0,0.0,Missi,1642274.0,,,,,,,,,
41,PT08M17.00S,2025-01-09T01:16:06.7Z,1,REGULAR,3pt,Jump Shot,[],203468,28.33442838370565,80.14705882352942,1610612740,7,13,2025-01-09T01:16:13Z,410000,False,-151.0,214.0,1,left,MISS C. McCollum 26' 3PT,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Left Center,26.16,Missed,,,,,,,,,,,,,,,,,,
42,PT08M17.00S,2025-01-09T01:16:06.7Z,1,REGULAR,rebound,defensive,[],1641739,,,1610612757,7,13,2025-01-09T01:19:06Z,420000,False,,,0,,T. Camara REBOUND (Off:0 Def:1),[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,41.0,,1.0,1.0,0.0,,,,
43,PT08M03.00S,2025-01-09T01:16:20.2Z,1,REGULAR,3pt,Jump Shot,[],1631101,67.49342969776609,30.637254901960787,1610612757,7,16,2025-01-09T01:16:27Z,430000,False,-97.0,253.0,1,right,S. Sharpe 27' 3PT step back (6 PTS) (T. Camara 2 AST),"[1631101, 1641739]",1610612757.0,POR,step back,,,Sharpe,S. Sharpe,,,,,Above the Break 3,24+ Left Center,27.1,Made,6.0,T. Camara,1641739.0,2.0,,,,,,,,,,,,,,
44,PT07M47.00S,2025-01-09T01:16:36.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203468,13.87976346911958,48.03921568627451,1610612740,9,16,2025-01-09T01:16:43Z,440000,False,10.0,78.0,1,left,C. McCollum 7' driving floating Jump Shot (7 PTS) (D. Murray 3 AST),"[203468, 1627749]",1610612740.0,NOP,driving floating,,,McCollum,C. McCollum,,,,,In The Paint (Non-RA),0-8 Center,7.86,Made,7.0,D. Murray,1627749.0,3.0,,,,,,,,,,,,,,
47,PT07M29.00S,2025-01-09T01:16:54.6Z,1,REGULAR,3pt,Jump Shot,[],1629014,74.72076215505913,86.51960784313727,1610612757,9,19,2025-01-09T01:16:58Z,460000,False,183.0,185.0,1,right,A. Simons 26' 3PT  (3 PTS) (T. Camara 3 AST),"[1629014, 1641739]",1610612757.0,POR,,,,Simons,A. Simons,,,,,Above the Break 3,24+ Right Center,26.0,Made,3.0,T. Camara,1641739.0,3.0,,,,,,,,,,,,,,
49,PT07M28.00S,2025-01-09T01:17:00.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612740,9,19,2025-01-09T01:17:00Z,480000,False,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT07M28.00S,2025-01-09T01:19:05.0Z,1,REGULAR,substitution,out,[],1629014,,,1610612740,9,19,2025-01-09T01:19:41Z,490000,False,,,0,,SUB out: A. Simons,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT07M28.00S,2025-01-09T01:19:05.0Z,1,REGULAR,substitution,in,[],1630703,,,1610612740,9,19,2025-01-09T01:19:41Z,500000,False,,,0,,SUB in: S. Henderson,[1630703],1610612757.0,POR,,,,Henderson,S. Henderson,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT07M08.00S,2025-01-09T01:20:18.2Z,1,REGULAR,turnover,out-of-bounds,[],203468,,,1610612740,9,19,2025-01-09T01:20:31Z,510000,False,,,0,,C. McCollum bad pass out-of-bounds TURNOVER (1 TO),[203468],1610612740.0,NOP,bad pass,,,McCollum,C. McCollum,,,,,Mid-Range,16-24 Left Center,,,,,,,202901.0,,,,,,1.0,,,,,,,
56,PT06M56.00S,2025-01-09T01:20:33.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1629028,93.64323258869908,50.0,1610612757,9,21,2025-01-09T01:20:38Z,520000,False,0.0,7.0,1,right,D. Ayton alley-oop DUNK (3 PTS) (S. Henderson 1 AST),"[1629028, 1630703]",1610612757.0,POR,alley-oop,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,0.73,Made,3.0,S. Henderson,1630703.0,1.0,,,,,,,,,,,,,,
58,PT06M44.00S,2025-01-09T01:20:45.8Z,1,REGULAR,2pt,Jump Shot,[],1627749,4.944152431011826,76.9607843137255,1610612740,11,21,2025-01-09T01:43:52Z,540000,False,-135.0,-6.0,1,left,D. Murray 13' step back Jump Shot (2 PTS),[1627749],1610612740.0,NOP,step back,,,Murray,D. Murray,,,,,Mid-Range,8-16 Left,13.49,Made,2.0,,,,,,,,,,,,,,,,,
59,PT06M27.00S,2025-01-09T01:21:03.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630703,89.83245729303549,59.80392156862745,1610612757,11,23,2025-01-09T01:21:26Z,550000,False,49.0,43.0,1,right,S. Henderson 6' driving floating Jump Shot (2 PTS),[1630703],1610612757.0,POR,driving floating,,,Henderson,S. Henderson,,,,,In The Paint (Non-RA),0-8 Center,6.53,Made,2.0,,,,,,,,,,,,,,,,,
60,PT06M06.00S,2025-01-09T01:21:24.1Z,1,REGULAR,2pt,Jump Shot,[],1627749,21.23850197109067,51.71568627450981,1610612740,13,23,2025-01-09T01:21:28Z,560000,False,-9.0,147.0,1,left,D. Murray 14' pullup Jump Shot (4 PTS),[1627749],1610612740.0,NOP,pullup,,,Murray,D. Murray,,,,,Mid-Range,8-16 Center,14.74,Made,4.0,,,,,,,,,,,,,,,,,
61,PT05M52.00S,2025-01-09T01:21:39.4Z,1,REGULAR,3pt,Jump Shot,[],1641739,87.59855453350855,2.2058823529411766,1610612757,13,26,2025-01-09T01:21:53Z,570000,False,-239.0,64.0,1,right,T. Camara 24' 3PT  (5 PTS) (D. Avdija 1 AST),"[1641739, 1630166]",1610612757.0,POR,,,,Camara,T. Camara,,,,,Left Corner 3,24+ Left,24.74,Made,5.0,D. Avdija,1630166.0,1.0,,,,,,,,,,,,,,
63,PT05M32.00S,2025-01-09T01:21:57.0Z,1,REGULAR,3pt,Jump Shot,[],203468,15.719448094612352,3.6764705882352944,1610612740,13,26,2025-01-09T01:22:01Z,590000,False,232.0,95.0,1,left,MISS C. McCollum 25' 3PT,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Right Center,25.04,Missed,,,,,,,,,,,,,,,,,,
64,PT05M30.00S,2025-01-09T01:21:59.0Z,1,REGULAR,rebound,offensive,[],1642274,,,1610612740,13,26,2025-01-09T01:28:49Z,600000,False,,,0,,Y. Missi REBOUND (Off:1 Def:2),[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,63.0,,3.0,2.0,1.0,,,,
65,PT05M28.00S,2025-01-09T01:22:02.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630529,25.969119579500656,81.61764705882352,1610612740,13,26,2025-01-09T01:22:07Z,610000,False,-158.0,192.0,1,left,MISS H. Jones 24' 3PT,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Above the Break 3,24+ Left Center,24.84,Missed,,,,,,,,,,,,,,,,,,
66,PT05M24.00S,2025-01-09T01:22:06.6Z,1,REGULAR,rebound,defensive,[],1630166,,,1610612757,13,26,2025-01-09T01:22:07Z,620000,False,,,0,,D. Avdija REBOUND (Off:0 Def:1),[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,65.0,,1.0,1.0,0.0,,,,
67,PT05M09.00S,2025-01-09T01:22:21.0Z,1,REGULAR,2pt,Jump Shot,[],1631101,79.31997371879106,47.549019607843135,1610612757,13,28,2025-01-09T01:22:50Z,630000,False,-12.0,142.0,1,right,S. Sharpe 14' pullup Jump Shot (8 PTS),[1631101],1610612757.0,POR,pullup,,,Sharpe,S. Sharpe,,,,,Mid-Range,8-16 Center,14.24,Made,8.0,,,,,,,,,,,,,,,,,
68,PT04M56.00S,2025-01-09T01:22:34.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203468,12.697109067017081,52.69607843137255,1610612740,15,28,2025-01-09T01:22:45Z,640000,False,-13.0,67.0,1,left,C. McCollum 6' fadeaway Jump Shot (9 PTS) (Y. Missi 2 AST),"[203468, 1642274]",1610612740.0,NOP,fadeaway,,,McCollum,C. McCollum,,,,,In The Paint (Non-RA),0-8 Center,6.82,Made,9.0,Y. Missi,1642274.0,2.0,,,,,,,,,,,,,,
71,PT04M39.00S,2025-01-09T01:22:50.8Z,1,REGULAR,3pt,Jump Shot,[],1631101,89.83245729303549,95.83333333333334,1610612757,15,28,2025-01-09T01:23:36Z,660000,False,229.0,43.0,1,right,MISS S. Sharpe pullup 3PT,[1631101],1610612757.0,POR,pullup,,,Sharpe,S. Sharpe,,,,,Right Corner 3,24+ Right,23.32,Missed,,,,,,,,,,,,,,,,,,
72,PT04M35.00S,2025-01-09T01:22:54.8Z,1,REGULAR,rebound,offensive,[],1630166,,,1610612757,15,28,2025-01-09T01:22:55Z,670000,False,,,0,,D. Avdija REBOUND (Off:1 Def:1),[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,71.0,,2.0,1.0,1.0,,,,
73,PT04M33.00S,2025-01-09T01:22:56.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630166,94.03745072273325,52.94117647058824,1610612757,15,28,2025-01-09T01:24:06Z,680000,False,15.0,4.0,1,right,MISS D. Avdija finger roll Layup,[1630166],1610612757.0,POR,finger roll,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,1.51,Missed,,,,,,,,,,,,,,,,,,
74,PT04M31.00S,2025-01-09T01:22:58.8Z,1,REGULAR,rebound,defensive,[],203468,,,1610612740,15,28,2025-01-09T01:23:00Z,690000,False,,,0,,C. McCollum REBOUND (Off:0 Def:1),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,73.0,,1.0,1.0,0.0,,,,
75,PT04M26.00S,2025-01-09T01:23:06.1Z,1,REGULAR,foul,personal,['2freethrow'],1630166,,,1610612740,15,28,2025-01-09T01:23:23Z,700000,False,,,0,,D. Avdija shooting personal FOUL (1 PF) (Murray 2 FT),"[1630166, 1627749]",1610612757.0,POR,shooting,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,,,,,,,202901.0,1.0,0.0,Murray,1627749.0,,,,,,,,,
78,PT04M26.00S,2025-01-09T01:23:35.5Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1627749,,,1610612740,16,28,2025-01-09T01:23:35Z,720000,False,,,0,,D. Murray Free Throw 1 of 2 (5 PTS),[1627749],1610612740.0,NOP,,,,Murray,D. Murray,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
79,PT04M26.00S,2025-01-09T01:23:36.6Z,1,REGULAR,substitution,out,[],1630529,,,1610612740,16,28,2025-01-09T01:23:59Z,730000,False,,,0,,SUB out: H. Jones,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT04M26.00S,2025-01-09T01:23:36.6Z,1,REGULAR,substitution,out,[],1642274,,,1610612740,16,28,2025-01-09T01:23:59Z,740000,False,,,0,,SUB out: Y. Missi,[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT04M26.00S,2025-01-09T01:23:36.6Z,1,REGULAR,substitution,out,[],1630526,,,1610612740,16,28,2025-01-09T01:23:59Z,750000,False,,,0,,SUB out: J. Robinson-Earl,[1630526],1610612740.0,NOP,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT04M26.00S,2025-01-09T01:23:36.6Z,1,REGULAR,substitution,out,[],1630166,,,1610612740,16,28,2025-01-09T01:23:59Z,760000,False,,,0,,SUB out: D. Avdija,[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT04M26.00S,2025-01-09T01:23:36.6Z,1,REGULAR,substitution,in,[],1628464,,,1610612740,16,28,2025-01-09T01:23:59Z,770000,False,,,0,,SUB in: D. Theis,[1628464],1610612740.0,NOP,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT04M26.00S,2025-01-09T01:23:36.6Z,1,REGULAR,substitution,in,[],1630527,,,1610612740,16,28,2025-01-09T01:23:59Z,780000,False,,,0,,SUB in: B. Boston,[1630527],1610612740.0,NOP,,,,Boston,B. Boston,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M26.00S,2025-01-09T01:23:36.6Z,1,REGULAR,substitution,in,[],1641722,,,1610612740,16,28,2025-01-09T01:23:59Z,790000,False,,,0,,SUB in: J. Hawkins,[1641722],1610612740.0,NOP,,,,Hawkins,J. Hawkins,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M26.00S,2025-01-09T01:23:36.6Z,1,REGULAR,substitution,in,[],1631200,,,1610612740,16,28,2025-01-09T01:23:59Z,800000,False,,,0,,SUB in: K. Murray,[1631200],1610612757.0,POR,,,,Murray,K. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M26.00S,2025-01-09T01:24:11.5Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1627749,,,1610612740,17,28,2025-01-09T01:24:11Z,810000,False,,,0,,D. Murray Free Throw 2 of 2 (6 PTS),[1627749],1610612740.0,NOP,,,,Murray,D. Murray,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
88,PT04M07.00S,2025-01-09T01:24:34.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630703,90.3580814717477,45.588235294117645,1610612757,17,30,2025-01-09T01:25:08Z,820000,False,-22.0,38.0,1,right,S. Henderson turnaround Hook (4 PTS),[1630703],1610612757.0,POR,turnaround,,,Henderson,S. Henderson,,,,,Restricted Area,0-8 Center,4.4,Made,4.0,,,,,,,,,,,,,,,,,
89,PT03M47.00S,2025-01-09T01:24:55.1Z,1,REGULAR,3pt,Jump Shot,[],1641722,27.414586070959263,84.55882352941177,1610612740,17,30,2025-01-09T01:25:00Z,830000,False,-173.0,205.0,1,left,MISS J. Hawkins 26' pullup 3PT,[1641722],1610612740.0,NOP,pullup,,,Hawkins,J. Hawkins,,,,,Above the Break 3,24+ Left Center,26.83,Missed,,,,,,,,,,,,,,,,,,
90,PT03M44.00S,2025-01-09T01:24:58.1Z,1,REGULAR,rebound,defensive,[],1631101,,,1610612757,17,30,2025-01-09T01:25:00Z,840000,False,,,0,,S. Sharpe REBOUND (Off:0 Def:1),[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,89.0,,1.0,1.0,0.0,,,,
