actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-03-14T00:10:35.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-14T00:10:35Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-03-14T00:10:39.7Z,1,REGULAR,jumpball,recovered,[],203484,,,1610612753,0,0,2025-03-14T00:10:39Z,40000,False,,,0,,Jump Ball W. Carter Jr. vs. K. Matković: Tip to K. Caldwell-Pope,"[203484, 1628976, 1631255]",1610612753.0,ORL,startperiod,K. Caldwell-Pope,203484.0,Caldwell-Pope,K. Caldwell-Pope,Carter Jr.,1628976.0,Matković,1631255.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M33.00S,2025-03-14T00:11:02.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202709,6.258212877792378,46.568627450980394,1610612753,0,0,2025-03-14T00:11:08Z,70000,False,17.0,6.0,1,left,MISS C. Joseph driving Layup - blocked,"[202709, 1631255]",1610612753.0,ORL,driving,,,Joseph,C. Joseph,,,,,Restricted Area,0-8 Center,1.83,Missed,Matković,1631255.0,,,,,,,,,,,,,,,,
8,PT11M33.00S,2025-03-14T00:11:02.2Z,1,REGULAR,block,,[],1631255,,,1610612753,0,0,2025-03-14T00:11:05Z,80000,False,,,0,,K. Matković BLOCK (1 BLK),[1631255],1610612740.0,NOP,,,,Matković,K. Matković,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M29.00S,2025-03-14T00:11:06.2Z,1,REGULAR,rebound,defensive,[],1631255,,,1610612740,0,0,2025-03-14T00:11:08Z,90000,False,,,0,,K. Matković REBOUND (Off:0 Def:1),[1631255],1610612740.0,NOP,,,,Matković,K. Matković,,,,,Restricted Area,0-8 Center,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,
10,PT11M27.00S,2025-03-14T00:11:07.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1631255,93.51182654402102,50.245098039215684,1610612740,2,0,2025-03-14T00:11:26Z,100000,False,1.0,8.0,1,right,K. Matković running DUNK (2 PTS),[1631255],1610612740.0,NOP,running,,,Matković,K. Matković,,,,,Restricted Area,0-8 Center,0.86,Made,,,,,,,2.0,,,,,,,,,,,
11,PT11M18.00S,2025-03-14T00:11:16.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,6.1268068331143235,52.450980392156865,1610612753,2,2,2025-03-14T00:11:31Z,110000,False,-12.0,5.0,1,left,F. Wagner driving Layup (2 PTS),[1630532],1610612753.0,ORL,driving,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,1.33,Made,,,,,,,2.0,,,,,,,,,,,
12,PT11M00.00S,2025-03-14T00:11:35.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,94.43166885676742,45.83333333333333,1610612740,4,2,2025-03-14T00:11:40Z,120000,False,-21.0,0.0,1,right,Z. Williamson driving Layup (2 PTS),[1629627],1610612740.0,NOP,driving,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,2.08,Made,,,,,,,2.0,,,,,,,,,,,
13,PT10M49.00S,2025-03-14T00:11:45.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631094,5.075558475689881,48.03921568627451,1610612753,4,4,2025-03-14T00:11:50Z,130000,False,10.0,-5.0,1,left,P. Banchero driving Layup (2 PTS),[1631094],1610612753.0,ORL,driving,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,1.09,Made,,,,,,,2.0,,,,,,,,,,,
14,PT10M30.00S,2025-03-14T00:12:05.3Z,1,REGULAR,3pt,Jump Shot,[],203468,70.51576872536137,25.735294117647058,1610612740,4,4,2025-03-14T00:12:11Z,140000,False,-121.0,225.0,1,right,MISS C. McCollum 25' step back 3PT,[203468],1610612740.0,NOP,step back,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Left Center,25.54,Missed,,,,,,,,,,,,,,,,,,
15,PT10M26.00S,2025-03-14T00:12:09.3Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,4,4,2025-03-14T00:12:11Z,150000,False,,,0,,P. Banchero REBOUND (Off:0 Def:1),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Left Center,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,
16,PT10M23.00S,2025-03-14T00:12:18.2Z,1,REGULAR,foul,personal,[],203468,,,1610612753,4,4,2025-03-14T00:12:30Z,160000,False,,,0,,C. McCollum personal FOUL (1 PF),"[203468, 1631094]",1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,202058.0,1.0,0.0,Banchero,1631094.0,,,,,,
18,PT10M18.00S,2025-03-14T00:12:36.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,4.944152431011826,47.30392156862745,1610612753,4,6,2025-03-14T00:12:42Z,180000,False,13.0,-6.0,1,left,F. Wagner cutting Layup (4 PTS) (P. Banchero 1 AST),"[1630532, 1631094]",1610612753.0,ORL,cutting,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,1.48,Made,,,,,,,4.0,,,,,,P. Banchero,1631094.0,1.0,,,
