actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-11-07T01:10:40.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-07T01:10:40Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-11-07T01:10:44.3Z,1,REGULAR,jumpball,recovered,[],1630596,,,1610612739,0,0,2024-11-07T01:10:44Z,40000,False,,,0,,Jump Ball J. Allen vs. Y. Missi: Tip to E. Mobley,"[1630596, 1628386, 1642274]",1610612739.0,CLE,startperiod,E. Mobley,1630596.0,Mobley,E. Mobley,Allen,1628386.0,Missi,1642274.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2024-11-07T01:10:56.7Z,1,REGULAR,3pt,Jump Shot,[],1629636,69.85873850197109,24.754901960784316,1610612739,0,3,2024-11-07T01:11:06Z,70000,False,-126.0,231.0,1,right,D. Garland 26' 3PT  (3 PTS) (E. Mobley 1 AST),"[1629636, 1630596]",1610612739.0,CLE,,,,Garland,D. Garland,,,,,Above the Break 3,24+ Left Center,26.3,Made,3.0,E. Mobley,1630596.0,1.0,,,,,,,,,,,,,,
9,PT11M21.00S,2024-11-07T01:11:21.6Z,1,REGULAR,2pt,Jump Shot,[],1627742,5.338370565045992,68.62745098039215,1610612740,0,3,2024-11-07T01:11:53Z,90000,False,-93.0,-2.0,1,left,MISS B. Ingram 9' fadeaway Shot - blocked,"[1627742, 1630596]",1610612740.0,NOP,fadeaway,,,Ingram,B. Ingram,,,,,Mid-Range,8-16 Left,9.31,Missed,,,,,Mobley,1630596.0,,,,,,,,,,,,
10,PT11M21.00S,2024-11-07T01:11:21.6Z,1,REGULAR,block,,[],1630596,,,1610612740,0,3,2024-11-07T01:11:30Z,100000,False,,,0,,E. Mobley BLOCK (1 BLK),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
11,PT11M21.00S,2024-11-07T01:11:21.6Z,1,REGULAR,rebound,defensive,[],1630171,,,1610612739,0,3,2024-11-07T01:13:43Z,110000,False,,,0,,I. Okoro REBOUND (Off:0 Def:1),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,Mid-Range,8-16 Left,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,
12,PT11M13.00S,2024-11-07T01:11:26.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628378,72.88107752956637,18.627450980392158,1610612739,0,6,2024-11-07T01:11:34Z,120000,False,-157.0,202.0,1,right,D. Mitchell 25' 3PT running (3 PTS) (I. Okoro 1 AST),"[1628378, 1630171]",1610612739.0,CLE,running,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Left Center,25.61,Made,3.0,I. Okoro,1630171.0,1.0,,,,,,,,,,,,,,
14,PT10M55.00S,2024-11-07T01:11:43.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1642274,6.1268068331143235,45.588235294117645,1610612740,0,6,2024-11-07T01:11:53Z,140000,False,22.0,5.0,1,left,MISS Y. Missi driving bank Hook,[1642274],1610612740.0,NOP,driving bank,,,Missi,Y. Missi,,,,,Restricted Area,0-8 Center,2.27,Missed,,,,,,,,,,,,,,,,,,
15,PT10M53.00S,2024-11-07T01:11:45.8Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,0,6,2024-11-07T01:11:53Z,150000,False,,,0,,J. Allen REBOUND (Off:0 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,
16,PT10M49.00S,2024-11-07T01:11:52.1Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628386,93.77463863337714,46.81372549019608,1610612739,0,8,2024-11-07T01:13:02Z,160000,False,-16.0,6.0,1,right,J. Allen running Layup (2 PTS) (D. Garland 1 AST),"[1628386, 1629636]",1610612739.0,CLE,running,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,1.7,Made,2.0,D. Garland,1629636.0,1.0,,,,,,,,,,,,,,
18,PT10M28.00S,2024-11-07T01:12:14.4Z,1,REGULAR,foul,personal,['2freethrow'],1628386,,,1610612740,0,8,2024-11-07T01:12:39Z,180000,False,,,0,,J. Allen shooting personal FOUL (1 PF) (Williamson 2 FT),"[1628386, 1629627]",1610612739.0,CLE,shooting,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,202053.0,1.0,0.0,Williamson,1629627.0,,,
20,PT10M28.00S,2024-11-07T01:12:40.1Z,1,REGULAR,freethrow,1 of 2,[],1629627,,,1610612740,1,8,2024-11-07T01:12:40Z,200000,False,,,0,,Z. Williamson Free Throw 1 of 2 (1 PTS),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
21,PT10M28.00S,2024-11-07T01:12:53.6Z,1,REGULAR,freethrow,2 of 2,[],1629627,,,1610612740,2,8,2024-11-07T01:12:53Z,210000,False,,,0,,Z. Williamson Free Throw 2 of 2 (2 PTS),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
22,PT10M20.00S,2024-11-07T01:13:06.4Z,1,REGULAR,turnover,lost ball,[],1629636,,,1610612739,2,8,2024-11-07T01:13:59Z,220000,False,,,0,,D. Garland lost ball TURNOVER (1 TO),"[1629636, 1630631]",1610612739.0,CLE,,,,Garland,D. Garland,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,1.0,Alvarado,1630631.0
23,PT10M20.00S,2024-11-07T01:13:06.4Z,1,REGULAR,steal,,[],1630631,,,1610612740,2,8,2024-11-07T01:13:08Z,230000,False,,,0,,J. Alvarado STEAL (1 STL),[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
