actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,playerName,playerNameI,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-12-27T01:11:44.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-27T01:11:44Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2024-12-27T01:11:49.0Z,1,REGULAR,jumpball,recovered,[],0,,,1610612740,0,0,2024-12-27T01:11:49Z,40000,False,,,0,,Jump Ball Y. Missi vs. A. Sengun: Tip to Team (NOP),"[1642274, 1630578]",1610612740.0,NOP,startperiod,Team (NOP),Missi,1642274.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2024-12-27T01:12:13.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630529,7.440867279894875,49.50980392156863,1610612740,0,0,2024-12-27T01:12:48Z,80000,False,2.0,17.0,1,left,MISS H. Jones driving Layup - blocked,"[1630529, 1641708]",1610612740.0,NOP,driving,,,,,,Restricted Area,0-8 Center,1.76,Missed,Jones,H. Jones,Thompson,1641708.0,,,,,,,,,,,,,,,,
9,PT11M43.00S,2024-12-27T01:12:13.8Z,1,REGULAR,block,,[],1641708,,,1610612740,0,0,2024-12-27T01:12:15Z,90000,False,,,0,,A. Thompson BLOCK (1 BLK),[1641708],1610612745.0,HOU,,,,,,,Restricted Area,0-8 Center,,,Thompson,A. Thompson,,,,,,,,,,,,,,,,,,
10,PT11M41.00S,2024-12-27T01:12:15.8Z,1,REGULAR,rebound,defensive,[],1631095,,,1610612745,0,0,2024-12-27T01:12:49Z,100000,False,,,0,,J. Smith Jr. REBOUND (Off:0 Def:1),[1631095],1610612745.0,HOU,,,,,,,Restricted Area,0-8 Center,,,Smith Jr.,J. Smith Jr.,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,
11,PT11M27.00S,2024-12-27T01:12:29.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630578,89.17542706964521,50.73529411764706,1610612745,0,0,2024-12-27T01:13:27Z,110000,False,4.0,49.0,1,right,MISS A. Sengun driving Hook,[1630578],1610612745.0,HOU,driving,,,,,,In The Paint (Non-RA),0-8 Center,4.94,Missed,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,
12,PT11M24.00S,2024-12-27T01:12:32.8Z,1,REGULAR,rebound,defensive,[],1630530,,,1610612740,0,0,2024-12-27T01:13:27Z,120000,False,,,0,,T. Murphy III REBOUND (Off:0 Def:1),[1630530],1610612740.0,NOP,,,,,,,In The Paint (Non-RA),0-8 Center,,,Murphy III,T. Murphy III,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,
13,PT11M14.00S,2024-12-27T01:12:42.1Z,1,REGULAR,3pt,Jump Shot,[],1627749,6.783837056504599,4.411764705882353,1610612740,0,0,2024-12-27T01:13:44Z,130000,False,228.0,11.0,1,left,MISS D. Murray 3PT,[1627749],1610612740.0,NOP,,,,,,,Right Corner 3,24+ Right,22.82,Missed,Murray,D. Murray,,,,,,,,,,,,,,,,,,
14,PT11M11.00S,2024-12-27T01:12:45.1Z,1,REGULAR,rebound,offensive,[],1630529,,,1610612740,0,0,2024-12-27T01:13:53Z,140000,False,,,0,,H. Jones REBOUND (Off:1 Def:0),[1630529],1610612740.0,NOP,,,,,,,Right Corner 3,24+ Right,,,Jones,H. Jones,,,13.0,1.0,0.0,1.0,,,,,,,,,,,,
15,PT11M08.00S,2024-12-27T01:12:47.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203468,36.48160315374508,65.68627450980392,1610612740,0,0,2024-12-27T01:14:57Z,150000,False,-78.0,290.0,1,left,MISS C. McCollum 30' 3PT,[203468],1610612740.0,NOP,,,,,,,Above the Break 3,24+ Center,30.08,Missed,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,
