actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-03-09T23:10:28.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-09T23:10:28Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2025-03-09T23:10:33.1Z,1,REGULAR,jumpball,recovered,[],1630530,,,1610612740,0,0,2025-03-09T23:10:33Z,40000,False,,,0,,Jump Ball Y. Missi vs. Z. Edey: Tip to T. Murphy III,"[1630530, 1642274, 1641744]",1610612740.0,NOP,startperiod,T. Murphy III,1630530.0,Murphy III,T. Murphy III,Missi,1642274.0,Edey,1641744.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2025-03-09T23:10:48.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630530,19.793035479632064,46.07843137254902,1610612740,0,0,2025-03-09T23:11:09Z,70000,False,20.0,134.0,1,left,MISS T. Murphy III 13' driving floating Shot,[1630530],1610612740.0,NOP,driving floating,,,Murphy III,T. Murphy III,,,,,In The Paint (Non-RA),8-16 Center,13.5,Missed,,,,,,,,,,,,,,,,,,
8,PT11M33.00S,2025-03-09T23:10:55.1Z,1,REGULAR,rebound,offensive,[],1630530,,,1610612740,0,0,2025-03-09T23:10:56Z,80000,False,,,0,,T. Murphy III REBOUND (Off:1 Def:0),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M33.00S,2025-03-09T23:10:54.4Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1630530,5.590000152587891,50.0,1610612740,0,0,2025-03-09T23:11:02Z,90000,False,0.0,0.0,1,left,MISS T. Murphy III tip Layup,[1630530],1610612740.0,NOP,tip,,,Murphy III,T. Murphy III,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
10,PT11M33.00S,2025-03-09T23:10:54.4Z,1,REGULAR,rebound,offensive,[],1630530,,,1610612740,0,0,2025-03-09T23:11:02Z,100000,False,,,0,,T. Murphy III REBOUND (Off:2 Def:0),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Restricted Area,0-8 Center,,,9.0,2.0,0.0,2.0,,,,,,,,,,,,,,
11,PT11M30.00S,2025-03-09T23:10:57.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630530,5.590000152587891,50.0,1610612740,0,0,2025-03-09T23:10:57Z,110000,False,0.0,0.0,1,left,MISS T. Murphy III tip Layup,[1630530],1610612740.0,NOP,tip,,,Murphy III,T. Murphy III,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,,
12,PT11M29.00S,2025-03-09T23:10:58.8Z,1,REGULAR,rebound,defensive,[],1641744,,,1610612763,0,0,2025-03-09T23:10:58Z,120000,False,,,0,,Z. Edey REBOUND (Off:0 Def:1),[1641744],1610612763.0,MEM,,,,Edey,Z. Edey,,,,,Mid-Range,8-16 Left,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT11M27.00S,2025-03-09T23:11:03.7Z,1,REGULAR,turnover,out-of-bounds,[],1642377,,,1610612763,0,0,2025-03-09T23:11:57Z,130000,False,,,0,,J. Wells lost ball out-of-bounds TURNOVER (1 TO),[1642377],1610612763.0,MEM,lost ball,,,Wells,J. Wells,,,,,Above the Break 3,24+ Left Center,,,,,,,1146.0,1.0,,,,,,,,,,,,
14,PT11M08.00S,2025-03-09T23:11:26.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1641722,5.601182654402102,46.568627450980394,1610612740,2,0,2025-03-09T23:11:31Z,140000,False,17.0,0.0,1,left,J. Hawkins driving Layup (2 PTS),[1641722],1610612740.0,NOP,driving,,,Hawkins,J. Hawkins,,,,,Restricted Area,0-8 Center,1.72,Made,,,,,,,2.0,,,,,,,,,,,
