actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,jumpBallRecoverdPersonId
2,PT12M00.00S,2024-11-16T01:10:09.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-16T01:10:09Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-11-16T01:10:17.0Z,1,REGULAR,jumpball,recovered,[],0,,,1610612743,0,0,2024-11-16T01:10:17Z,40000,False,,,0,,Jump Ball D. Šarić vs. Y. Missi: Tip to Team (DEN),"[203967, 1642274]",1610612743.0,DEN,startperiod,Team (DEN),Šarić,203967.0,Missi,1642274.0,,,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2024-11-16T01:10:46.2Z,1,REGULAR,3pt,Jump Shot,[],1627750,27.020367936925098,19.362745098039216,1610612743,0,3,2024-11-16T01:10:59Z,80000,False,153.0,201.0,1,left,J. Murray 25' 3PT  (3 PTS) (D. Šarić 1 AST),"[1627750, 203967]",1610612743.0,DEN,,,,,,,Above the Break 3,24+ Right Center,25.31,Made,3.0,Murray,J. Murray,D. Šarić,203967.0,1.0,,,,,,,,,,,,,,,
10,PT11M28.00S,2024-11-16T01:11:02.2Z,1,REGULAR,turnover,bad pass,[],1627742,,,1610612740,0,3,2024-11-16T01:11:07Z,100000,False,,,0,,B. Ingram bad pass TURNOVER (1 TO),"[1627742, 1627750]",1610612740.0,NOP,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Ingram,B. Ingram,,,,1.0,Murray,1627750.0,,,,,,,,,,,,
11,PT11M28.00S,2024-11-16T01:11:02.2Z,1,REGULAR,steal,,[],1627750,,,1610612743,0,3,2024-11-16T01:11:04Z,110000,False,,,0,,J. Murray STEAL (1 STL),[1627750],1610612743.0,DEN,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Murray,J. Murray,,,,,,,,,,,,,,,,,,
12,PT11M25.00S,2024-11-16T01:11:06.2Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1627750,33.327858081471746,52.20588235294118,1610612743,0,3,2024-11-16T01:11:33Z,120000,False,-11.0,261.0,1,left,MISS J. Murray 26' running pullup 3PT,[1627750],1610612743.0,DEN,running pullup,,,,,,Above the Break 3,24+ Center,26.1,Missed,,Murray,J. Murray,,,,,,,,,,,,,,,,,,
13,PT11M22.00S,2024-11-16T01:11:09.2Z,1,REGULAR,rebound,defensive,[],1642274,,,1610612740,0,3,2024-11-16T01:11:33Z,130000,False,,,0,,Y. Missi REBOUND (Off:0 Def:1),[1642274],1610612740.0,NOP,,,,,,,Above the Break 3,24+ Center,,,,Missi,Y. Missi,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,
14,PT11M11.00S,2024-11-16T01:11:20.3Z,1,REGULAR,3pt,Jump Shot,[],1629750,80.50262812089356,6.372549019607843,1610612740,0,3,2024-11-16T01:11:30Z,140000,False,-218.0,131.0,1,right,MISS J. Green 25' 3PT,[1629750],1610612740.0,NOP,,,,,,,Above the Break 3,24+ Left Center,25.43,Missed,,Green,J. Green,,,,,,,,,,,,,,,,,,
15,PT11M07.00S,2024-11-16T01:11:24.3Z,1,REGULAR,rebound,defensive,[],1631212,,,1610612743,0,3,2024-11-16T01:11:30Z,150000,False,,,0,,P. Watson REBOUND (Off:0 Def:1),[1631212],1610612743.0,DEN,,,,,,,Above the Break 3,24+ Left Center,,,,Watson,P. Watson,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,
16,PT11M00.00S,2024-11-16T01:11:30.2Z,1,REGULAR,3pt,Jump Shot,[],1629008,30.962549277266753,64.4607843137255,1610612743,0,3,2024-11-16T01:12:09Z,160000,False,-72.0,239.0,1,left,MISS M. Porter Jr. 24' pullup 3PT,[1629008],1610612743.0,DEN,pullup,,,,,,Above the Break 3,24+ Center,24.92,Missed,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,,,,,
