actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-02-24T00:10:29.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-02-24T00:10:29Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2025-02-24T00:10:48.2Z,1,REGULAR,jumpball,recovered,[],101108,,,1610612759,0,0,2025-02-24T00:10:48Z,40000,False,,,0,,Jump Ball B. Biyombo vs. Y. Missi: Tip to C. Paul,"[101108, 202687, 1642274]",1610612759.0,SAS,startperiod,C. Paul,101108.0,Paul,C. Paul,Biyombo,202687.0,Missi,1642274.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2025-02-24T00:11:00.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202687,92.85479632063075,39.705882352941174,1610612759,0,2,2025-02-24T00:11:06Z,70000,False,-51.0,15.0,1,right,B. Biyombo Hook (2 PTS) (D. Vassell 1 AST),"[202687, 1630170]",1610612759.0,SAS,,,,Biyombo,B. Biyombo,,,,,In The Paint (Non-RA),0-8 Center,5.36,Made,2.0,D. Vassell,1630170.0,1.0,,,,,,,,,,,,,,
9,PT11M25.00S,2025-02-24T00:11:21.7Z,1,REGULAR,2pt,Jump Shot,[],1642274,4.418528252299605,29.901960784313726,1610612740,0,2,2025-02-24T00:11:38Z,90000,False,100.0,-11.0,1,left,MISS Y. Missi 10' floating Shot,[1642274],1610612740.0,NOP,floating,,,Missi,Y. Missi,,,,,Mid-Range,8-16 Right,10.11,Missed,,,,,,,,,,,,,,,,,,
10,PT11M24.00S,2025-02-24T00:11:22.7Z,1,REGULAR,rebound,offensive,[],203482,,,1610612740,0,2,2025-02-24T00:11:52Z,100000,False,,,0,,K. Olynyk REBOUND (Off:1 Def:0),[203482],1610612740.0,NOP,,,,Olynyk,K. Olynyk,,,,,Mid-Range,8-16 Right,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,
11,PT11M24.00S,2025-02-24T00:11:26.0Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",203482,5.590000152587891,50.0,1610612740,2,2,2025-02-24T00:11:48Z,110000,False,0.0,0.0,1,left,K. Olynyk tip Layup (2 PTS),[203482],1610612740.0,NOP,tip,,,Olynyk,K. Olynyk,,,,,Restricted Area,0-8 Center,0.0,Made,2.0,,,,,,,,,,,,,,,,,
12,PT11M18.00S,2025-02-24T00:11:28.6Z,1,REGULAR,3pt,Jump Shot,[],203084,90.48948751642575,96.81372549019608,1610612759,2,2,2025-02-24T00:11:35Z,120000,False,234.0,37.0,1,right,MISS H. Barnes 3PT,[203084],1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,Right Corner 3,24+ Right,23.7,Missed,,,,,,,,,,,,,,,,,,
13,PT11M15.00S,2025-02-24T00:11:31.6Z,1,REGULAR,rebound,defensive,[],1629627,,,1610612740,2,2,2025-02-24T00:11:35Z,130000,False,,,0,,Z. Williamson REBOUND (Off:0 Def:1),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Right Corner 3,24+ Right,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,
14,PT10M59.00S,2025-02-24T00:11:49.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1642274,9.543363994743759,48.77450980392157,1610612740,2,2,2025-02-24T00:12:40Z,140000,False,6.0,37.0,1,left,MISS Y. Missi Hook,[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,Restricted Area,0-8 Center,3.77,Missed,,,,,,,,,,,,,,,,,,
15,PT10M57.00S,2025-02-24T00:11:51.6Z,1,REGULAR,rebound,offensive,[],203482,,,1610612740,2,2,2025-02-24T00:12:40Z,150000,False,,,0,,K. Olynyk REBOUND (Off:2 Def:0),[203482],1610612740.0,NOP,,,,Olynyk,K. Olynyk,,,,,Restricted Area,0-8 Center,,,,,,,14.0,2.0,0.0,2.0,,,,,,,,,,
