actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-03-12T00:10:42.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-12T00:10:42Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-03-12T00:10:45.6Z,1,REGULAR,jumpball,recovered,[],201935,,,1610612746,0,0,2025-03-12T00:10:45Z,40000,False,,,0,,Jump Ball I. Zubac vs. Y. Missi: Tip to J. Harden,"[201935, 1627826, 1642274]",1610612746.0,LAC,startperiod,J. Harden,201935.0,Harden,J. Harden,Zubac,1627826.0,Missi,1642274.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2025-03-12T00:10:57.4Z,1,REGULAR,3pt,Jump Shot,[],201587,95.0886990801577,96.56862745098039,1610612746,0,0,2025-03-12T00:11:02Z,70000,False,233.0,-6.0,1,right,MISS N. Batum 3PT,[201587],1610612746.0,LAC,,,,Batum,N. Batum,,,,,Right Corner 3,24+ Right,23.29,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2025-03-12T00:11:00.4Z,1,REGULAR,rebound,defensive,[],1630530,,,1610612740,0,0,2025-03-12T00:11:02Z,80000,False,,,0,,T. Murphy III REBOUND (Off:0 Def:1),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Right Corner 3,24+ Right,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M33.00S,2025-03-12T00:11:08.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630530,16.376478318002626,37.99019607843137,1610612740,0,0,2025-03-12T00:11:28Z,90000,False,60.0,101.0,1,left,MISS T. Murphy III 11' driving floating Shot,[1630530],1610612740.0,NOP,driving floating,,,Murphy III,T. Murphy III,,,,,In The Paint (Non-RA),8-16 Right,11.78,Missed,,,,,,,,,,,,,,,,,,
10,PT11M31.00S,2025-03-12T00:11:10.8Z,1,REGULAR,rebound,offensive,[],1628971,,,1610612740,0,0,2025-03-12T00:11:16Z,100000,False,,,0,,B. Brown REBOUND (Off:1 Def:0),[1628971],1610612740.0,NOP,,,,Brown,B. Brown,,,,,In The Paint (Non-RA),8-16 Right,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,
11,PT11M31.00S,2025-03-12T00:11:14.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628971,6.652431011826544,49.26470588235294,1610612740,2,0,2025-03-12T00:11:22Z,110000,False,4.0,10.0,1,left,B. Brown putback Layup (2 PTS),[1628971],1610612740.0,NOP,putback,,,Brown,B. Brown,,,,,Restricted Area,0-8 Center,1.07,Made,,,,,2.0,,,,,,,,,,,,,
12,PT11M31.00S,2025-03-12T00:11:18.9Z,1,REGULAR,foul,personal,['1freethrow'],1627826,,,1610612740,2,0,2025-03-12T00:11:28Z,120000,False,,,0,,I. Zubac shooting personal FOUL (1 PF) (Brown 1 FT),"[1627826, 1628971]",1610612746.0,LAC,shooting,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,,,,,,,,2003.0,1.0,0.0,Brown,1628971.0,,,,,,,,
14,PT11M31.00S,2025-03-12T00:11:46.6Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],1628971,,,1610612740,3,0,2025-03-12T00:11:46Z,140000,False,,,0,,B. Brown Free Throw 1 of 1 (3 PTS),[1628971],1610612740.0,NOP,,,,Brown,B. Brown,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
15,PT11M12.00S,2025-03-12T00:12:06.6Z,1,REGULAR,2pt,Jump Shot,[],1627739,77.61169513797634,68.87254901960785,1610612746,3,0,2025-03-12T00:12:18Z,150000,False,94.0,158.0,1,right,MISS K. Dunn 18' driving floating Shot,[1627739],1610612746.0,LAC,driving floating,,,Dunn,K. Dunn,,,,,Mid-Range,16-24 Right Center,18.41,Missed,,,,,,,,,,,,,,,,,,
