actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
56,PT07M42.00S,2023-11-16T03:18:28.3Z,1,REGULAR,3pt,Jump Shot,[],1631101,69.99014454664915,84.06862745098039,1610612757,6,10,2023-11-16T03:22:29Z,540000,False,170.0,230.0,1,right,MISS S. Sharpe 28' pullup 3PT,[1631101],1610612757.0,POR,pullup,,,Sharpe,S. Sharpe,,,,,Above the Break 3,24+ Right Center,28.59,Missed,,,,,,,,,,,,,,,,,,
57,PT07M40.00S,2023-11-16T03:18:30.3Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,6,10,2023-11-16T03:18:35Z,550000,False,,,0,,E. Mobley REBOUND (Off:0 Def:4),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Above the Break 3,24+ Right Center,,,56.0,,,,,4.0,4.0,0.0,,,,,,,,,,
58,PT07M38.00S,2023-11-16T03:18:36.1Z,1,REGULAR,foul,personal,[],1631101,,,1610612739,6,10,2023-11-16T03:18:46Z,560000,False,,,0,,S. Sharpe personal FOUL (1 PF),"[1631101, 1628386]",1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,Restricted Area,0-8 Center,,,,,,,,,,,204059.0,1.0,0.0,Allen,1628386.0,,,,,
60,PT07M23.00S,2023-11-16T03:19:05.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630596,7.5722733245729295,45.83333333333333,1610612739,6,12,2023-11-16T03:19:09Z,580000,False,21.0,19.0,1,left,E. Mobley DUNK (7 PTS) (D. Mitchell 1 AST),"[1630596, 1628378]",1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,2.8,Made,,7.0,D. Mitchell,1628378.0,1.0,,,,,,,,,,,,,
62,PT07M00.00S,2023-11-16T03:19:37.6Z,1,REGULAR,foul,personal,[],1628378,,,1610612757,6,12,2023-11-16T03:19:47Z,600000,False,,,0,,D. Mitchell personal FOUL (1 PF),"[1628378, 1641739]",1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Mid-Range,8-16 Left,,,,,,,,,,,204059.0,1.0,0.0,Camara,1641739.0,,,,,
64,PT07M00.00S,2023-11-16T03:19:42.8Z,1,REGULAR,substitution,out,[],1629731,,,1610612757,6,12,2023-11-16T03:19:45Z,620000,False,,,0,,SUB out: D. Wade,[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT07M00.00S,2023-11-16T03:19:42.8Z,1,REGULAR,substitution,in,[],1627747,,,1610612757,6,12,2023-11-16T03:19:45Z,630000,False,,,0,,SUB in: C. LeVert,[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M52.00S,2023-11-16T03:20:04.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629028,83.919185282523,51.470588235294116,1610612757,8,12,2023-11-16T03:20:10Z,640000,False,7.0,99.0,1,right,D. Ayton 9' turnaround Hook (2 PTS) (S. Mays 1 AST),"[1629028, 1630219]",1610612757.0,POR,turnaround,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),8-16 Center,9.9,Made,,2.0,S. Mays,1630219.0,1.0,,,,,,,,,,,,,
69,PT06M30.00S,2023-11-16T03:20:26.7Z,1,REGULAR,3pt,Jump Shot,[],1628378,17.559132720105126,93.87254901960785,1610612739,8,15,2023-11-16T03:20:31Z,660000,False,-219.0,113.0,1,left,D. Mitchell 24' 3PT step back (5 PTS),[1628378],1610612739.0,CLE,step back,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Left Center,24.66,Made,,5.0,,,,,,,,,,,,,,,,
70,PT06M13.00S,2023-11-16T03:20:42.5Z,1,REGULAR,3pt,Jump Shot,[],203924,92.06636005256242,3.1862745098039214,1610612757,8,15,2023-11-16T03:20:47Z,670000,False,-234.0,22.0,1,right,MISS J. Grant 3PT,[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,Left Corner 3,24+ Left,23.51,Missed,,,,,,,,,,,,,,,,,,
